,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),label
80,1.55965355644e+27,-2.646496582,1.402283936,9.244176636,walking
81,1.55965355644e+27,-2.271676025,1.38072876,9.141639862,walking
82,1.55965355644e+27,-2.946772156,2.509980469,8.464597778,walking
83,1.55965355644e+27,-2.53677475,1.606159973,9.313482513,walking
84,1.55965355644e+27,-2.794838104,1.892963562,8.98746048,walking
85,1.55965355644e+27,-2.891986084,1.647773438,9.57483902,walking
86,1.55965355644e+27,-2.819237366,1.817221069,9.195378113,walking
87,1.55965355644e+27,-2.68062561,1.669178925,9.498946838,walking
88,1.55965355644e+27,-2.87836441,1.798210602,9.282197571,walking
89,1.55965355644e+27,-2.879861298,1.636397095,9.281299438,walking
90,1.55965355644e+27,-2.772983551,1.634451141,9.255103912,walking
91,1.55965355644e+27,-2.852019196,1.695823517,9.326954498,walking
92,1.55965355644e+27,-3.030897217,1.528321838,9.482930145,walking
93,1.55965355644e+27,-2.973117371,1.482666779,9.517358551,walking
94,1.55965355644e+27,-3.016676788,1.517843628,9.241033173,walking
95,1.55965355644e+27,-3.019820251,1.533261566,9.385183411,walking
96,1.55965355644e+27,-2.941982117,1.334474945,9.24717041,walking
97,1.55965355644e+27,-3.004102936,1.350791016,9.372310181,walking
98,1.55965355644e+27,-2.997666321,1.593735809,9.038354645,walking
99,1.55965355644e+27,-3.082090759,1.683998108,9.313781891,walking
100,1.55965355644e+27,-2.993175659,1.57966507,9.382788391,walking
101,1.55965355644e+27,-2.990930328,1.737736359,9.170080719,walking
102,1.55965355644e+27,-2.943029938,1.532064056,9.251062317,walking
103,1.55965355644e+27,-3.041824493,1.561702423,9.423503723,walking
104,1.55965355644e+27,-2.988684998,1.469793549,9.263037415,walking
105,1.55965355644e+27,-2.96847702,1.385818176,9.347910919,walking
106,1.55965355644e+27,-2.910996552,1.420396271,9.245823212,walking
107,1.55965355644e+27,-2.928959198,1.448238373,9.268575897,walking
108,1.55965355644e+27,-2.928061066,1.219813385,9.385183411,walking
109,1.55965355644e+27,-2.966082001,1.270108795,9.231752472,walking
110,1.55965355644e+27,-2.901566162,1.303788757,9.530231781,walking
111,1.55965355644e+27,-2.929258575,1.41231308,9.352401581,walking
112,1.55965355644e+27,-2.84678009,1.353036346,9.29986084,walking
113,1.55965355644e+27,-2.928809509,1.528321838,9.10556488,walking
114,1.55965355644e+27,-2.834655304,1.400787048,9.170380096,walking
115,1.55965355644e+27,-2.929408264,1.508562927,9.302255859,walking
116,1.55965355644e+27,-2.928510132,1.492845612,9.442514191,walking
117,1.55965355644e+27,-2.954555969,1.35378479,9.807305603,walking
118,1.55965355644e+27,-2.958597565,1.414857788,9.327702942,walking
119,1.55965355644e+27,-2.878065033,1.454076233,9.217681732,walking
120,1.55965355644e+27,-2.995870056,1.435963898,9.456285553,walking
121,1.55965355644e+27,-2.881807251,1.584455109,9.308991852,walking
122,1.55965355644e+27,-3.22130127,1.61349472,9.787846069,walking
123,1.55965355644e+27,-3.189417572,1.689386902,9.564660187,walking
124,1.55965355644e+27,-3.162623291,1.224603424,8.915609894,walking
125,1.55965355644e+27,-3.430266724,1.490899658,8.792715454,walking
126,1.55965355644e+27,-2.991678772,1.262175293,9.236243134,walking
127,1.55965355644e+27,-3.343896332,1.543889465,9.41796524,walking
128,1.55965355644e+27,-3.318149872,1.696871338,9.036857758,walking
129,1.55965355644e+27,-3.527564392,1.833237762,8.937015381,walking
130,1.55965355644e+27,-3.608995056,1.783840485,8.894204407,walking
131,1.55965355644e+27,-3.310066681,1.73519165,8.916807404,walking
132,1.55965355644e+27,-3.254532166,1.571132813,9.627080383,walking
133,1.55965355644e+27,-3.139421539,1.706451416,9.304950256,walking
134,1.55965355644e+27,-3.205284576,1.627116394,9.130113831,walking
135,1.55965355644e+27,-3.270848236,1.472038879,9.310937805,walking
136,1.55965355644e+27,-3.262016602,1.600322113,9.002429352,walking
137,1.55965355644e+27,-3.618425446,1.710043945,9.152267761,walking
138,1.55965355644e+27,-3.413800964,1.534309387,9.077872467,walking
139,1.55965355644e+27,-3.30662384,1.536554718,8.915310516,walking
140,1.55965355644e+27,-3.500470734,1.415007477,9.16409317,walking
141,1.55965355644e+27,-3.586841125,1.727856903,9.029223633,walking
142,1.55965355644e+27,-3.157683563,1.60885437,9.316476288,walking
143,1.55965355644e+27,-1.367556152,0.7122189331,10.41219772,walking
144,1.55965355644e+27,1.754950562,0.4478686523,9.343270569,walking
145,1.55965355644e+27,1.46021347,0.4800517273,9.809401245,walking
146,1.55965355644e+27,1.027164001,0.6108796692,10.20577698,walking
147,1.55965355644e+27,1.076261902,0.3405418396,9.958790588,walking
148,1.55965355644e+27,0.5451663208,0.7222480774,9.958940277,walking
149,1.55965355644e+27,0.2728825378,1.922003174,9.384884033,walking
150,1.55965355644e+27,1.983076172,1.389261017,9.204359436,walking
151,1.55965355644e+27,4.403243408,2.47121109,6.215225372,walking
152,1.55965355644e+27,-2.736160126,-1.408121796,20.00919067,walking
153,1.55965355644e+27,-1.410516815,2.722538452,8.319100342,walking
154,1.55965355644e+27,-1.951940918,2.173180847,10.40621017,walking
155,1.55965355644e+27,-1.753753052,1.779948578,9.26827652,walking
156,1.55965355644e+27,-1.496887207,1.465452576,9.760303345,walking
157,1.55965355644e+27,-1.761237488,2.042053528,9.261091461,walking
158,1.55965355644e+27,-1.359023895,1.563498688,9.623637543,walking
159,1.55965355644e+27,-1.658251648,1.734143829,9.560917969,walking
160,1.55965355644e+27,-1.965861969,1.529219971,9.26707901,walking
161,1.55965355644e+27,-1.757794647,1.536554718,10.07524841,walking
162,1.55965355644e+27,-1.681154022,1.586101685,9.294172668,walking
163,1.55965355644e+27,-1.695524139,1.335223389,9.632918243,walking
164,1.55965355644e+27,-2.19862793,1.266965332,11.05121887,walking
165,1.55965355644e+27,1.417252808,1.843117218,8.879385223,walking
166,1.55965355644e+27,0.233664093,1.85464325,10.04710693,walking
167,1.55965355644e+27,-0.06197113037,1.963167572,9.664502563,walking
168,1.55965355644e+27,0.9084608459,2.883004761,9.487271118,walking
169,1.55965355644e+27,1.02387085,4.034709778,8.821755066,walking
