"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.510382197E0,7.535123825E-2,-4.298054695E0,9.619584084E-1
5.570375296E0,1.947429180E-1,-6.181889534E0,-1.859876633E0
5.630368594E0,-6.757820606E0,-1.201865101E1,4.291800022E0
5.690361558E0,6.694403648E0,-9.696252823E0,-2.889717865E1
5.750354588E0,2.379979610E0,-1.679042816E1,-1.473246765E1
5.810347685E0,2.383356094E0,-1.582162189E1,-6.891890049E0
5.870340183E0,8.713054657E-1,-1.499327755E1,5.438636780E0
5.930332481E0,-7.530841827E0,-1.299327755E1,1.691043854E1
5.990325011E0,-8.676917076E0,-1.394112587E1,1.001602650E1
6.050317541E0,-7.308949471E0,-1.064424706E1,9.100192070E0
6.110310071E0,-1.257036209E0,-5.987523079E0,8.050383568E0
6.170302601E0,4.242647171E0,-1.573246121E0,2.027176380E0
6.230295032E0,-9.373311996E-1,-4.215055943E0,2.239700794E0
6.290287363E0,-3.228388786E0,-4.696214199E0,-3.053140402E0
6.350279760E0,1.563337088E0,-1.517653465E0,-3.689095497E0
6.410272290E0,4.583880424E0,-6.493280411E0,-3.926129818E0
6.470264787E0,5.900648594E0,-1.115157318E1,9.829227448E0
6.530257383E0,5.738399029E0,-9.905906677E0,-2.778527069E1
6.590250348E0,-9.453859925E-2,-1.090122414E1,-6.378127098E0
6.650244446E0,-3.984034061E0,-4.572776794E0,4.387909889E0
6.710238912E0,-5.029909611E0,-3.167469025E0,3.829745770E0
6.770233478E0,-1.884341049E1,-7.866061211E0,7.158844471E0
6.830227977E0,-1.397906590E1,-8.869411945E-1,3.653598070E0
6.890222109E0,-6.923198700E-3,8.571549058E-1,3.920744896E0
6.950214940E0,-3.967189789E-1,2.098674536E0,7.786846161E-1
7.010207337E0,-6.497314453E0,-2.673626900E0,3.611984253E-1
7.070199801E0,-1.120762634E1,-7.176175594E0,1.845716476E0
