"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.626334370E0,-3.119994141E-2,3.116451204E-1,-4.781670123E-2
4.678328325E0,-6.724099070E-2,-5.731748417E-2,-8.996640146E-2
4.730321652E0,-2.631301992E-2,-4.158953726E-1,-7.408390939E-2
4.782314911E0,6.104071066E-2,-3.548088670E-1,3.709357232E-2
4.834308504E0,1.086882055E-1,-1.028086152E-2,1.323885471E-1
4.886301596E0,1.190729067E-1,2.157392800E-1,1.873664260E-1
4.938294889E0,-2.570215613E-2,-8.724988252E-2,5.358693376E-2
4.990288415E0,-9.819659404E-3,-1.214583367E-1,2.670885995E-2
5.042282499E0,-2.386956103E-2,-5.792835355E-2,3.587184101E-2
5.094275990E0,-4.830417037E-2,-9.669996798E-3,-5.820140988E-2
5.146269349E0,-5.196936056E-2,1.131139174E-1,-1.113466844E-1
5.198262708E0,-7.762569934E-2,1.344942003E-1,-1.504420638E-1
5.250256896E0,-5.807801336E-2,1.638157368E-1,-1.479986012E-1
5.302255683E0,-5.746714771E-2,-6.615670864E-3,-1.137901470E-1
5.354252340E0,-1.409571525E-2,9.662055224E-2,-5.270362273E-2
5.406245967E0,-9.208793752E-3,1.748113036E-1,-5.026016012E-2
5.458239327E0,4.230241757E-3,1.619831324E-1,-8.263601363E-2
5.510232686E0,4.230241757E-3,1.143356487E-1,-7.164043933E-2
5.562225945E0,2.377793007E-2,9.295536578E-2,-3.315593302E-2
5.614219304E0,3.538436815E-2,1.528201550E-1,2.243280411E-2
5.666212697E0,1.217149012E-2,1.662591994E-1,6.641510129E-2
5.718206154E0,-5.135849491E-2,8.501411229E-2,8.229760081E-2
5.770200373E0,-9.961685538E-2,-1.452820748E-1,2.426539920E-2
5.822193699E0,-7.823656499E-2,-3.590849340E-1,2.243280411E-2
5.874186925E0,-1.898263767E-2,-3.487001956E-1,6.824769825E-2
5.926180384E0,5.187772959E-2,-2.069794834E-1,6.091731787E-2
5.978173743E0,1.233489588E-1,3.769038711E-3,7.161173504E-3
6.030167002E0,1.569465548E-1,2.542237937E-1,-1.238651481E-2
6.082160362E0,2.662914395E-1,4.411485493E-1,-1.390940160E-3
6.134153720E0,2.797304690E-1,8.479847908E-1,3.709357232E-2
6.186148106E0,1.007469445E-1,7.972829938E-1,7.252375782E-2
6.238141464E0,2.381916344E-1,2.413956076E-1,-1.657136828E-1
6.290134656E0,2.730109692E-1,1.659720764E-2,-7.591649890E-2
6.342128714E0,8.669704944E-2,4.900177717E-1,9.879095852E-2
6.394124835E0,3.049744852E-2,1.100272059E0,-6.614265591E-2
6.446118762E0,-2.448042482E-2,4.851308465E-1,-2.768911719E-1
6.498112021E0,-1.435991526E-1,-4.998710379E-2,-3.801273704E-1
6.550105247E0,-8.862127364E-2,3.702881634E-1,-4.247205555E-1
6.602098740E0,-3.303254023E-2,5.975300074E-1,-2.848324180E-1
6.654091965E0,-2.814561687E-2,8.516499996E-1,-1.479986012E-1
6.706085324E0,-2.203696407E-2,8.595912457E-1,-1.150118783E-1
6.758078816E0,-7.987063378E-3,4.026640356E-1,-1.657136828E-1
6.810072900E0,6.531676650E-2,2.762149274E-1,-1.486094594E-1
6.862066425E0,5.248859897E-2,6.372363567E-1,-9.302072972E-2
6.914059785E0,6.042984501E-2,5.926431417E-1,-6.675352156E-2
6.966053077E0,6.042984501E-2,2.084088922E-1,-4.170804471E-2
7.018046336E0,1.031904146E-1,1.259420812E-1,8.535192162E-2
7.070039829E0,1.325119436E-1,3.000386953E-1,1.940859407E-1
7.122033055E0,1.373988688E-1,4.026640356E-1,2.044706494E-1
7.174026877E0,1.502270401E-1,4.985698760E-1,1.794251651E-1
7.226020698E0,1.899332702E-1,9.127365351E-1,1.775925756E-1
7.278014124E0,3.872427344E-1,1.720911264E0,3.877302110E-1
7.330007383E0,7.372685671E-1,2.153403759E0,5.899266601E-1
7.382001139E0,9.785603285E-1,2.422184467E0,8.299966455E-1
7.433999493E0,1.231458545E0,1.780165195E0,8.959701061E-1
7.485997021E0,1.333472967E0,1.331790090E0,8.128924370E-1
7.537991814E0,1.355464101E0,8.278262615E-1,7.896795869E-1
7.589985074E0,1.329807878E0,6.024169922E-1,8.611507416E-1
7.641978366E0,1.222295523E0,9.292298555E-1,9.069656730E-1
7.693971725E0,1.067746639E0,1.276201248E0,9.827129245E-1
7.745965116E0,9.834471941E-1,9.774882197E-1,1.083505750E0
7.797958375E0,8.967043161E-1,6.079148054E-1,9.552240372E-1
7.849952263E0,6.297562122E-1,7.117618322E-1,8.929157853E-1
7.901946017E0,5.857739449E-1,8.461522460E-1,6.552891731E-1
7.953939376E0,5.051397681E-1,7.850656509E-1,6.442936659E-1
8.005932835E0,3.854101598E-1,6.873272657E-1,6.455153823E-1
8.057926028E0,2.552958429E-1,3.073690832E-1,4.714187682E-1
8.109919520E0,9.158396721E-2,-1.801013947E-1,4.940207899E-1
8.161912913E0,-1.124450192E-1,-3.688587546E-1,4.048344493E-1
8.213906006E0,-2.120160460E-1,-5.111903548E-1,5.373921990E-1
8.265900226E0,-1.802510619E-1,-2.265271544E-1,6.778912544E-1
8.317894016E0,-7.212791592E-2,4.270986617E-1,7.682992816E-1
8.369887043E0,-2.028530687E-1,1.033400744E-1,9.149069190E-1
8.421880435E0,-3.311347663E-1,-1.446712166E-1,8.623725176E-1
8.473874092E0,-2.498897016E-1,5.828692913E-1,1.013867140E0
8.525872380E0,-2.895959616E-1,1.548647165E0,1.233167768E0
8.577869768E0,-2.517222762E-1,1.081946135E0,1.221561313E0
8.629863795E0,-4.814076126E-1,2.749931812E-1,1.899010897E0
8.681857221E0,-1.091661930E0,-1.829437613E0,7.487515807E-1
8.733850480E0,-1.954814553E0,-2.216402441E-1,7.597471476E-1
8.785843873E0,-2.848510504E0,-9.730045199E-1,-6.003400311E-2
8.837837166E0,-3.507023096E0,-4.891992211E-1,-5.206264257E-1
8.889830459E0,-4.069630146E0,-1.067975685E-1,-1.068572521E0
8.941824317E0,-4.469746590E0,1.124706745E0,-1.573147178E0
8.993818437E0,-4.158816338E0,1.169910789E0,-1.778397918E0
9.045811630E0,-3.059869766E0,-7.408756614E-1,-1.229230046E0
9.097804856E0,-1.139309406E0,-2.057901144E0,1.071899295E0
9.149798248E0,1.395781279E0,-2.418922663E0,3.199542999E0
9.201791607E0,2.573529482E0,-3.268025160E0,4.572768211E0
9.253784965E0,3.381704092E0,-4.256405354E0,5.010147572E0
9.305778258E0,3.480664253E0,-3.855066538E0,4.206249237E0
9.357771649E0,3.043284893E0,-3.004131317E0,3.633257389E0
9.409765800E0,2.327961683E0,-4.501362324E0,2.541030169E0
9.461759259E0,1.862482309E0,-2.949153662E0,1.620456338E0
9.513752519E0,4.837594628E-1,-1.453755498E0,1.494618058E0
9.565746008E0,-6.561151147E-1,-1.365179896E0,1.040134311E0
9.617742397E0,-1.224219680E0,-1.624797702E0,3.535217643E-1
9.669736491E0,-1.108155370E0,-3.352324724E0,-5.603326559E-1
9.721729883E0,-2.225427866E0,-9.962173700E-1,-3.303117752E0
9.773723177E0,-3.673789263E0,3.149725199E0,-6.342172146E0
9.825716502E0,-3.402977586E-1,5.362889767E0,1.783557296E0
9.877709862E0,4.851445675E0,-5.093290329E0,2.577682018E0
9.929703221E0,2.098276377E0,6.137466908E0,2.832412958E0
9.981696645E0,4.312250316E-1,6.796590328E0,9.698848128E-1
