"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.670344275E0,6.713586450E-1,-3.046493530E-1,6.557457447E-1
4.730337405E0,9.952066541E-1,-1.536989212E-1,2.806918621E-1
4.790329803E0,7.379560471E-1,9.917354584E-2,-5.846149921E-1
4.850322234E0,4.128228426E-1,-8.405494690E-2,-4.098923206E-1
4.910314698E0,5.103266239E-2,-3.656864166E-2,-4.931981564E-1
4.970307228E0,9.818994999E-2,-3.877992630E-1,-3.414095640E-1
5.030299692E0,5.064041615E-1,-7.289953232E-1,-3.414299488E-1
5.090292288E0,5.871648788E-1,-7.717876434E-1,-3.324599266E-1
5.150284719E0,5.699175596E-1,-1.051340103E-1,-7.667092085E-1
5.210277083E0,7.368311882E-1,8.422470093E-2,-3.102315664E-1
5.270269547E0,4.153703451E-1,2.785463333E-1,-3.122230768E-1
5.330262077E0,6.155424714E-1,2.717332840E-1,-3.190375566E-1
5.390254541E0,2.663258314E-1,-3.405399323E-1,-2.667522430E-1
5.450247071E0,2.180359364E-1,-3.553495407E-1,-4.574453831E-2
5.510240169E0,2.947509289E-2,1.463699341E-2,-2.410953045E-1
5.570234333E0,1.580703259E-1,-2.608489990E-2,4.042685032E-2
5.630228663E0,6.279242039E-2,1.902866364E-2,-3.161799908E-2
5.690222927E0,-8.848571777E-2,7.622623444E-2,9.286475182E-2
5.750217290E0,-9.617817402E-2,-6.736755371E-3,-5.800676346E-2
5.810211020E0,-4.854571819E-2,-1.726436615E-2,-4.921519756E-2
5.870203585E0,-1.110851765E-2,-2.282714844E-2,-1.975346804E-1
5.930195849E0,-6.799697876E-4,-8.109569550E-2,-2.663580179E-1
5.990188379E0,-4.004240036E-3,-3.768272400E-1,-1.382089853E-1
6.050180810E0,1.538836360E-1,-1.778144836E-1,1.019008160E-1
6.110173340E0,4.112187624E-1,2.310180664E-2,1.965897083E-1
6.170165804E0,5.253584981E-1,2.050590515E-2,1.533050537E-1
6.230158400E0,5.665395260E-1,-1.396217346E-1,3.827047348E-2
6.290150764E0,4.070221782E-1,-2.800397873E-1,8.667337894E-2
6.350143162E0,7.808456421E-1,-5.962276459E-2,-2.328135967E-1
6.410135559E0,3.565252423E-1,4.387817383E-1,-5.170419216E-1
6.470128089E0,-1.993795633E-1,-7.394475937E-1,1.475547552E-1
6.530120553E0,2.910293341E-1,2.858324051E-1,-1.055172205E0
