"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.500305009E1,5.233379347E1,4.867475349E0,3.380182385E-1,1.358296545E0,-1.000000000E0,2.000000000E2,2.000000000E2
8.600304687E1,5.233379338E1,4.867462478E0,3.481428623E-1,1.332264910E0,-1.000000000E0,2.000000000E2,2.000000000E2
8.700304222E1,5.233379579E1,4.867450980E0,3.565066755E-1,1.305261715E0,-1.000000000E0,2.000000000E2,2.000000000E2
8.800303829E1,5.233385259E1,4.867415066E0,3.636077344E-1,1.254556122E0,-1.000000000E0,2.000000000E2,2.000000000E2
8.900303340E1,5.233382903E1,4.867451512E0,3.689796627E-1,1.234922255E0,-1.000000000E0,2.000000000E2,2.000000000E2
9.000302768E1,5.233381493E1,4.867476109E0,3.734446764E-1,1.212843104E0,-1.000000000E0,2.000000000E2,2.000000000E2
9.100302339E1,5.233380849E1,4.867489125E0,3.771673143E-1,1.189085916E0,-1.000000000E0,2.000000000E2,2.000000000E2
9.200301790E1,5.233379920E1,4.867494539E0,3.800612092E-1,1.168518313E0,-1.000000000E0,2.000000000E2,2.000000000E2
9.300301182E1,5.233378610E1,4.867494305E0,3.823538423E-1,1.151259588E0,-1.000000000E0,2.000000000E2,2.000000000E2
9.400300622E1,5.233376468E1,4.867495636E0,3.840436339E-1,1.138523136E0,-1.000000000E0,2.000000000E2,2.000000000E2
9.500299978E1,5.233374119E1,4.867499241E0,3.855048716E-1,1.126837588E0,-1.000000000E0,2.000000000E2,2.000000000E2
9.600299358E1,5.233371562E1,4.867506258E0,3.866242468E-1,1.116036957E0,-1.000000000E0,2.000000000E2,2.000000000E2
9.700298715E1,5.233368898E1,4.867515983E0,3.875078857E-1,1.105701240E0,-1.000000000E0,2.000000000E2,2.000000000E2
9.800298035E1,5.233366311E1,4.867527442E0,3.882205188E-1,1.094999199E0,-1.000000000E0,2.000000000E2,2.000000000E2
9.900297368E1,5.233363903E1,4.867539828E0,3.887820840E-1,1.083514570E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.000029664E2,5.233361557E1,4.867552256E0,3.891867697E-1,1.072003598E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.010029589E2,5.233360063E1,4.867551470E0,3.893083036E-1,1.057974777E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.020029528E2,5.233358393E1,4.867551160E0,3.893967867E-1,1.045126415E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.030029447E2,5.233356896E1,4.867549500E0,3.896681070E-1,1.031793970E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.040029367E2,5.233356682E1,4.867542664E0,3.899787068E-1,1.012518859E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.050029294E2,5.233357512E1,4.867530809E0,3.901667893E-1,9.887132835E-1,-1.000000000E0,2.000000000E2,2.000000000E2
1.060029213E2,5.233359035E1,4.867517619E0,3.904755116E-1,9.619340468E-1,-1.000000000E0,2.000000000E2,2.000000000E2
1.070029136E2,5.233359929E1,4.867502542E0,3.905516267E-1,9.393366013E-1,-1.000000000E0,2.000000000E2,2.000000000E2
1.072749699E2,5.233474108E1,4.867897601E0,-1.106226444E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.170028310E2,5.233460166E1,4.867835755E0,-6.127400398E-1,1.304265201E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.180028216E2,5.233451635E1,4.867814125E0,-3.433284760E-1,1.335763463E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.190028139E2,5.233445085E1,4.867781995E0,-1.711771935E-1,1.354464637E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.200028045E2,5.233439340E1,4.867751153E0,-5.087946355E-2,1.367118055E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.210027965E2,5.233433893E1,4.867727138E0,3.779543191E-2,1.376599428E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.212317250E2,5.233460945E1,4.868001760E0,-1.187887549E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.310027071E2,5.233432076E1,4.867898242E0,-6.487851143E-1,2.562530735E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.320026970E2,5.233413045E1,4.867838139E0,-3.602660596E-1,2.634337868E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.330026889E2,5.233397425E1,4.867786385E0,-1.781483442E-1,2.682109365E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.340026796E2,5.233384323E1,4.867739048E0,-5.196054280E-2,2.712398221E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.344625909E2,5.233447744E1,4.867315297E0,-9.171512127E-1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.408711979E2,5.233453230E1,4.867729578E0,-1.993217468E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.472802180E2,5.233466645E1,4.867898186E0,-2.358679295E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.534199860E2,5.233432474E1,4.867357201E0,-2.439481020E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.549336580E2,5.233442447E1,4.867225743E0,-2.119785547E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.612983320E2,5.233429653E1,4.867247589E0,-2.329844236E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.624547900E2,5.233428003E1,4.867264704E0,-2.399679184E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.709410220E2,5.233426235E1,4.867268892E0,-2.455956459E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.724516910E2,5.233439595E1,4.867192013E0,-2.160189390E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.784613950E2,5.233463732E1,4.867183283E0,-2.176632881E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.799587760E2,5.233474960E1,4.867184554E0,-2.193815708E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.863693110E2,5.233486312E1,4.867188951E0,-2.218253374E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.875294240E2,5.233506134E1,4.866945910E0,-2.086552858E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.938987100E2,5.233501395E1,4.868090749E0,-2.777260780E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.950567089E2,5.233498229E1,4.868384470E0,-2.885028124E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.040020291E2,5.233486540E1,4.868752660E0,-1.810562968E0,3.212053030E0,-1.000000000E0,2.000000000E2,2.000000000E2
2.041713560E2,5.233673753E1,4.867708564E0,-1.772623897E0,-1.000000000E0,-1.000000000E0,1.000052123E2,1.000052123E2
