"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.734529675E1,5.491181030E0,-8.490344238E0,1.309327240E0
3.774681887E1,7.244335327E0,-1.066502197E1,2.901715851E0
3.814839987E1,6.981182556E0,-6.841822357E0,2.493065643E0
3.855004188E1,6.520889740E0,-9.825717316E0,1.089135132E0
3.895167663E1,5.864205322E0,-9.010961609E0,1.271905060E0
3.935331862E1,9.688303070E0,-1.124820923E1,-2.094145203E-1
3.975493054E1,7.460485840E0,-9.697583771E0,1.064885559E0
4.015654154E1,4.980592804E0,-8.857979736E0,4.625381470E-2
4.055806154E1,7.815996552E0,-8.642427979E0,2.379601593E0
4.095954650E1,6.040987701E0,-1.276784912E1,2.583627319E0
4.136097550E1,5.716312866E0,-1.032732422E1,1.144220581E0
4.176250367E1,7.172933807E0,-9.479038239E0,3.201841736E-1
4.216405467E1,1.291963348E0,-1.023287064E1,1.880689087E0
4.256560467E1,1.213870743E1,-1.096290253E1,1.394799500E0
4.296715025E1,5.699398041E0,-9.266330566E0,1.344504089E0
4.336870025E1,4.294270020E0,-7.328909454E0,-1.510359192E-1
4.377026254E1,7.279212799E0,-1.003438339E1,7.788304138E-1
4.417181354E1,5.260660400E0,-7.207062836E0,-1.310524750E0
4.457336354E1,6.731950836E0,-1.001776794E1,6.691085815E-1
4.497488750E1,4.363126831E0,-7.373067627E0,2.689157867E0
4.537643750E1,1.015548157E1,-8.481512604E0,-9.355545044E-2
4.577795017E1,2.924169159E0,-5.611680450E0,-1.623074799E0
4.617950017E1,7.664511566E0,-1.013377670E1,4.752916260E0
4.658105017E1,8.032596130E0,-9.070837097E0,4.435276794E-1
4.698260050E1,6.500532074E0,-8.161029053E0,7.267387390E-1
4.738411950E1,5.376220093E0,-8.184081116E0,-2.514770508E-1
4.778564950E1,9.396859131E0,-8.138875122E0,1.267414398E0
4.818719950E1,1.860331421E0,-1.212373856E1,1.216220856E0
4.858875050E1,1.172391998E1,-1.037761963E1,1.552571411E0
4.899028313E1,6.403833160E0,-1.009021729E1,2.197131042E0
4.939183313E1,5.612877960E0,-9.937235413E0,7.933502197E-2
4.979338217E1,7.036118317E0,-7.676486664E0,-4.031117249E-1
5.019493217E1,3.473676453E0,-1.229198868E1,1.419797516E0
5.059645217E1,5.738466797E0,-8.076305237E0,1.011446686E0
5.099795550E1,8.267008667E0,-1.038465500E1,1.032852173E-1
5.139950550E1,4.500241699E0,-5.167554016E0,-1.524429932E0
5.180106542E1,5.506149902E0,-7.694898376E0,1.422641602E0
5.220264542E1,9.789043579E0,-8.815767517E0,1.836231537E0
5.260422642E1,3.914210358E0,-6.240822144E0,-1.152603149E0
5.300576237E1,4.625830536E0,-6.420298920E0,3.784130859E-1
5.340731337E1,9.766590271E0,-1.241967316E1,1.654808807E0
5.380893604E1,5.794450378E-1,-1.340417587E1,1.594184875E0
5.421045604E1,5.846242676E0,-7.889493713E0,6.246510315E-1
5.461197604E1,7.922574921E0,-1.031669632E1,3.365601196E0
5.501353512E1,4.174369354E0,-1.092173813E1,3.637435913E-1
5.541508613E1,9.308393097E0,-9.166188812E0,1.066382446E0
5.581669125E1,5.204527130E0,-1.230950226E1,2.109114075E0
5.621821025E1,8.282426605E0,-8.898994446E0,-1.975891113E-1
