,Heart Rate,Time
318,62,00:43:39
319,63,00:43:54
320,59,00:43:59
321,61,00:44:04
322,63,00:44:14
323,62,00:44:24
324,61,00:44:34
325,60,00:44:39
326,61,00:44:44
327,62,00:44:49
328,64,00:45:04
329,63,00:45:14
330,61,00:45:24
331,63,00:45:29
332,60,00:45:34
333,59,00:45:49
334,63,00:45:54
335,62,00:45:59
336,60,00:46:09
337,61,00:46:14
338,61,00:46:29
339,62,00:46:34
340,62,00:46:39
341,62,00:46:46
342,63,00:46:51
343,59,00:46:56
344,61,00:47:01
345,62,00:47:06
346,60,00:47:16
347,61,00:47:21
348,62,00:47:26
349,60,00:47:31
350,59,00:47:36
351,61,00:47:41
352,60,00:47:46
353,60,00:47:56
354,59,00:48:01
355,62,00:48:06
356,63,00:48:16
357,64,00:48:21
358,63,00:48:26
359,62,00:48:31
360,64,00:48:36
361,62,00:48:41
362,61,00:48:46
363,59,00:48:51
364,58,00:49:01
365,60,00:49:06
366,59,00:49:11
367,60,00:49:16
368,62,00:49:23
369,63,00:49:28
370,62,00:49:38
371,60,00:49:43
372,61,00:49:48
373,62,00:49:58
374,64,00:50:08
375,58,00:50:13
376,60,00:50:18
377,62,00:50:28
378,61,00:50:33
379,62,00:50:38
380,63,00:50:43
381,65,00:50:48
382,64,00:50:53
383,60,00:50:58
384,61,00:51:03
385,62,00:51:13
386,60,00:51:23
387,61,00:51:28
388,62,00:51:33
389,60,00:51:38
390,61,00:51:48
391,64,00:52:03
392,65,00:52:13
393,62,00:52:28
394,61,00:52:33
395,62,00:52:39
396,64,00:52:44
397,59,00:52:49
398,61,00:52:54
399,60,00:52:59
400,61,00:53:04
401,63,00:53:09
402,64,00:53:14
403,62,00:53:24
404,61,00:53:29
405,62,00:53:34
406,65,00:53:39
407,63,00:53:44
408,62,00:53:54
409,64,00:54:04
410,62,00:54:09
411,64,00:54:14
412,63,00:54:29
413,62,00:54:39
414,64,00:54:44
415,63,00:54:49
416,60,00:54:54
417,61,00:54:59
418,63,00:55:04
419,65,00:55:19
420,64,00:55:29
421,66,00:55:34
422,62,00:55:41
423,61,00:55:46
424,63,00:55:56
425,62,00:56:01
426,63,00:56:06
427,65,00:56:11
428,64,00:56:16
429,67,00:56:21
430,65,00:56:26
431,64,00:56:36
432,62,00:56:41
433,63,00:56:46
434,62,00:56:51
435,63,00:57:01
436,64,00:57:06
437,63,00:57:11
438,64,00:57:16
439,63,00:57:21
440,64,00:57:26
441,66,00:57:31
442,65,00:57:36
443,64,00:57:41
444,65,00:57:46
445,64,00:57:51
446,65,00:57:56
447,63,00:58:01
448,64,00:58:06
449,64,00:58:13
450,66,00:58:28
451,65,00:58:38
452,64,00:58:43
453,67,00:58:48
454,65,00:59:03
455,66,00:59:08
456,64,00:59:18
457,63,00:59:28
458,64,00:59:33
459,65,00:59:38
460,67,00:59:43
461,67,00:59:48
462,70,00:59:53
463,70,01:00:08
464,72,01:00:13
465,70,01:00:23
466,67,01:00:28
467,66,01:00:43
468,67,01:00:53
469,63,01:00:58
470,65,01:01:03
471,65,01:01:18
472,64,01:01:28
473,63,01:01:38
474,64,01:01:43
475,63,01:01:48
476,64,01:01:55
477,63,01:02:00
478,73,01:02:15
479,70,01:02:20
480,69,01:02:25
481,68,01:02:30
482,67,01:02:35
483,66,01:02:45
484,67,01:02:50
485,67,01:03:05
486,66,01:03:10
487,65,01:03:15
488,63,01:03:30
489,64,01:03:35
490,62,01:03:45
491,63,01:04:00
492,62,01:04:05
493,65,01:04:10
494,68,01:04:25
495,68,01:04:30
