,Time (s),Heart Rate
163,2019-06-04 13:18:24,104
164,2019-06-04 13:18:29,105
165,2019-06-04 13:18:34,107
166,2019-06-04 13:18:44,102
167,2019-06-04 13:18:49,98
168,2019-06-04 13:18:54,100
169,2019-06-04 13:18:59,103
170,2019-06-04 13:19:04,104
171,2019-06-04 13:19:09,105
172,2019-06-04 13:19:14,106
173,2019-06-04 13:19:19,109
174,2019-06-04 13:19:29,106
175,2019-06-04 13:19:34,105
176,2019-06-04 13:19:39,104
177,2019-06-04 13:19:44,105
178,2019-06-04 13:19:54,106
179,2019-06-04 13:20:00,108
180,2019-06-04 13:20:05,105
181,2019-06-04 13:20:10,102
182,2019-06-04 13:20:15,101
183,2019-06-04 13:20:30,102
184,2019-06-04 13:20:45,82
185,2019-06-04 13:20:50,85
186,2019-06-04 13:20:55,92
187,2019-06-04 13:21:00,99
188,2019-06-04 13:21:05,106
189,2019-06-04 13:21:10,114
190,2019-06-04 13:21:15,122
191,2019-06-04 13:21:20,129
192,2019-06-04 13:21:25,136
193,2019-06-04 13:21:30,143
194,2019-06-04 13:21:35,147
195,2019-06-04 13:21:40,150
196,2019-06-04 13:21:45,148
197,2019-06-04 13:21:50,144
198,2019-06-04 13:21:55,142
199,2019-06-04 13:22:05,143
200,2019-06-04 13:22:10,146
201,2019-06-04 13:22:15,145
202,2019-06-04 13:22:20,149
203,2019-06-04 13:22:25,152
204,2019-06-04 13:22:30,150
205,2019-06-04 13:22:37,148
206,2019-06-04 13:22:42,147
207,2019-06-04 13:22:47,151
208,2019-06-04 13:22:52,158
209,2019-06-04 13:22:57,162
210,2019-06-04 13:23:07,162
211,2019-06-04 13:23:12,166
212,2019-06-04 13:23:17,167
213,2019-06-04 13:23:22,162
214,2019-06-04 13:23:27,157
215,2019-06-04 13:23:37,161
216,2019-06-04 13:23:42,164
217,2019-06-04 13:23:47,161
218,2019-06-04 13:23:52,156
219,2019-06-04 13:23:57,154
220,2019-06-04 13:24:02,158
221,2019-06-04 13:24:07,156
222,2019-06-04 13:24:12,153
223,2019-06-04 13:24:17,157
224,2019-06-04 13:24:22,161
225,2019-06-04 13:24:27,159
226,2019-06-04 13:24:32,156
227,2019-06-04 13:24:37,160
228,2019-06-04 13:24:42,164
229,2019-06-04 13:24:47,166
230,2019-06-04 13:24:52,170
231,2019-06-04 13:24:57,173
232,2019-06-04 13:25:03,174
233,2019-06-04 13:25:08,175
234,2019-06-04 13:25:13,176
235,2019-06-04 13:25:18,177
236,2019-06-04 13:25:28,178
237,2019-06-04 13:25:33,176
238,2019-06-04 13:25:38,173
239,2019-06-04 13:25:43,174
240,2019-06-04 13:25:58,111
241,2019-06-04 13:26:08,112
242,2019-06-04 13:26:13,114
243,2019-06-04 13:26:18,115
244,2019-06-04 13:26:23,119
245,2019-06-04 13:26:28,120
246,2019-06-04 13:26:33,121
247,2019-06-04 13:26:48,121
248,2019-06-04 13:26:53,120
249,2019-06-04 13:26:58,119
250,2019-06-04 13:27:05,118
251,2019-06-04 13:27:10,117
252,2019-06-04 13:27:15,116
253,2019-06-04 13:27:20,117
254,2019-06-04 13:27:25,116
255,2019-06-04 13:27:30,117
256,2019-06-04 13:27:35,118
257,2019-06-04 13:27:45,117
258,2019-06-04 13:27:55,116
259,2019-06-04 13:28:00,115
260,2019-06-04 13:28:05,116
261,2019-06-04 13:28:20,116
262,2019-06-04 13:28:25,117
263,2019-06-04 13:28:30,118
264,2019-06-04 13:28:35,119
265,2019-06-04 13:28:50,118
266,2019-06-04 13:29:00,116
267,2019-06-04 13:29:05,114
268,2019-06-04 13:29:10,110
269,2019-06-04 13:29:15,109
270,2019-06-04 13:29:25,110
271,2019-06-04 13:29:30,111
272,2019-06-04 13:29:40,113
273,2019-06-04 13:29:45,112
274,2019-06-04 13:29:50,113
275,2019-06-04 13:29:55,114
276,2019-06-04 13:30:00,115
277,2019-06-04 13:30:07,115
278,2019-06-04 13:30:12,117
279,2019-06-04 13:30:17,119
280,2019-06-04 13:30:22,120
281,2019-06-04 13:30:27,121
282,2019-06-04 13:30:37,122
283,2019-06-04 13:30:52,120
284,2019-06-04 13:30:57,119
285,2019-06-04 13:31:12,107
286,2019-06-04 13:31:22,106
287,2019-06-04 13:31:32,107
288,2019-06-04 13:31:37,110
289,2019-06-04 13:31:42,111
290,2019-06-04 13:31:47,112
291,2019-06-04 13:31:52,111
292,2019-06-04 13:31:57,113
293,2019-06-04 13:32:07,117
294,2019-06-04 13:32:12,118
295,2019-06-04 13:32:22,116
296,2019-06-04 13:32:37,117
297,2019-06-04 13:32:52,117
298,2019-06-04 13:33:07,117
299,2019-06-04 13:33:12,119
300,2019-06-04 13:33:27,119
301,2019-06-04 13:33:42,119
302,2019-06-04 13:33:57,118
303,2019-06-04 13:34:02,117
304,2019-06-04 13:34:12,118
305,2019-06-04 13:34:17,121
306,2019-06-04 13:34:32,121
307,2019-06-04 13:34:37,121
308,2019-06-04 13:34:42,121
309,2019-06-04 13:34:57,120
310,2019-06-04 13:34:59,120
311,2019-06-04 13:35:14,120
312,2019-06-04 13:35:29,120
313,2019-06-04 13:35:34,121
314,2019-06-04 13:35:39,123
315,2019-06-04 13:35:44,121
316,2019-06-04 13:35:49,120
317,2019-06-04 13:35:54,119
318,2019-06-04 13:36:09,87
319,2019-06-04 13:36:14,89
320,2019-06-04 13:36:19,86
321,2019-06-04 13:36:24,85
322,2019-06-04 13:36:29,86
323,2019-06-04 13:36:34,88
