,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
0,1.559653556e+18,-0.7602234483,-0.3456336558,-0.385566771
1,1.55965355625e+18,-0.8254851699,-0.4790450931,0.03985011578
2,1.5596535565e+18,0.3066494465,0.3316176534,-0.06000413746
3,1.55965355675e+18,0.381973207,0.4886018336,0.1205625683
4,1.559653557e+18,0.3567381203,0.2511943877,0.03359171376
5,1.55965355725e+18,-0.06024873257,-0.1151866913,0.2027017772
6,1.5596535575e+18,0.5344599485,-0.1726283282,-0.8189668059
7,1.55965355775e+18,0.2980087996,0.1001247838,-0.5721508861
8,1.559653558e+18,0.6002150178,-0.05735867843,-0.6283071041
9,1.55965355825e+18,0.1881025434,0.4648211896,-0.4044204652
10,1.5596535585e+18,-0.5700713396,-0.9978875518,1.767292857
11,1.55965355875e+18,0.1847534478,0.2662477493,0.09062515944
12,1.559653559e+18,0.1277244985,0.4870110154,0.3317613304
13,1.55965355924e+18,0.4501680732,-0.2625609338,0.1694813371
14,1.55965355949e+18,0.2213636637,-0.009125330485,-0.4181466997
15,1.55965355974e+18,-1.10627985,0.5191948414,-1.953961492
16,1.55965355999e+18,-1.211161137,-0.4416119158,-0.5758957863
17,1.55965356024e+18,0.7796323299,0.2189491987,1.50665009
18,1.55965356049e+18,-0.225145638,0.736207366,0.1336946338
19,1.55965356074e+18,0.3527377844,-0.2267791778,1.192758441
20,1.55965356099e+18,0.5853964686,-1.734737396,-0.6492458582
21,1.55965356124e+18,-0.3610067964,-0.1322751045,0.1622727513
22,1.55965356149e+18,-0.4263499081,1.107932806,1.244440675
23,1.55965356174e+18,-1.493272901,1.180855632,1.204046249
24,1.55965356199e+18,0.09324682504,0.264420867,-0.01422259212
25,1.55965356224e+18,0.06513378024,-0.06459626555,-0.2804386616
26,1.55965356249e+18,1.570490956,0.4879202843,-1.016899824
27,1.55965356274e+18,-0.3481172621,-0.1116772071,0.2870499194
28,1.55965356299e+18,-0.2098304182,1.773090959,0.4641030431
29,1.55965356324e+18,0.206113562,-0.4631351233,-0.03940723836
30,1.55965356349e+18,-0.7292100787,0.3316397667,-0.3175543845
31,1.55965356374e+18,-0.08128141612,-0.05481461436,0.230699122
32,1.55965356399e+18,-0.1907697767,0.2801629901,0.05952312797
33,1.55965356424e+18,-0.06746751815,0.3720567226,-0.4148251116
34,1.55965356449e+18,-0.1546813101,-1.104624629,-0.1417608708
35,1.55965356474e+18,1.636359453,-2.176679373,-1.403802633
36,1.55965356499e+18,-0.5449619293,-1.643909693,0.890684545
37,1.55965356523e+18,-1.637928367,0.6976596713,1.819304466
38,1.55965356548e+18,2.051083803,2.179907084,-0.9709821343
39,1.55965356573e+18,-1.767116308,0.4344141185,1.054133892
40,1.55965356598e+18,0.3802391887,0.8331991434,0.2967814207
41,1.55965356623e+18,-0.1202140749,1.409528255,-0.251768142
42,1.55965356648e+18,0.1233775467,-0.06886256486,-0.6223747134
43,1.55965356673e+18,0.0892572701,0.9814509153,1.251272202
44,1.55965356698e+18,-0.1821465194,0.2587756813,0.1351478547
45,1.55965356723e+18,-0.381472379,0.03709359095,0.7257554531
46,1.55965356748e+18,0.2757318616,-0.7906064987,-0.02626021206
47,1.55965356773e+18,-0.397208184,0.4364220798,0.6387931108
48,1.55965356798e+18,-0.3522058725,0.1229192317,0.5614686608
49,1.55965356823e+18,-0.001993524842,0.1480028331,0.4517332613
50,1.55965356848e+18,-0.1487066001,0.03296615183,0.4893450439
51,1.55965356873e+18,-0.1167411655,0.1865691692,0.6187108159
52,1.55965356898e+18,-0.1110101417,0.0520542264,0.1711417437
53,1.55965356923e+18,0.04787097871,-0.1423415542,-0.2225579619
54,1.55965356948e+18,0.1965177953,-0.2024033815,-0.3137212396
55,1.55965356973e+18,0.177291587,-0.2746835649,-0.3279353678
56,1.55965356998e+18,0.1449860036,-0.1437400877,-0.3079530597
57,1.55965357023e+18,-0.06547806412,-0.1158518717,-0.1646979153
58,1.55965357048e+18,0.02523537166,0.001235211268,-0.1093760282
59,1.55965357073e+18,0.05696515366,-0.01137972623,-0.1156489253
60,1.55965357098e+18,0.1225425377,-0.01047634706,-0.1345557868
61,1.55965357122e+18,-0.02017570473,-0.01962407492,-0.04910559207
62,1.55965357147e+18,0.05465232208,-0.0451573357,0.03960689902
63,1.55965357172e+18,-0.04018043354,0.006733110175,0.02221740037
64,1.55965357197e+18,0.01610049047,0.004221081734,0.01859542355
65,1.55965357222e+18,0.01843228191,-0.001187366433,-0.08209446073
66,1.55965357247e+18,-0.06469133496,-0.007798672188,-0.03222954273
67,1.55965357272e+18,-0.1491066366,0.03831754625,0.1385332793
68,1.55965357297e+18,-0.1348778009,0.1174265742,0.1459911168
69,1.55965357322e+18,-0.111548245,0.1125065982,0.187702626
70,1.55965357347e+18,-0.0902531147,0.121653378,0.1946437657
71,1.55965357372e+18,-0.08298196644,0.12634781,0.1597838849
72,1.55965357397e+18,-0.08315701783,0.04476801306,0.1572651714
73,1.55965357422e+18,-0.03023168817,0.08372718096,0.04116949439
74,1.55965357447e+18,0.01234028209,0.008726254106,-0.03720746189
75,1.55965357472e+18,-0.01891164668,0.01104666479,-0.01366831269
76,1.55965357497e+18,0.05279860646,-0.02990244888,-0.01710664667
77,1.55965357522e+18,0.1806879491,-0.1170570478,-0.004925029352
78,1.55965357547e+18,0.03500752896,-0.01782587916,0.03652804717
79,1.55965357572e+18,-0.0260074269,0.0253750179,0.006797816604
80,1.55965357597e+18,-0.03296212479,-0.02949864976,0.08249279857
81,1.55965357622e+18,-0.108362101,0.1052682549,0.04969862849
82,1.55965357647e+18,-0.04174875468,-0.001680349931,0.02385170013
83,1.55965357672e+18,0.0155929327,0.03741761297,-0.05233501643
84,1.55965357697e+18,0.01408041827,-0.01062250324,0.01841353998
85,1.55965357722e+18,-0.004047026392,0.04271353036,0.003485540859
86,1.55965357746e+18,0.02272643521,0.02074505016,-0.05695840344
87,1.55965357771e+18,0.007248906419,-0.03417471051,-0.06615337729
88,1.55965357796e+18,-0.03977550566,-0.07704626024,-0.07673220336
89,1.55965357821e+18,0.005465488881,-0.0006230445579,-0.05795278028
90,1.55965357846e+18,-0.02767377719,0.01780616865,-0.01486334018
91,1.55965357871e+18,-0.02498544566,-0.001186549664,0.0002035740763
92,1.55965357896e+18,-0.0208761543,0.02238088101,-0.007593744434
93,1.55965357921e+18,-0.00255673565,0.00179974921,0.002335895784
94,1.55965357946e+18,-0.003477737308,-0.01602843776,-0.03342680633
95,1.55965357971e+18,-0.0002049785107,-0.01570619643,-0.02303621359
96,1.55965357996e+18,-0.01944157481,0.02567833103,0.03991930187
97,1.55965358021e+18,-0.002208987251,-0.0173015222,-0.00305369962
98,1.55965358046e+18,0.08101332188,-0.005502592772,-0.1085130721
99,1.55965358071e+18,-0.02543769404,-0.03732421622,-0.04374695942
100,1.55965358096e+18,-0.03498131782,0.007884467021,-0.005407651886
101,1.55965358121e+18,-0.05741237476,-0.02589792758,0.009608834982
102,1.55965358146e+18,0.02811434865,-0.05218077824,-0.02653620392
103,1.55965358171e+18,-0.3299914002,-1.823473454,0.09000303596
104,1.55965358196e+18,-0.1761860102,-1.542030573,0.233813256
105,1.55965358221e+18,-0.4915841818,0.3766714633,1.296325564
106,1.55965358246e+18,-0.2605982423,0.3076216578,0.02987577021
107,1.55965358271e+18,-0.1438803971,0.03378918394,-0.06257450581
108,1.55965358296e+18,0.05952752382,0.02631243691,-0.04610649124
109,1.55965358321e+18,-0.008496413939,0.03485831246,-0.03835463151
110,1.55965358346e+18,-0.04767162725,-0.01770606823,-0.04421284422
111,1.5596535837e+18,-0.02770970762,0.07590766251,0.01868592761
112,1.55965358395e+18,-0.08130677789,-0.00617497554,-0.07208120078
113,1.5596535842e+18,0.01395011973,-0.006896932144,-0.02876334637
114,1.55965358445e+18,-0.08616408706,-0.009951905347,0.004586152267
115,1.5596535847e+18,0.003209028393,0.01748857461,-0.06407063454
116,1.55965358495e+18,-0.04135365784,-0.03234511614,-0.06820586324
117,1.5596535852e+18,-0.9472858906,0.5901466012,-0.006935941987
118,1.55965358545e+18,-0.6000141501,-0.6102564931,-0.2778230906
119,1.5596535857e+18,0.2306530029,-0.4533731341,-0.1854384094
120,1.55965358595e+18,0.1558992118,-0.04896921292,-0.03260396421
121,1.5596535862e+18,0.01580282487,0.07936479151,0.0185601525
122,1.55965358645e+18,1.185627818,-0.5218490362,-0.5640134811
123,1.5596535867e+18,0.3905694783,-2.173319101,-1.244088054
124,1.55965358695e+18,0.7304654717,0.6689502001,-1.300939441
125,1.5596535872e+18,-0.9427483678,0.9409567714,0.4342455566
126,1.55965358745e+18,-0.9702740312,-2.332120895,-0.3643609881
127,1.5596535877e+18,-0.3264334202,0.3094578385,0.1298324168
128,1.55965358795e+18,-0.1264382005,-0.0004231324419,0.02656851709
129,1.5596535882e+18,0.1415183693,0.08877149969,-0.0169916451
130,1.55965358845e+18,-0.05435971543,0.0176058989,-0.03404129297
131,1.5596535887e+18,0.04672480002,0.02371581644,-0.01517441496
132,1.55965358895e+18,-0.1033134609,-0.03670256957,-0.01249196287
133,1.5596535892e+18,-0.05139286071,0.01297925599,-0.03700562194
134,1.55965358945e+18,0.01958249323,-0.03341478109,-0.005343317986
135,1.5596535897e+18,0.03801612929,0.03599017859,0.03255973756
136,1.55965358994e+18,0.006475631148,-0.01392361056,-0.02525237203
137,1.55965359019e+18,0.003524838947,0.0157551039,-0.01337960735
138,1.55965359044e+18,0.0204714369,0.01557309553,-0.006557473913
139,1.55965359069e+18,0.00517066149,-0.02029086836,-0.02378924936
140,1.55965359094e+18,0.01769660972,0.001653362066,-0.02690339833
141,1.55965359119e+18,0.02088384517,0.002174492925,-0.01928984001
142,1.55965359144e+18,0.01797039807,0.002012500539,0.0005605779588
143,1.55965359169e+18,-0.008433409035,0.01559610851,-0.004178868607
144,1.55965359194e+18,0.005379317794,-0.01336227078,-0.01585044339
145,1.55965359219e+18,-0.01838566549,0.006678016856,0.007244489156
146,1.55965359244e+18,-0.01747533865,0.02154513076,0.003907436039
147,1.55965359269e+18,0.0337237604,0.02531937137,0.02701360732
148,1.55965359294e+18,-0.03379563987,-0.01118120365,-0.0006495881826
149,1.55965359319e+18,-0.03025163338,0.007309062406,0.008377792314
150,1.55965359344e+18,0.0101531744,-0.004043931141,-0.02382841147
151,1.55965359369e+18,0.01306844596,-0.04127573222,0.0004747454077
152,1.55965359394e+18,-0.01062098518,-0.004150656983,-0.008931715041
153,1.55965359419e+18,0.003022852354,-0.05250124633,-0.01615317538
154,1.55965359444e+18,0.0193104241,-0.008053047583,0.00988384895
155,1.55965359469e+18,-0.01164135709,0.04241607338,0.03382234648
156,1.55965359494e+18,0.04897310212,0.02028304897,0.01597150415
157,1.55965359519e+18,-0.04348105565,0.004675265402,0.005829453003
158,1.55965359544e+18,0.007421796676,0.01127688959,-0.03105574101
159,1.55965359569e+18,-0.03817229718,0.0009940639138,0.01666359976
160,1.55965359593e+18,0.02297804877,-0.01371245459,-0.0106455693
161,1.55965359618e+18,0.03708823025,-0.04008933902,0.008094269782
162,1.55965359643e+18,0.006082342006,-0.007351682521,-0.02551896684
163,1.55965359668e+18,0.01375615969,-0.01460152958,-0.01443240233
164,1.55965359693e+18,-0.02861708403,0.001041484065,0.005293922033
165,1.55965359718e+18,0.0006668036804,0.009819582105,0.003857829142
166,1.55965359743e+18,0.00336337043,0.02763104253,0.01330358908
167,1.55965359768e+18,-0.02939793281,0.02856436558,-0.00601506792
