"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (°)"
1.381991190E2	5.233476685E1	4.867185806E0	-2.711991072E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.446110040E2	5.233500800E1	4.867103404E0	-2.712631226E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.457677530E2	5.233525573E1	4.867063990E0	-2.713666201E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.564571260E2	5.233537630E1	4.866990085E0	-2.583811045E0	1.519133987E0	-1.000000000E0	2.000000000E2	2.000000000E2
1.574649500E2	5.233529647E1	4.867016159E0	-9.376684427E-1	1.440201803E0	-1.000000000E0	2.000000000E2	2.000000000E2
1.584674300E2	5.233520694E1	4.867055734E0	-4.455546737E-1	1.356141185E0	-1.000000000E0	2.000000000E2	2.000000000E2
1.594551010E2	5.233512329E1	4.867093795E0	-2.038285285E-1	1.278228283E0	-1.000000000E0	2.000000000E2	2.000000000E2
1.597869360E2	5.233525166E1	4.867870970E0	-1.249749780E0	-1.000000000E0	-1.000000000E0	7.008254103E1	7.008254103E1
1.609379420E2	5.233526718E1	4.868086887E0	-1.734564900E0	-1.000000000E0	-1.000000000E0	6.702208016E1	6.702208016E1
1.701414800E2	5.233536020E1	4.868070515E0	-1.734564900E0	-1.000000000E0	-1.000000000E0	1.009798520E2	1.009798520E2
1.701693500E2	5.233536046E1	4.868070469E0	-1.734564900E0	-1.000000000E0	-1.000000000E0	1.009807997E2	1.009807997E2
1.701767480E2	5.233536053E1	4.868070457E0	-1.734564900E0	-1.000000000E0	-1.000000000E0	1.009808667E2	1.009808667E2
1.704726410E2	5.233511265E1	4.867939624E0	-9.693861604E-1	8.546091249E-1	-1.000000000E0	2.000000000E2	2.000000000E2
1.714729100E2	5.233487107E1	4.867830439E0	-3.900235891E-1	3.776225429E-1	-1.000000000E0	2.000000000E2	2.000000000E2
1.724880340E2	5.233436321E1	4.867200851E0	4.022483826E-1	-1.000000000E0	-1.000000000E0	1.000000000E2	1.000000000E2
1.734866641E2	5.233430441E1	4.867235133E0	4.906883240E-1	-1.000000000E0	-1.000000000E0	3.000000000E1	3.000000000E1
1.744659580E2	5.233426670E1	4.867272098E0	5.737571716E-1	-1.000000000E0	-1.000000000E0	3.000000000E1	3.000000000E1
1.754573970E2	5.233426322E1	4.867301434E0	6.109275818E-1	-1.000000000E0	-1.000000000E0	3.000000000E1	3.000000000E1
1.764534841E2	5.233425521E1	4.867325490E0	6.993064880E-1	-1.000000000E0	-1.000000000E0	3.000000000E1	3.000000000E1
1.774581420E2	5.233424411E1	4.867342841E0	7.174339294E-1	6.000000238E-1	1.406250000E2	3.000000000E1	3.000000000E1
1.784662730E2	5.233423132E1	4.867352312E0	7.892112732E-1	-1.000000000E0	-1.000000000E0	3.000000000E1	3.000000000E1
1.794609931E2	5.233422278E1	4.867368490E0	7.876243591E-1	-1.000000000E0	-1.000000000E0	3.000000000E1	3.000000000E1
1.804722490E2	5.233421846E1	4.867368322E0	7.971458435E-1	8.299999833E-1	1.550390625E2	3.000000000E1	3.000000000E1
1.814875441E2	5.233421930E1	4.867367651E0	8.214988708E-1	5.299999714E-1	1.476562500E2	3.000000000E1	3.000000000E1
1.824835160E2	5.233422437E1	4.867359269E0	9.255027771E-1	8.999999762E-1	3.332812500E2	1.000000000E1	1.000000000E1
1.834848410E2	5.233424817E1	4.867354408E0	8.525047302E-1	8.999999762E-1	3.466406250E2	1.000000000E1	1.000000000E1
1.844887750E2	5.233426326E1	4.867341667E0	1.009853363E0	1.279999971E0	3.346875000E2	1.000000000E1	1.000000000E1
1.854845960E2	5.233426946E1	4.867327334E0	9.243431091E-1	1.279999971E0	3.357421875E2	1.000000000E1	1.000000000E1
1.864571741E2	5.233428220E1	4.867318450E0	1.042263031E0	9.200000167E-1	3.375000000E2	1.000000000E1	1.000000000E1
1.874634840E2	5.233429587E1	4.867316019E0	1.166103363E0	9.200000167E-1	3.519140625E2	1.000000000E1	1.000000000E1
1.884734830E2	5.233431003E1	4.867318617E0	1.282680511E0	9.100000262E-1	5.625000000E0	1.000000000E1	1.000000000E1
1.894925050E2	5.233432449E1	4.867321970E0	1.316738129E0	8.000000119E-1	1.476562500E1	1.000000000E1	1.000000000E1
1.904786119E2	5.233432449E1	4.867321970E0	1.431240082E0	0.000000000E0	2.496093750E1	1.000000000E1	1.000000000E1
