"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.449952409E0,-4.629442692E0,4.176068306E-2,-4.392963409E0
5.509945375E0,3.171349049E0,-1.127011871E1,6.861798763E0
5.569939306E0,3.798036098E0,-6.126410484E0,7.203618050E0
5.629933702E0,5.889622688E0,-3.518179893E0,6.448957443E0
5.689927966E0,1.468196392E0,4.727740288E0,4.089041710E0
5.749922362E0,8.305702209E-1,2.690969944E0,5.356311798E-1
5.809916192E0,3.967547417E-1,5.851354599E-1,-4.509377480E-1
5.869908891E0,1.660318851E0,-5.730628967E-3,-3.865003586E-1
5.929901155E0,2.968824387E0,1.091341376E0,-1.836926937E0
5.989893718E0,2.766077995E0,1.077573061E0,-1.871957541E0
6.049886182E0,-2.345328331E-1,-1.451098919E-2,-2.327215672E0
6.109878712E0,-3.807112694E0,-4.185011387E-1,-2.116806030E0
6.169871242E0,-9.648939133E0,2.865250111E-1,-6.751439571E0
6.229863772E0,-1.336236191E1,4.772360325E0,-9.833906174E0
6.289856069E0,9.591444969E0,-1.626601982E1,6.519984722E0
6.349848400E0,-1.224439240E1,-4.256903648E0,-1.070569611E1
6.409840930E0,3.333981991E0,-7.116256714E0,3.576145172E-1
6.469833460E0,1.316581249E0,-1.307912827E0,2.906359911E0
6.529825990E0,1.499798775E0,-3.112174988E0,2.599794865E0
6.589818621E0,3.846438885E0,5.817317963E-1,2.792202473E0
6.649811887E0,-1.933345795E-1,4.835844040E0,3.416956663E0
6.709805017E0,-1.592983246E0,7.256474495E0,1.043628693E0
6.769798147E0,-1.798336506E0,2.079202175E0,2.516126633E-1
6.829791277E0,-3.732698917E0,1.592729926E0,-2.313623905E0
6.889784308E0,-2.548402786E0,1.686052799E0,-4.621540546E0
6.949776639E0,-4.961929798E0,-1.209621906E0,-8.605434418E0
7.009769103E0,1.811517715E0,-7.804394722E0,3.874484539E0
7.069761666E0,-3.616381407E0,-1.394152641E1,-3.945314407E0
7.129754196E0,3.857026577E0,-3.538551331E-1,1.244478703E0
7.189746660E0,2.420487404E-1,1.362863541E0,-2.157402039E-2
7.249739256E0,3.125419617E-1,-5.469202995E-1,-8.133769035E-1
7.309731587E0,4.018041134E0,-4.094877243E0,-2.534837723E-1
7.369723885E0,1.899064541E0,-4.504313469E-1,-4.728066921E-1
7.429716316E0,-3.092317581E-1,2.750263214E-1,-1.136860609E0
7.489708946E0,7.410311699E-1,2.537147045E0,-6.020498276E-1
7.549701410E0,-7.185205460E0,9.724593163E-1,-3.639554501E0
7.609694006E0,-8.759086609E0,9.294739723E0,-8.544992447E0
7.669687305E0,-3.917176723E0,-8.002996445E-1,-1.996088028E-1
7.729681535E0,8.340116501E0,-3.885574818E0,5.385299683E0
7.789675766E0,1.607265949E0,-8.223342896E0,-8.964115381E-1
7.849670162E0,4.789637089E0,-1.433134079E0,1.382655382E0
7.909664426E0,3.285794258E0,-3.400325775E0,1.833245277E0
7.969658023E0,9.900212288E-1,-1.488063812E0,6.991007328E-1
8.029650488E0,2.304477215E0,-2.132420540E0,6.455497742E-1
8.089642819E0,2.401904583E0,1.241383553E-1,-9.726319313E-1
8.149635250E0,1.644802094E-1,4.005932808E-1,-2.834569931E0
8.209627780E0,-2.376491547E0,-9.736962318E-1,-1.237488270E0
8.269620210E0,-1.509291077E1,6.698145866E0,-1.049677277E1
8.329612740E0,-9.663410187E0,7.968481064E0,-6.598369598E0
8.389605270E0,6.620667458E0,-1.776296616E1,5.717577934E0
8.449597568E0,2.728644848E0,-1.404954720E1,-3.116801023E0
8.509589933E0,5.566099167E0,-8.232202530E-1,5.026262283E0
8.569582463E0,3.756510258E0,-1.129867554E0,3.028162479E0
8.629574993E0,5.327987671E0,5.475702286E-1,2.731995106E0
8.689567457E0,5.904452801E-1,3.991328478E0,8.585586548E-1
8.749560355E0,-2.142022133E0,5.331198215E0,-4.236660004E-1
8.809553587E0,-2.739996672E0,1.106852293E0,-4.614950180E0
8.869546717E0,-6.692853451E0,-1.195350409E0,-1.029039860E1
8.929539781E0,2.605934143E-1,-7.766901970E0,-1.255864811E1
8.989532977E0,-5.660168648E0,7.843303680E-2,-5.877216339E0
9.049525742E0,8.676750183E0,-5.383301735E0,1.880200386E0
9.109518173E0,7.215970039E0,-4.540398598E0,-1.715875626E0
9.169510637E0,6.857872963E0,-2.236827850E0,3.781312704E0
9.229503267E0,3.727370739E0,3.325672150E-1,2.870087624E-1
9.289495731E0,6.851897717E0,-1.224843979E0,1.152132034E0
9.349488327E0,5.416648388E0,-2.657375813E0,-2.655715227E0
9.409480757E0,2.853558540E0,2.371229410E0,-2.561853647E0
9.469473088E0,-2.463280916E0,5.598015785E0,-3.390878677E0
9.529465319E0,-4.965449333E0,-2.634060383E-1,-3.405737400E0
9.589457849E0,-1.174966812E1,-2.632390499E0,-9.158210754E0
9.649450346E0,4.904110909E0,-1.966932774E0,-3.607984543E0
9.709442876E0,1.273391962E0,-4.189266205E0,2.979195595E0
9.769435473E0,-1.243119597E0,-1.026886368E1,1.564364910E0
9.829429272E0,1.018689919E1,-7.838163376E-1,4.169723988E0
9.889423671E0,7.289783478E0,-5.422849655E-1,6.672737122E0
9.949418103E0,4.900608540E0,-2.116179466E0,2.521659613E0
1.000941264E1,5.532236099E0,-5.632305145E-1,1.578595161E0
1.006940710E1,2.319557428E0,2.711334229E-1,-5.089325905E-1
1.012940040E1,-2.810008764E0,-2.232871056E0,-4.422339916E0
1.018939280E1,-3.165363550E0,-1.157276869E0,-4.862285614E0
1.024938539E1,-4.233687401E0,1.028285027E0,2.499499798E0
1.030937792E1,-1.370451927E1,1.132044220E1,-1.026573467E1
1.036937045E1,-1.304054737E0,-1.564359665E-1,-3.219676733E0
1.042936289E1,1.439238834E1,-1.033948326E1,3.344165325E0
1.048935548E1,8.419143677E0,-4.255072594E0,-1.774988174E-1
1.054934774E1,6.309925079E0,6.369056702E-1,2.472961903E0
1.060934011E1,3.757378101E0,5.763988495E-1,5.676436424E-1
1.066933257E1,4.304081917E0,-1.571966171E0,1.434185982E0
1.072932510E1,8.056735992E-1,-6.790614128E-1,1.735329628E-1
1.078931757E1,-2.157022476E0,3.278066635E0,-9.372262955E-1
1.084931023E1,-1.953743696E0,5.510642052E0,-6.747592449E0
1.090930366E1,1.638058186E0,5.417181015E0,-4.163317204E0
1.095932803E1,-4.642731667E0,-7.604031563E-1,-6.430352211E0
1.101932236E1,-7.955514908E0,3.774353981E0,-5.739957809E0
1.107931669E1,1.849112511E0,-2.866487980E0,1.594415665E0
1.113931095E1,3.100244999E0,-5.885383606E0,3.946342945E0
1.119930445E1,6.627047062E0,-6.126239777E0,-1.370476484E0
1.125929695E1,4.969317436E0,-8.367662430E-1,5.339800835E0
1.131928934E1,3.276459694E0,-8.890876770E-1,1.601687431E0
1.137928187E1,2.899940491E0,-1.340994835E0,3.158597946E-1
1.143927434E1,2.212368488E0,-1.530489922E-1,-1.828078747E0
1.149926693E1,-1.161772251E0,2.815674782E0,-1.208032608E0
1.155925940E1,-5.973424911E-1,-1.841831207E-1,-3.353198767E0
1.161925186E1,-2.987889767E0,-3.215584755E0,-4.440768242E0
1.167924412E1,-1.041976452E1,1.560476780E0,-4.110984802E0
1.173923659E1,-4.565195084E0,9.640169144E-2,-1.844599485E0
1.179922905E1,-8.703160286E-1,-1.059552956E1,1.160645485E1
1.185922165E1,9.902923584E0,-1.067282200E1,1.542429924E0
1.191921411E1,-6.036673784E-1,-1.326572418E0,4.150267601E0
1.197920698E1,6.317508698E0,-4.791564941E-1,5.581608772E0
1.203920021E1,2.121080637E0,-1.366150856E0,1.868093967E0
1.209919344E1,4.014110088E0,-1.766786575E0,2.054837704E0
1.215918650E1,2.663829803E0,2.157357454E0,-5.721888542E-1
1.221917970E1,-1.314276695E0,8.113772869E-1,-3.372453690E0
1.227917250E1,-4.728936195E0,-4.725301266E-1,-5.308853149E0
1.233916483E1,-9.448032379E0,-9.082529545E-1,-9.213220596E0
1.239915726E1,-9.308343887E0,-5.330939293E-1,-4.642065525E0
1.245914986E1,-4.358968735E0,3.168621063E-1,1.240173817E0
1.251914232E1,3.713139057E0,-1.172159958E1,6.958590508E0
1.257913488E1,4.550669670E0,-6.865149498E0,1.883594871E0
1.263912741E1,4.077757835E0,-1.077320099E0,4.440556526E0
1.269911974E1,1.632434845E0,8.783226013E-1,2.679344893E0
1.275911201E1,3.468036175E0,-1.156075478E0,1.956254959E0
1.281910454E1,1.353810787E0,-1.911427021E0,-2.188935280E-1
1.287909704E1,-1.060106754E0,-5.035638809E-1,-1.693904877E0
1.293908950E1,-5.799356461E0,2.749944687E0,-3.820987701E0
1.299908206E1,-5.717372894E0,4.117724419E0,-1.775926113E0
1.305907573E1,2.814191818E0,3.384798527E0,-3.316543818E0
1.311906999E1,-6.497116089E0,8.018400192E0,-1.256752968E0
1.317906432E1,1.031447029E1,-5.937140465E0,7.120441914E0
1.323905869E1,1.339361429E0,-1.161191654E1,-3.924901962E0
1.329905295E1,4.351736069E0,-1.162567139E-1,1.213821888E0
1.335904615E1,8.645420074E-1,-2.281532288E-1,9.163188934E-1
1.341903848E1,9.375433922E-1,-8.732275963E-1,5.298054218E-1
1.347903085E1,6.057786942E-2,1.381917000E-1,2.465903759E-1
1.353902331E1,-2.298796892E0,1.289801598E-1,-1.673844337E0
1.359901587E1,-4.683092594E0,2.535629272E0,-2.119719982E0
1.365900834E1,7.374090672E0,2.775192261E-2,-3.552609921E0
1.371900093E1,-9.772155762E0,1.139760590E1,-9.099783897E-1
1.377899336E1,2.331621647E0,-1.896144867E0,6.144736290E0
1.383898570E1,3.737790823E0,-5.873218536E0,-3.282769680E0
1.389897809E1,5.695855141E0,-2.465562820E0,1.769590020E0
1.395897069E1,2.446065426E0,-1.870537758E0,1.531202316E0
1.401896315E1,-2.787961960E-1,-2.011835098E0,9.282922745E-2
1.407895568E1,1.366381168E0,-9.317817688E-1,-3.048980236E-1
1.413894875E1,1.568889618E-1,5.236411095E-1,-3.796441317E0
1.419894195E1,-7.841625214E-1,3.787075996E0,-2.398339272E0
1.425893501E1,-2.067269325E0,4.121887207E0,-2.312631607E-1
1.431892814E1,-6.066772938E0,3.704383612E0,3.601350784E0
1.437892127E1,-2.513087749E0,5.416584969E0,5.263547897E-1
1.443891387E1,2.661842585E0,-2.314428329E0,2.633691788E0
1.449890620E1,-1.032560229E0,-9.559133530E0,-5.207326889E0
1.455889866E1,3.842673779E0,-3.162975311E-1,1.463755488E0
1.461889116E1,8.550667763E-2,-3.499137878E0,-7.243373394E-1
1.467888369E1,-2.087054968E0,-3.717654228E0,-1.117043376E0
