"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.569938230E0,-3.377999878E1,2.261999893E1,-1.367999935E1
5.629932393E0,-3.623999786E1,1.710000038E1,-1.505999947E1
5.689925425E0,-3.791999817E1,1.038000011E1,-1.715999985E1
5.749917756E0,-3.936000061E1,2.579999924E0,-1.734000015E1
5.809910186E0,-3.900000000E1,-5.400000095E0,-1.697999954E1
5.869902716E0,-3.665999985E1,-1.055999947E1,-1.985999870E1
5.929895180E0,-3.395999908E1,-1.350000000E1,-2.297999954E1
5.989887710E0,-3.077999878E1,-1.325999928E1,-2.801999855E1
6.049880240E0,-2.513999939E1,-1.031999969E1,-3.377999878E1
6.109872670E0,-1.829999924E1,1.799999952E0,-3.977999878E1
6.169864934E0,-2.123999977E1,1.811999893E1,-3.407999802E1
6.229857464E0,-1.446000004E1,2.279999924E1,-3.389999771E1
6.289849928E0,-2.237999916E1,2.681999969E1,-2.627999878E1
6.349842458E0,-3.005999947E1,2.435999870E1,-1.973999977E1
6.409834988E0,-3.329999924E1,2.243999863E1,-1.907999992E1
6.469828154E0,-3.654000092E1,1.703999901E1,-1.673999977E1
6.529821285E0,-3.815999985E1,9.719999313E0,-1.811999893E1
6.589814481E0,-3.900000000E1,2.099999905E0,-1.865999985E1
6.649807545E0,-3.857999802E1,-3.839999914E0,-1.853999901E1
6.709800675E0,-3.797999954E1,-8.220000267E0,-1.943999863E1
6.769793173E0,-3.852000046E1,-7.799999714E0,-2.129999924E1
6.829785637E0,-3.654000092E1,-2.399999946E-1,-2.687999916E1
6.889778134E0,-3.689999771E1,1.493999958E1,-2.135999870E1
6.949770730E0,-3.491999817E1,2.603999901E1,-1.169999981E1
7.009763194E0,-3.300000000E1,3.023999977E1,-9.119999886E0
7.069755724E0,-3.461999893E1,2.850000000E1,-1.115999985E1
7.129748121E0,-3.720000076E1,2.495999908E1,-1.265999985E1
7.189740486E0,-4.121999741E1,1.829999924E1,-1.115999985E1
7.249732850E0,-4.320000076E1,1.007999992E1,-1.247999954E1
7.309725414E0,-4.320000076E1,4.319999695E0,-1.457999992E1
7.369717944E0,-4.205999756E1,-1.199999973E-1,-1.865999985E1
7.429710474E0,-3.965999985E1,-1.740000010E0,-2.231999969E1
7.489703339E0,-3.731999969E1,2.939999819E0,-2.093999863E1
7.549697403E0,-4.002000046E1,1.469999981E1,-1.692000008E1
7.609691700E0,-3.750000000E1,2.579999924E1,-1.007999992E1
7.669686030E0,-3.641999817E1,3.095999908E1,-1.259999990E0
7.729680360E0,-3.521999741E1,3.119999886E1,-1.199999928E0
7.789674224E0,-3.618000031E1,3.107999992E1,1.740000010E0
7.849667022E0,-3.845999908E1,2.879999924E1,1.199999928E0
7.909659353E0,-3.984000015E1,2.555999947E1,-1.319999933E0
7.969651784E0,-4.200000000E1,1.992000008E1,-6.119999886E0
8.029644248E0,-4.295999908E1,1.319999981E1,-1.313999939E1
8.089636844E0,-4.121999741E1,7.259999752E0,-2.081999969E1
8.149629208E0,-3.539999771E1,4.019999981E0,-2.693999863E1
8.209621738E0,-3.150000000E1,1.715999985E1,-2.676000023E1
8.269614102E0,-3.311999893E1,3.161999893E1,-1.193999958E1
8.329606500E0,-2.855999947E1,3.773999786E1,1.199999973E-1
8.389598931E0,-2.795999908E1,3.815999985E1,3.299999952E0
8.449591527E0,-3.053999901E1,3.593999863E1,4.199999869E-1
8.509583991E0,-3.486000061E1,3.143999863E1,-2.700000048E0
8.569576622E0,-3.738000107E1,2.759999847E1,-7.379999638E0
8.629569821E0,-4.020000076E1,2.189999962E1,-9.359999657E0
8.689563051E0,-4.134000015E1,1.931999969E1,-9.779999733E0
8.749556115E0,-4.025999832E1,1.926000023E1,-1.007999992E1
8.809549245E0,-3.779999924E1,2.550000000E1,-1.121999931E1
8.869542276E0,-2.957999992E1,3.413999939E1,-7.980000019E0
8.929534674E0,-2.165999985E1,4.193999863E1,3.419999838E0
8.989527105E0,-1.439999962E1,4.475999832E1,7.980000019E0
9.049519735E0,-1.529999924E1,4.397999954E1,9.840000153E0
9.109512265E0,-1.583999920E1,4.434000015E1,8.880000114E0
9.169504795E0,-2.069999886E1,4.200000000E1,4.319999695E0
9.229497325E0,-2.705999947E1,3.809999847E1,-1.559999943E0
9.289489622E0,-3.354000092E1,3.204000092E1,-7.859999657E0
9.349481853E0,-3.611999893E1,2.568000031E1,-1.505999947E1
9.409474317E0,-3.497999954E1,2.039999962E1,-2.076000023E1
9.469466847E0,-3.161999893E1,2.003999901E1,-2.376000023E1
9.529459344E0,-2.687999916E1,3.101999855E1,-1.979999924E1
9.589451940E0,-2.015999985E1,4.097999954E1,-8.220000267E0
9.649445239E0,-1.001999950E1,4.547999954E1,4.019999981E0
9.709439471E0,-2.099999905E0,4.697999954E1,9.779999733E0
9.769433937E0,-3.119999886E0,4.691999817E1,7.440000057E0
9.829428503E0,-9.119999886E0,4.679999924E1,1.079999924E0
9.889422969E0,-1.734000015E1,4.331999969E1,-6.719999790E0
9.949416767E0,-2.477999878E1,3.629999924E1,-1.439999962E1
1.000940940E1,-3.065999985E1,2.957999992E1,-1.902000046E1
1.006940186E1,-3.461999893E1,2.453999901E1,-2.021999931E1
1.012939439E1,-3.420000076E1,2.226000023E1,-2.135999870E1
1.018938699E1,-2.850000000E1,2.442000008E1,-2.261999893E1
1.024937942E1,-1.943999863E1,3.839999771E1,-1.313999939E1
1.030937195E1,-8.220000267E0,4.620000076E1,-5.399999619E-1
1.036936435E1,-2.339999914E0,4.691999817E1,1.679999948E0
1.042935661E1,-6.420000076E0,4.727999878E1,-4.799999893E-1
1.048934904E1,-1.085999966E1,4.518000031E1,-5.460000038E0
1.054934157E1,-1.637999916E1,4.313999939E1,-1.134000015E1
1.060933410E1,-2.123999977E1,3.731999969E1,-1.763999939E1
1.066932670E1,-2.387999916E1,3.288000107E1,-2.171999931E1
1.072931976E1,-2.442000008E1,3.077999878E1,-2.526000023E1
1.077934390E1,-2.387999916E1,2.784000015E1,-2.826000023E1
1.083933829E1,-2.568000031E1,2.837999916E1,-2.597999954E1
1.089933256E1,-1.979999924E1,3.293999863E1,-2.334000015E1
1.095932682E1,-1.061999989E1,4.170000076E1,-1.655999947E1
1.101932075E1,-1.139999986E0,4.620000076E1,-8.579999924E0
1.107931355E1,6.599999905E0,4.655999756E1,-4.079999924E0
1.113930581E1,4.799999714E0,4.709999847E1,-6.779999733E0
1.119929841E1,-1.259999990E0,4.602000046E1,-1.085999966E1
1.125929087E1,-8.699999809E0,4.350000000E1,-1.685999870E1
1.131928340E1,-1.505999947E1,3.845999908E1,-2.237999916E1
1.137927586E1,-1.926000023E1,3.431999969E1,-2.627999878E1
1.143926846E1,-2.250000000E1,3.000000000E1,-2.789999962E1
1.149926073E1,-2.442000008E1,2.819999886E1,-2.945999908E1
1.155925306E1,-2.123999977E1,2.789999962E1,-2.868000031E1
1.161924559E1,-1.385999966E1,3.768000031E1,-2.429999924E1
1.167923812E1,-4.139999866E0,4.529999924E1,-1.373999977E1
1.173923058E1,3.480000019E0,4.691999817E1,-8.460000038E0
1.179922324E1,3.299999952E0,4.673999786E1,-6.059999943E0
1.185921654E1,-6.599999666E-1,4.697999954E1,-6.899999619E0
1.191920971E1,-4.799999714E0,4.589999771E1,-1.103999996E1
1.197920284E1,-1.223999977E1,4.277999878E1,-1.583999920E1
1.203919597E1,-2.231999969E1,3.629999924E1,-2.015999985E1
1.209918896E1,-2.795999908E1,2.963999939E1,-2.315999985E1
1.215918133E1,-3.029999924E1,2.526000023E1,-2.550000000E1
1.221917379E1,-2.753999901E1,2.531999969E1,-2.771999931E1
1.227916632E1,-1.860000038E1,3.042000008E1,-2.669999886E1
1.233915885E1,-1.475999928E1,4.091999817E1,-1.488000011E1
1.239915135E1,-5.400000095E0,4.637999725E1,-2.339999914E0
1.245914391E1,1.559999943E0,4.745999908E1,2.220000029E0
1.251913628E1,-1.139999986E0,4.721999741E1,1.919999957E0
1.257912858E1,-6.480000019E0,4.697999954E1,-5.999999642E-1
1.263912101E1,-1.242000008E1,4.487999725E1,-6.659999847E0
1.269911357E1,-1.865999985E1,4.152000046E1,-1.146000004E1
1.275910597E1,-2.495999908E1,3.695999908E1,-1.517999935E1
1.281909850E1,-2.807999992E1,3.270000076E1,-1.721999931E1
1.287909173E1,-2.471999931E1,3.377999878E1,-1.829999924E1
1.293908593E1,-2.076000023E1,3.827999878E1,-1.781999969E1
1.299908019E1,-1.050000000E1,4.320000076E1,-1.121999931E1
1.305907462E1,-2.220000029E0,4.697999954E1,-3.539999962E0
1.311906892E1,3.839999914E0,4.752000046E1,-2.399999857E0
1.317906252E1,1.799999923E-1,4.721999741E1,-3.839999914E0
1.323905502E1,-4.139999866E0,4.637999725E1,-4.920000076E0
1.329904741E1,-1.127999973E1,4.577999878E1,-7.259999752E0
1.335903984E1,-1.613999939E1,4.386000061E1,-8.880000114E0
1.341903234E1,-1.769999886E1,4.229999924E1,-1.157999992E1
1.347902487E1,-1.739999962E1,4.218000031E1,-1.211999989E1
1.353901740E1,-1.655999947E1,4.187999725E1,-1.338000011E1
1.359900987E1,-1.139999962E1,4.127999878E1,-1.007999992E1
1.365900223E1,-4.259999752E0,4.668000031E1,-3.539999962E0
1.371899463E1,3.599999905E0,4.655999756E1,7.199999690E-1
1.377898716E1,7.679999828E0,4.686000061E1,8.399999738E-1
1.383897969E1,2.879999876E0,4.739999771E1,-1.860000014E0
1.389897215E1,-2.039999962E0,4.721999741E1,-6.000000000E0
1.395896495E1,-8.099999428E0,4.577999878E1,-9.899999619E0
1.401895821E1,-1.169999981E1,4.397999954E1,-1.361999989E1
1.407895134E1,-1.392000008E1,4.193999863E1,-1.475999928E1
1.413894441E1,-1.427999973E1,4.241999817E1,-1.397999954E1
1.419893760E1,-1.103999996E1,4.391999817E1,-1.109999943E1
1.425893040E1,-5.219999790E0,4.613999939E1,-6.659999847E0
1.431892273E1,2.279999971E0,4.715999985E1,1.379999995E0
1.437891513E1,1.115999985E1,4.602000046E1,5.759999752E0
1.443890769E1,9.960000038E0,4.691999817E1,4.199999809E0
1.449890016E1,2.399999857E0,4.793999863E1,7.199999690E-1
1.455889279E1,-7.199999809E0,4.679999924E1,-2.639999866E0
1.461888525E1,-1.583999920E1,4.404000092E1,-6.539999962E0
1.467887765E1,-2.034000015E1,4.223999786E1,-8.340000153E0
1.473886995E1,-2.345999908E1,3.936000061E1,-1.019999981E1
1.479886251E1,-2.123999977E1,4.002000046E1,-1.073999977E1
1.485885494E1,-1.163999939E1,4.163999939E1,-9.119999886E0
1.491884751E1,-4.739999771E0,4.703999710E1,-1.620000005E0
1.497884007E1,6.179999828E0,4.650000000E1,3.359999895E0
1.503883377E1,9.599999428E0,4.650000000E1,1.500000000E0
1.509882810E1,3.599999905E0,4.793999863E1,-2.939999819E0
1.515882263E1,-4.440000057E0,4.631999969E1,-9.599999428E0
1.521881713E1,-1.307999992E1,4.350000000E1,-1.409999943E1
1.527881163E1,-1.926000023E1,3.936000061E1,-1.842000008E1
1.533880503E1,-2.219999886E1,3.575999832E1,-1.926000023E1
1.539879746E1,-2.255999947E1,3.431999969E1,-1.973999977E1
