"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.146207946E1,-1.972462516E-3,-3.453111276E-4,-1.232834533E-3
2.171165696E1,-3.654123284E-4,-1.150164753E-4,5.343090743E-4
2.196122996E1,1.234256197E-3,-9.702360258E-4,9.377850220E-4
2.221077196E1,-1.317382324E-3,-1.054330729E-3,8.069835603E-4
2.246034496E1,-1.346319914E-4,6.008865312E-4,-5.900515243E-4
2.270991521E1,4.603406414E-4,3.117881715E-4,-1.046191901E-4
2.295945821E1,1.424329355E-3,-1.464420930E-4,-1.147554256E-3
2.320903021E1,-8.464530110E-4,3.519626334E-4,1.160123385E-3
2.345860321E1,2.881097607E-4,4.490958527E-4,-2.526259050E-4
2.370813413E1,8.821021765E-4,1.170357689E-3,1.145469956E-3
2.395770713E1,-1.065946650E-3,5.009993911E-4,-2.182452008E-4
2.420728013E1,1.001520548E-3,-1.043161377E-3,-1.355744898E-4
2.445682213E1,-1.050844789E-3,-2.152174711E-4,-1.512086019E-4
2.470638163E1,-1.829714514E-3,6.848257035E-4,-3.778878599E-4
2.495595463E1,9.013274685E-4,1.260356978E-3,2.077408135E-5
2.520549662E1,7.529114373E-4,2.416064963E-4,1.310580410E-3
2.545506963E1,1.898687333E-3,-1.772108488E-3,9.424220771E-4
2.570466300E1,-6.076297723E-4,-4.297569394E-4,1.774830744E-4
2.595420600E1,1.022112556E-4,-1.485905610E-3,-1.327961683E-3
2.620377800E1,-5.543506704E-4,-1.554181799E-4,5.521457642E-4
2.645335100E1,3.464710899E-4,-9.337924421E-4,-1.009118743E-3
2.670287150E1,-6.184014492E-4,-4.035998136E-4,-2.840030938E-4
2.695244450E1,7.368260995E-4,-5.175173283E-5,-5.439789966E-4
2.720201750E1,6.044879556E-4,-5.644932389E-5,-1.221647486E-3
2.745155950E1,5.655898713E-4,-3.713881597E-4,1.097532921E-3
2.770112675E1,-4.787325859E-3,-2.541216090E-4,-3.395779058E-4
2.795069975E1,5.818055943E-4,1.806336455E-3,1.236665063E-3
2.820024175E1,2.755513415E-4,9.227395058E-4,-1.116253436E-3
2.844981475E1,-2.977764234E-4,-4.419088364E-4,-6.992109120E-4
2.869939708E1,-1.189467963E-3,-1.505205408E-3,1.239128411E-3
2.894894008E1,-1.424236689E-3,1.252613962E-3,-5.450164899E-4
2.919851208E1,6.962702610E-4,-4.865620285E-4,-6.029475480E-5
2.944808508E1,1.187872142E-3,-1.137746498E-3,6.020152941E-4
2.969762975E1,2.081006300E-3,-2.745008096E-4,-4.663784057E-4
