,Time (s),X (rad/s),Y (rad/s),Z (rad/s),label
0,1.5596532e+18,-0.172719866,-0.3934854865,-0.04977171868,train
1,1.55965320025e+18,-0.1366498172,-0.1253461987,-0.01210359205,train
2,1.5596532005e+18,-0.2895005941,-0.05833982676,0.09806687385,train
3,1.55965320075e+18,-0.3095719516,-0.0303239841,-0.04194677621,train
4,1.559653201e+18,-0.1516024917,0.0925341323,0.01185363438,train
5,1.55965320125e+18,-0.1179356724,-0.3443706036,1.551888227,train
6,1.5596532015e+18,0.3775881529,0.460277617,3.378735781,train
7,1.55965320175e+18,1.577414393,1.612318397,2.014040709,train
8,1.559653202e+18,0.02804583311,-0.01619714126,0.01466326974,train
9,1.55965320225e+18,0.02713815868,0.009768841788,0.004696356133,train
10,1.5596532025e+18,0.01929219812,-0.02698748186,0.01704434864,train
11,1.55965320275e+18,0.009242735803,0.006119373254,0.000183602795,train
12,1.559653203e+18,0.01034919918,-0.02018379234,-0.001990776509,train
13,1.55965320325e+18,0.002107886598,-0.001893313602,0.0006094491109,train
14,1.5596532035e+18,0.03821407259,-0.03915975243,-0.05605989695,train
15,1.55965320374e+18,-0.002587623196,-0.006856123451,0.006747716572,train
16,1.55965320399e+18,-0.005857869051,-0.02253497764,-0.006803185679,train
17,1.55965320424e+18,-0.004160813056,-0.004013748839,0.007638654206,train
18,1.55965320449e+18,-0.01702325232,0.01696190797,0.0096272761,train
19,1.55965320474e+18,0.003885410726,0.0007880758494,0.000361696817,train
20,1.55965320499e+18,-0.009828165174,0.00780645851,0.009925023653,train
21,1.55965320524e+18,-0.003159263637,0.00680503156,0.00934356451,train
22,1.55965320549e+18,0.01519192196,0.0007020719349,0.006536125205,train
23,1.55965320574e+18,0.007456966676,-0.01255577896,-0.001139669679,train
24,1.55965320599e+18,0.02933130041,0.01176570263,0.00651129242,train
25,1.55965320624e+18,0.02690899745,-0.007633673493,-0.006066636182,train
26,1.55965320649e+18,0.001857846044,-0.03352871537,-0.003749887459,train
27,1.55965320674e+18,-0.03152602166,-0.003110546619,0.004731039517,train
28,1.55965320699e+18,0.005241853651,-0.003198608756,-0.009940437973,train
29,1.55965320724e+18,0.001625804231,-0.02535033785,-0.004045141861,train
30,1.55965320749e+18,-0.009698639624,0.002135857008,0.004024562426,train
31,1.55965320774e+18,0.01115079597,0.003907314502,-0.009761914611,train
32,1.55965320799e+18,0.02241658978,-0.006838530302,-0.01572654396,train
33,1.55965320824e+18,-2.587866038e-05,0.004059570841,0.005484325346,train
34,1.55965320849e+18,0.02257256024,0.0003200359643,-0.004293113016,train
35,1.55965320874e+18,-0.001712261699,-0.01799416915,0.005481895991,train
36,1.55965320899e+18,0.02833679877,0.01358791534,-0.004105574451,train
37,1.55965320924e+18,-0.01759817824,0.01626621932,0.02148261666,train
38,1.55965320949e+18,-0.009638326243,-0.001364274882,0.009582248516,train
39,1.55965320974e+18,-0.008881305344,-0.001514717937,0.01414445043,train
40,1.55965320999e+18,0.005854346789,-0.01551125292,-0.001952701248,train
41,1.55965321024e+18,0.02212136053,0.002903819084,-0.01418717857,train
42,1.55965321049e+18,0.02772438526,-0.01328899991,-0.007036856376,train
43,1.55965321074e+18,0.04546324909,-0.004021275789,-0.01569435187,train
44,1.55965321099e+18,-0.0130271893,-0.02263459004,-0.008550007828,train
45,1.55965321123e+18,-0.001026116777,-0.002971570939,-0.01207386889,train
46,1.55965321148e+18,-0.0171411708,-0.02138040587,0.039291583,train
47,1.55965321173e+18,0.0124348551,0.02518253401,-0.009457042441,train
48,1.55965321198e+18,-6.493134424e-05,-0.002186539583,0.01794662699,train
49,1.55965321223e+18,0.003357276786,0.003412627615,0.008385371417,train
50,1.55965321248e+18,0.01110709924,0.007911470719,0.002567701973,train
51,1.55965321273e+18,0.004380543251,0.006311669014,0.007300042547,train
52,1.55965321298e+18,0.007351394277,-0.005690865684,0.01034087874,train
53,1.55965321323e+18,-0.001350715291,-0.02741128951,0.003805097658,train
54,1.55965321348e+18,-0.007978932001,-0.01458890736,-0.006084349938,train
55,1.55965321373e+18,0.01211500075,-0.003290737979,-0.008284860291,train
56,1.55965321398e+18,-0.01089939848,-0.02600868046,0.002475024201,train
57,1.55965321423e+18,-0.1359014064,-0.2573801577,-0.05154021457,train
58,1.55965321448e+18,-0.0796527788,0.01795768738,-0.02239591256,train
59,1.55965321473e+18,0.1071007997,0.5027651191,-0.01362681016,train
60,1.55965321498e+18,-0.01073691156,-0.229999572,-0.1811726838,train
61,1.55965321523e+18,0.007550890092,-0.03784590587,0.002244342119,train
62,1.55965321548e+18,0.04227779061,0.03980913013,-0.0189736858,train
63,1.55965321573e+18,-0.01492035016,-0.02194967121,-0.004850871861,train
64,1.55965321598e+18,0.001376667526,-0.04942460358,-0.01681801863,train
65,1.55965321623e+18,0.03965573013,-0.4123056233,-0.001199054532,train
66,1.55965321648e+18,-0.001441233326,-0.02834017575,0.008309559897,train
67,1.55965321673e+18,-0.0125983255,0.1282532811,0.02920230106,train
68,1.55965321698e+18,0.06533139199,0.2010367215,-0.2853762507,train
69,1.55965321723e+18,0.02096291073,0.5198526978,-0.1202296242,train
70,1.55965321748e+18,-0.07264828682,0.2821901441,-0.05914125219,train
71,1.55965321773e+18,0.02686297521,-0.2955978513,0.1017488837,train
72,1.55965321798e+18,-0.001154290047,0.01359265763,2.371240407e-05,train
73,1.55965321823e+18,0.002237592358,0.0006911633536,0.01510190777,train
74,1.55965321847e+18,-0.04485559091,-0.02227916941,-2.27112323e-05,train
