,Time (s),X (rad/s),Y (rad/s),Z (rad/s),label
0,1.55965355956e+45,-0.5617922544,-0.3156937361,-0.1110733226,biking
1,1.55965355956e+45,-0.08530846238,-0.3773186803,-0.006817714311,biking
2,1.55965355956e+45,-1.431050539,-1.682486892,-0.3355399668,biking
3,1.55965355956e+45,-0.7640442848,-1.756104231,1.847576976,biking
4,1.55965355956e+45,-0.3553083539,-0.5019994974,0.8187291622,biking
5,1.55965355956e+45,-0.01203576569,0.05900100246,1.082492471,biking
6,1.55965355956e+45,-0.5610235929,0.8002773523,0.3197650909,biking
7,1.55965355956e+45,0.4221031368,0.4400481582,0.1928934604,biking
8,1.55965355956e+45,-0.5943841934,-1.129477262,1.38476932,biking
9,1.55965355956e+45,-0.6769630313,1.008167505,-1.142698765,biking
10,1.55965355956e+45,-0.1277318895,-0.8356795311,0.4105330706,biking
11,1.55965355956e+45,0.4901636541,-0.01291853748,1.068113923,biking
12,1.55965355956e+45,-0.2046969682,0.9566501975,-0.6141111851,biking
13,1.55965355956e+45,-0.7264000177,1.050446868,-0.964076221,biking
14,1.55965355956e+45,-0.7063286304,0.3960445225,-0.8590410352,biking
15,1.55965355956e+45,0.7038181424,-0.5440570116,0.1422947496,biking
16,1.55965355956e+45,0.6720124483,0.3893836737,-0.3534046412,biking
17,1.55965355956e+45,-0.7979537249,0.28867504,-0.852876544,biking
18,1.55965355956e+45,-0.475307554,-0.1852041185,0.3735814095,biking
19,1.55965355956e+45,0.2524476051,-0.3040829599,0.4941576421,biking
20,1.55965355956e+45,0.0009406576864,0.4478144348,-1.385564923,biking
21,1.55965355956e+45,0.4182576537,-0.11828015,-0.4107073247,biking
22,1.55965355956e+45,0.1752111912,-1.150672197,0.0152139971,biking
23,1.55965355956e+45,0.03685364127,0.3325868249,1.313815475,biking
24,1.55965355956e+45,-0.5031980276,0.002077271231,-1.052572846,biking
25,1.55965355956e+45,0.4903166592,0.1659940332,-0.1743688583,biking
26,1.55965355956e+45,-0.1331178993,0.07272549719,0.2062278688,biking
27,1.55965355956e+45,-0.08902269602,0.4558031857,0.1121046543,biking
28,1.55965355956e+45,0.2898091674,0.4315062165,-0.4194160104,biking
29,1.55965355956e+45,0.3529202342,-0.3392823935,0.3315064311,biking
30,1.55965355956e+45,-0.6041383743,0.1387192309,-0.1050999314,biking
31,1.55965355956e+45,-0.1346067339,0.09809476882,-0.2911986411,biking
32,1.55965355956e+45,-0.1553811878,0.07064779103,-0.08011805266,biking
33,1.55965355956e+45,-0.1836430728,0.2024113983,0.3431989253,biking
34,1.55965355956e+45,0.5485358238,-0.7603543997,-0.1926924586,biking
35,1.55965355956e+45,0.2513961494,-0.3418678343,0.3478405774,biking
36,1.55965355956e+45,0.0145494258,0.1880725175,0.1340852529,biking
37,1.55965355956e+45,0.04981332645,0.4667114019,-0.7541319132,biking
38,1.55965355956e+45,-0.2581782639,-0.374430418,-0.293295145,biking
