,Time (s),X (rad/s),Y (rad/s),Z (rad/s),label
0,1.5596532e+18,0.06019255519,-0.6750823855,-0.02314029634,climbing_stairs
1,1.55965320025e+18,-0.01644519903,0.5471279621,0.1698817909,climbing_stairs
2,1.5596532005e+18,-0.2091252655,-1.28480494,-0.02134413645,climbing_stairs
3,1.55965320075e+18,0.9100478888,-1.037905931,0.5817776322,climbing_stairs
4,1.559653201e+18,-0.5942972302,-1.806921124,2.866942406,climbing_stairs
5,1.55965320125e+18,-1.618969083,-0.8915865421,2.411531448,climbing_stairs
6,1.5596532015e+18,-0.8465381265,-0.5067592263,1.337262869,climbing_stairs
7,1.55965320175e+18,0.09482891113,-0.6806434989,-0.6952536106,climbing_stairs
8,1.559653202e+18,0.6305081248,-1.362200141,-2.626004934,climbing_stairs
9,1.55965320225e+18,-0.5884888768,-0.2913250923,-0.8877919912,climbing_stairs
10,1.5596532025e+18,1.564776897,-0.09991567582,3.286397457,climbing_stairs
11,1.55965320275e+18,-0.8092544079,1.87878263,0.7646979094,climbing_stairs
12,1.55965320299e+18,1.454864264,-2.6559062,-1.12552762,climbing_stairs
13,1.55965320324e+18,0.3212725222,-0.9001421928,-1.940639973,climbing_stairs
14,1.55965320349e+18,-1.98678875,-0.3256769478,3.78918767,climbing_stairs
15,1.55965320374e+18,0.2692324817,0.6218109727,2.578462124,climbing_stairs
16,1.55965320399e+18,0.7840881944,-0.0967181921,-0.288379848,climbing_stairs
17,1.55965320424e+18,-0.5687424541,0.1989198625,-3.61184454,climbing_stairs
18,1.55965320449e+18,-0.3596797585,-0.5571497083,-0.6813420653,climbing_stairs
19,1.55965320474e+18,0.02868688852,1.514886856,3.866050959,climbing_stairs
20,1.55965320499e+18,-1.033880115,2.106552362,-0.2300869077,climbing_stairs
21,1.55965320524e+18,0.7403322458,-2.719718218,-2.392597914,climbing_stairs
22,1.55965320549e+18,1.192699075,-1.306390047,-1.524463058,climbing_stairs
23,1.55965320574e+18,-1.097905278,-0.1572318077,1.42146492,climbing_stairs
24,1.55965320599e+18,-0.9298458695,3.142415524,0.3266433477,climbing_stairs
25,1.55965320624e+18,-1.674842477,3.29674983,0.8145828247,climbing_stairs
26,1.55965320649e+18,0.1149164811,0.7086732984,1.229108214,climbing_stairs
27,1.55965320674e+18,-1.103707075,-1.202805281,-3.755250692,climbing_stairs
28,1.55965320699e+18,-0.067668356,-0.4449673295,-0.3626671731,climbing_stairs
29,1.55965320724e+18,-0.5452222824,0.7084512115,1.684744954,climbing_stairs
30,1.55965320749e+18,-2.287812233,2.588374853,0.7065730095,climbing_stairs
31,1.55965320774e+18,-1.467213631,2.747873306,0.1293719262,climbing_stairs
32,1.55965320799e+18,1.059412241,-1.092573166,-2.716133118,climbing_stairs
33,1.55965320824e+18,-1.601395607,0.5031926036,-0.5424404144,climbing_stairs
34,1.55965320849e+18,-0.2180503607,1.705228925,2.548752546,climbing_stairs
35,1.55965320874e+18,-1.194773197,1.319441915,0.07185663283,climbing_stairs
36,1.55965320898e+18,1.065932631,-2.515735388,-1.880678177,climbing_stairs
37,1.55965320923e+18,-0.6551879644,-0.3254476488,-1.687934875,climbing_stairs
38,1.55965320948e+18,0.5008323789,-0.1894631982,3.554328918,climbing_stairs
39,1.55965320973e+18,-1.364579201,2.098760366,1.216965199,climbing_stairs
40,1.55965320998e+18,1.161203027,-2.015057564,-1.845458865,climbing_stairs
41,1.55965321023e+18,0.5080243945,-0.8920204639,-2.203404903,climbing_stairs
42,1.55965321048e+18,-0.07873106003,-0.7880755663,1.941075206,climbing_stairs
43,1.55965321073e+18,-0.4958904684,1.011142969,2.806048393,climbing_stairs
44,1.55965321098e+18,1.706761599,-3.314145803,-0.2617110312,climbing_stairs
45,1.55965321123e+18,-0.3085698485,-1.088869333,-2.828154564,climbing_stairs
46,1.55965321148e+18,-1.580711603,0.02442726493,1.483144522,climbing_stairs
47,1.55965321173e+18,-0.4114903212,1.35867703,3.599545479,climbing_stairs
48,1.55965321198e+18,1.89664948,-0.9818575382,-0.3001578152,climbing_stairs
49,1.55965321223e+18,-0.443300873,-0.4474250078,-3.540016651,climbing_stairs
50,1.55965321248e+18,-0.1881853491,0.4957829118,0.1060429811,climbing_stairs
51,1.55965321273e+18,-0.6947456598,1.131813288,3.390558004,climbing_stairs
52,1.55965321298e+18,-1.199254751,2.156733274,-0.3822439909,climbing_stairs
53,1.55965321323e+18,0.2515907586,-1.482949615,-2.75144124,climbing_stairs
