,Time (s),X (hPa)
55,1.55965414813e+18,1008.24173
56,1.55965414917e+18,1008.197403
57,1.55965415021e+18,1008.153915
58,1.55965415125e+18,1008.121338
59,1.55965415229e+18,1008.090591
60,1.55965415332e+18,1008.063889
61,1.55965415436e+18,1008.047943
62,1.5596541554e+18,1008.028488
63,1.55965415644e+18,1008.003006
64,1.55965415748e+18,1007.976532
65,1.55965415852e+18,1007.956924
66,1.55965415956e+18,1007.931595
67,1.5596541606e+18,1007.904053
68,1.55965416164e+18,1007.879181
69,1.55965416267e+18,1007.848892
70,1.55965416371e+18,1007.811127
71,1.55965416475e+18,1007.774124
72,1.55965416579e+18,1007.746201
73,1.55965416683e+18,1007.720947
74,1.55965416787e+18,1007.697983
75,1.5596541689e+18,1007.672424
76,1.55965416994e+18,1007.643204
77,1.55965417098e+18,1007.60643
78,1.55965417202e+18,1007.569199
79,1.55965417306e+18,1007.539062
80,1.5596541741e+18,1007.519684
81,1.55965417513e+18,1007.500076
82,1.55965417617e+18,1007.481689
83,1.55965417721e+18,1007.460175
84,1.55965417825e+18,1007.42775
85,1.55965417929e+18,1007.38533
86,1.55965418033e+18,1007.353897
87,1.55965418137e+18,1007.325745
88,1.55965418241e+18,1007.291031
89,1.55965418344e+18,1007.252731
90,1.55965418448e+18,1007.226562
91,1.55965418552e+18,1007.186356
92,1.55965418656e+18,1007.140427
93,1.5596541876e+18,1007.093506
94,1.55965418864e+18,1007.065506
95,1.55965418967e+18,1007.03392
96,1.55965419071e+18,1007.004089
97,1.55965419175e+18,1006.974564
98,1.55965419279e+18,1006.952591
99,1.55965419383e+18,1006.925201
100,1.55965419487e+18,1006.901932
101,1.55965419591e+18,1006.886139
102,1.55965419694e+18,1006.868439
103,1.55965419798e+18,1006.847763
104,1.55965419902e+18,1006.82373
105,1.55965420006e+18,1006.782074
106,1.5596542011e+18,1006.731491
107,1.55965420214e+18,1006.685791
108,1.55965420318e+18,1006.649094
109,1.55965420421e+18,1006.620407
110,1.55965420525e+18,1006.600876
111,1.55965420629e+18,1006.58493
112,1.55965420733e+18,1006.563873
113,1.55965420837e+18,1006.528473
114,1.55965420941e+18,1006.496811
115,1.55965421045e+18,1006.466522
116,1.55965421149e+18,1006.440201
117,1.55965421253e+18,1006.414032
118,1.55965421357e+18,1006.390381
119,1.55965421461e+18,1006.360168
120,1.55965421565e+18,1006.322632
121,1.55965421669e+18,1006.282578
122,1.55965421772e+18,1006.244965
123,1.55965421876e+18,1006.219482
124,1.5596542198e+18,1006.196976
125,1.55965422084e+18,1006.172791
126,1.55965422188e+18,1006.144028
127,1.55965422292e+18,1006.111526
128,1.55965422396e+18,1006.07933
129,1.559654225e+18,1006.046753
130,1.55965422604e+18,1006.022797
131,1.55965422708e+18,1006.009369
132,1.55965422812e+18,1005.992813
133,1.55965422916e+18,1005.96077
134,1.55965423019e+18,1005.928116
135,1.55965423123e+18,1005.89035
136,1.55965423227e+18,1005.848694
137,1.55965423331e+18,1005.817413
138,1.55965423435e+18,1005.800476
139,1.55965423539e+18,1005.776443
140,1.55965423643e+18,1005.751419
141,1.55965423747e+18,1005.733795
142,1.55965423851e+18,1005.714417
143,1.55965423954e+18,1005.682449
144,1.55965424058e+18,1005.655136
145,1.55965424162e+18,1005.633621
146,1.55965424266e+18,1005.601425
147,1.5596542437e+18,1005.56839
148,1.55965424474e+18,1005.543365
149,1.55965424577e+18,1005.514374
150,1.55965424681e+18,1005.481567
151,1.55965424785e+18,1005.441589
152,1.55965424889e+18,1005.404205
153,1.55965424993e+18,1005.355377
154,1.55965425097e+18,1005.309525
155,1.55965425201e+18,1005.278244
156,1.55965425305e+18,1005.262451
157,1.55965425408e+18,1005.242462
158,1.55965425512e+18,1005.2285
159,1.55965425616e+18,1005.217514
160,1.5596542572e+18,1005.194244
161,1.55965425824e+18,1005.159531
162,1.55965425928e+18,1005.132599
163,1.55965426031e+18,1005.102997
164,1.55965426135e+18,1005.074844
165,1.55965426239e+18,1005.049591
166,1.55965426343e+18,1005.033264
167,1.55965426447e+18,1005.017471
168,1.55965426551e+18,1005.000839
169,1.55965426655e+18,1004.981308
170,1.55965426759e+18,1004.959869
171,1.55965426863e+18,1004.932861
172,1.55965426967e+18,1004.888535
173,1.5596542707e+18,1004.842224
174,1.55965427174e+18,1004.800339
175,1.55965427278e+18,1004.763947
176,1.55965427382e+18,1004.730988
177,1.55965427486e+18,1004.700394
178,1.5596542759e+18,1004.673615
179,1.55965427693e+18,1004.644165
180,1.55965427797e+18,1004.609299
181,1.55965427901e+18,1004.575882
182,1.55965428005e+18,1004.549942
183,1.55965428109e+18,1004.536057
184,1.55965428213e+18,1004.527817
185,1.55965428317e+18,1004.508591
186,1.5596542842e+18,1004.480286
187,1.55965428524e+18,1004.45076
188,1.55965428628e+18,1004.406052
189,1.55965428732e+18,1004.36676
190,1.55965428836e+18,1004.345551
191,1.5596542894e+18,1004.333191
192,1.55965429044e+18,1004.316864
193,1.55965429148e+18,1004.302521
194,1.55965429252e+18,1004.276276
195,1.55965429356e+18,1004.235916
196,1.55965429459e+18,1004.189453
197,1.55965429563e+18,1004.148941
198,1.55965429667e+18,1004.116287
199,1.55965429771e+18,1004.090347
200,1.55965429875e+18,1004.075851
201,1.55965429979e+18,1004.062347
202,1.55965430082e+18,1004.037933
203,1.55965430186e+18,1004.001083
204,1.5596543029e+18,1003.964081
205,1.55965430394e+18,1003.925781
206,1.55965430498e+18,1003.89122
207,1.55965430602e+18,1003.855896
208,1.55965430706e+18,1003.828278
209,1.5596543081e+18,1003.801804
210,1.55965430913e+18,1003.783417
211,1.55965431017e+18,1003.760147
212,1.55965431121e+18,1003.745193
213,1.55965431225e+18,1003.73703
214,1.55965431329e+18,1003.724976
215,1.55965431433e+18,1003.689575
216,1.55965431537e+18,1003.64502
217,1.5596543164e+18,1003.593216
