"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.246034496E1,-3.228773499E1,-1.100616455E0,-2.488214111E1
2.270991521E1,-3.208004761E1,-1.308013916E0,-2.492840576E1
2.295945821E1,-3.213999939E1,-1.589263916E0,-2.477001953E1
2.320903021E1,-3.235307312E1,-1.328414917E0,-2.473980713E1
2.345860321E1,-3.186329651E1,-1.263031006E0,-2.478393555E1
2.370813413E1,-3.175140381E1,-1.114990234E0,-2.496459961E1
2.395770713E1,-3.191903687E1,-1.354248047E0,-2.495898438E1
2.420728013E1,-3.188299561E1,-1.034988403E0,-2.494592285E1
2.445682213E1,-3.167631531E1,-1.094635010E0,-2.503112793E1
2.470638163E1,-3.232092285E1,-8.670196533E-1,-2.465527344E1
2.495595463E1,-3.298426819E1,-1.281860352E0,-2.475268555E1
2.520549662E1,-3.200807190E1,-1.092483521E0,-2.483312988E1
2.545506963E1,-3.202833557E1,-1.101470947E0,-2.497406006E1
2.570466300E1,-3.228866577E1,-1.283523560E0,-2.522448730E1
2.595420600E1,-3.204083252E1,-1.459503174E0,-2.495501709E1
2.620377800E1,-3.190728760E1,-1.372634888E0,-2.481127930E1
2.645335100E1,-3.192541504E1,-1.148910522E0,-2.495092773E1
2.670287150E1,-3.191400146E1,-1.524795532E0,-2.499584961E1
2.695244450E1,-3.212765503E1,-1.278350830E0,-2.482757568E1
2.720201750E1,-3.180038452E1,-1.412689209E0,-2.486730957E1
2.745155950E1,-3.203727722E1,-1.391510010E0,-2.477551270E1
2.770112675E1,-3.204476929E1,-1.454666138E0,-2.491516113E1
2.795069975E1,-3.193438721E1,-1.598892212E0,-2.486303711E1
2.820024175E1,-3.163763428E1,-1.304763794E0,-2.498309326E1
2.844981475E1,-3.217001343E1,-1.625244141E0,-2.468481445E1
2.869939708E1,-3.195062256E1,-1.555496216E0,-2.503381348E1
2.894894008E1,-3.204531860E1,-1.328033447E0,-2.472979736E1
2.919851208E1,-3.225570679E1,-1.162078857E0,-2.478259277E1
2.944808508E1,-3.212289429E1,-1.307723999E0,-2.475622559E1
2.969762975E1,-3.190797424E1,-1.380722046E0,-2.460479736E1
2.994717175E1,-3.174726868E1,-1.340255737E0,-2.473059082E1
3.019674475E1,-3.199452209E1,-1.228729248E0,-2.500524902E1
3.044631775E1,-3.187910461E1,-1.315811157E0,-2.464196777E1
3.069586538E1,-3.196652222E1,-1.353256226E0,-2.474652100E1
3.094543837E1,-3.217971802E1,-1.072433472E0,-2.482958984E1
3.119501037E1,-3.213801575E1,-1.335784912E0,-2.499865723E1
3.144455338E1,-3.187043762E1,-1.338394165E0,-2.456414795E1
3.169413246E1,-3.215179443E1,-1.300018311E0,-2.480627441E1
3.194370546E1,-3.238143921E1,-1.563888550E0,-2.476354980E1
3.219324746E1,-3.208192444E1,-1.011154175E0,-2.457836914E1
3.244282046E1,-3.185452271E1,-8.859100342E-1,-2.467346191E1
3.269237258E1,-3.214624023E1,-1.404022217E0,-2.472631836E1
3.294191458E1,-3.211245728E1,-1.100646973E0,-2.483386230E1
