"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.496826971E1,-5.343887329E-2,-4.116439819E-2,9.846973114E0
3.537030771E1,-7.379653931E-2,-4.819976807E-2,9.873767395E0
3.577237771E1,-8.113128662E-2,-5.284011841E-2,9.872869263E0
3.617443258E1,-6.346801758E-2,-5.269042969E-2,9.876012726E0
3.657644058E1,-5.987548828E-2,-5.403762817E-2,9.868528290E0
3.697845800E1,-7.933502197E-2,-5.119354248E-2,9.849218445E0
3.738049600E1,-5.104385376E-2,-5.568420410E-2,9.858648834E0
3.778256500E1,-6.421646118E-2,-5.179229736E-2,9.865085449E0
3.818459037E1,-4.849914551E-2,-4.041595459E-2,9.871222687E0
3.858659937E1,-6.541397095E-2,-4.879852295E-2,9.872569885E0
3.898859108E1,-5.882766724E-2,-4.191284180E-2,9.863289185E0
3.939059908E1,-6.331832886E-2,-5.568420410E-2,9.869276733E0
3.979260708E1,-6.735992432E-2,-6.047424316E-2,9.863438873E0
4.019464812E1,-6.301895142E-2,-4.864883423E-2,9.877060547E0
4.059656513E1,-7.095245361E-2,-3.951782227E-2,9.866432648E0
4.099845483E1,-7.140151978E-2,-4.415817261E-2,9.849966888E0
4.140037183E1,-5.388793945E-2,-4.775070190E-2,9.874066772E0
4.180228783E1,-3.487747192E-2,-3.173400879E-2,9.868677979E0
4.220417433E1,-4.924758911E-2,-5.718109131E-2,9.859546967E0
4.260609133E1,-5.328918457E-2,-5.448669434E-2,9.863588562E0
4.300802496E1,-5.777984619E-2,-4.430786133E-2,9.880653076E0
4.340991096E1,-5.284011841E-2,-4.251159668E-2,9.859097900E0
4.381182796E1,-5.179229736E-2,-5.014572144E-2,9.872569885E0
4.421369500E1,-6.002517700E-2,-3.667373657E-2,9.885143738E0
4.461561100E1,-6.616241455E-2,-5.897735596E-2,9.865833893E0
4.501750988E1,-6.182144165E-2,-7.125183105E-2,9.854158173E0
4.541939588E1,-6.706054688E-2,-4.834945679E-2,9.867330780E0
4.582131287E1,-5.104385376E-2,-4.161346436E-2,9.850715332E0
4.622317858E1,-5.433700562E-2,-3.487747192E-2,9.854607239E0
4.662503358E1,-6.466552734E-2,-5.164260864E-2,9.870474243E0
4.702695387E1,-4.879852295E-2,-6.002517700E-2,9.878557434E0
4.742880888E1,-6.137237549E-2,-4.775070190E-2,9.862690430E0
4.783069488E1,-6.541397095E-2,-4.011657715E-2,9.880802765E0
4.823259113E1,-6.316864014E-2,-6.346801758E-2,9.870773621E0
4.863450713E1,-5.403762817E-2,-4.430786133E-2,9.871372375E0
4.903641296E1,-6.182144165E-2,-4.954696655E-2,9.876910858E0
4.943839096E1,-5.493576050E-2,-5.179229736E-2,9.858199768E0
4.984045996E1,-6.107299805E-2,-4.715194702E-2,9.864337006E0
5.024243925E1,-6.376739502E-2,-5.194198608E-2,9.853559418E0
5.064435525E1,-5.822891235E-2,-3.996688843E-2,9.856104126E0
5.104628033E1,-6.541397095E-2,-4.730163574E-2,9.823921051E0
5.144819633E1,-6.122268677E-2,-4.999603271E-2,9.893526306E0
5.185014333E1,-6.256988525E-2,-5.358856201E-2,9.840835876E0
5.225205708E1,-5.298980713E-2,-3.233276367E-2,9.880204010E0
5.265394308E1,-7.020401001E-2,-4.730163574E-2,9.874815216E0
5.305581371E1,-5.373825073E-2,-3.727249146E-2,9.857900391E0
5.345772971E1,-7.035369873E-2,-4.760101318E-2,9.865983582E0
5.385964671E1,-5.538482666E-2,-4.670288086E-2,9.859846344E0
5.426154283E1,-7.050338745E-2,-6.451583862E-2,9.845925293E0
5.466345883E1,-6.511459351E-2,-4.326004028E-2,9.844877472E0
5.506530263E1,-6.152206421E-2,-5.149291992E-2,9.871372375E0
5.546718862E1,-7.619155884E-2,-3.906875610E-2,9.858798523E0
