,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),label
0,1.559653558e+36,52.33455537,4.866131602,3.027959585,-1.0,-1.0,131.2782153,131.2782153,climbing_stairs
1,1.559653558e+36,52.33495622,4.867376675,-1.791169405,-1.0,-1.0,65.0,65.0,climbing_stairs
2,1.559653558e+36,52.33497464,4.867409028,-2.403022766,-1.0,-1.0,65.0,65.0,climbing_stairs
3,1.559653558e+36,52.33497376,4.867416416,-2.769241095,-1.0,-1.0,65.0,65.0,climbing_stairs
4,1.559653558e+36,52.33496721,4.867398309,-2.968626976,-1.0,-1.0,65.0,65.0,climbing_stairs
5,1.559653558e+36,52.33499121,4.867445326,-2.994656563,-1.0,-1.0,65.0,65.0,climbing_stairs
6,1.559653558e+36,52.33496424,4.867638816,-2.998321056,-1.0,-1.0,65.0,65.0,climbing_stairs
7,1.559653558e+36,52.3349581,4.867730567,-1.819630504,0.7281757356,-1.0,200.0,200.0,climbing_stairs
8,1.559653558e+36,52.33496175,4.867692816,-1.203055501,0.7045472887,-1.0,200.0,200.0,climbing_stairs
9,1.559653558e+36,52.33496609,4.867657428,-0.8186451197,0.6816525044,-1.0,200.0,200.0,climbing_stairs
10,1.559653558e+36,52.33497101,4.867624354,-0.5540026426,0.6595143301,-1.0,200.0,200.0,climbing_stairs
11,1.559653558e+36,52.33497634,4.86759344,-0.3604711294,0.6381278766,-1.0,200.0,200.0,climbing_stairs
12,1.559653558e+36,52.3349818,4.867564628,-0.2133729309,0.6175147742,-1.0,200.0,200.0,climbing_stairs
13,1.559653558e+36,52.33498896,4.867536492,-0.09881699085,0.5972249769,-1.0,200.0,200.0,climbing_stairs
14,1.559653558e+36,52.33499509,4.867512415,-0.007808886468,0.578363063,-1.0,200.0,200.0,climbing_stairs
15,1.559653558e+36,52.33498649,4.867510443,0.06540283561,0.5668032989,-1.0,200.0,200.0,climbing_stairs
16,1.559653558e+36,52.3349573,4.867481488,0.1243476421,0.5488030353,-1.0,200.0,200.0,climbing_stairs
17,1.559653558e+36,52.33493009,4.867457985,0.1722705215,0.5329129654,-1.0,200.0,200.0,climbing_stairs
18,1.559653558e+36,52.33490177,4.867439264,0.2113042772,0.5191554694,-1.0,200.0,200.0,climbing_stairs
19,1.559653558e+36,52.33487084,4.867425153,0.2431532741,0.5076949529,-1.0,200.0,200.0,climbing_stairs
20,1.559653558e+36,52.33484125,4.867413027,0.2691045403,0.4973674451,-1.0,200.0,200.0,climbing_stairs
21,1.559653558e+36,52.33481307,4.867401475,0.2918112576,0.4876823135,-1.0,200.0,200.0,climbing_stairs
22,1.559653558e+36,52.33491112,4.868407462,-1.283083081,-1.0,-1.0,65.0,65.0,climbing_stairs
23,1.559653558e+36,52.3349113,4.868444209,-2.222188234,-1.0,-1.0,65.0,65.0,climbing_stairs
24,1.559653558e+36,52.33491061,4.868391851,-2.335807085,-1.0,-1.0,65.0,65.0,climbing_stairs
25,1.559653558e+36,52.33476228,4.868267359,-1.289731264,1.196668577,-1.0,200.0,200.0,climbing_stairs
26,1.559653558e+36,52.33458611,4.868103308,-0.7889178991,1.281101262,-1.0,200.0,200.0,climbing_stairs
27,1.559653558e+36,52.33443872,4.867975462,-0.4903838634,1.345460461,-1.0,200.0,200.0,climbing_stairs
28,1.559653558e+36,52.33431223,4.867873433,-0.2904068828,1.395136265,-1.0,200.0,200.0,climbing_stairs
29,1.559653558e+36,52.33420381,4.867793139,-0.1465984285,1.432170604,-1.0,200.0,200.0,climbing_stairs
30,1.559653558e+36,52.33411425,4.867723331,-0.03837350011,1.457887783,-1.0,200.0,200.0,climbing_stairs
31,1.559653558e+36,52.33403603,4.867663261,0.04514716566,1.476236396,-1.0,200.0,200.0,climbing_stairs
32,1.559653558e+36,52.33397031,4.867619713,0.111088559,1.485668051,-1.0,200.0,200.0,climbing_stairs
33,1.559653558e+36,52.33391217,4.86758844,0.1636150032,1.489389951,-1.0,200.0,200.0,climbing_stairs
34,1.559653558e+36,52.33386556,4.867564926,0.2060848773,1.486120836,-1.0,200.0,200.0,climbing_stairs
35,1.559653558e+36,52.33383193,4.867546359,0.2405897677,1.475602316,-1.0,200.0,200.0,climbing_stairs
36,1.559653558e+36,52.33380811,4.867530851,0.2686032057,1.459828078,-1.0,200.0,200.0,climbing_stairs
37,1.559653558e+36,52.33379558,4.867516038,0.2915749252,1.438448511,-1.0,200.0,200.0,climbing_stairs
38,1.559653558e+36,52.33379266,4.867501991,0.310369432,1.412413646,-1.0,200.0,200.0,climbing_stairs
39,1.559653558e+36,52.33379308,4.867488572,0.3256163895,1.385079016,-1.0,200.0,200.0,climbing_stairs
40,1.559653558e+36,52.33379347,4.867475349,0.3380182385,1.358296545,-1.0,200.0,200.0,climbing_stairs
41,1.559653558e+36,52.33379338,4.867462478,0.3481428623,1.33226491,-1.0,200.0,200.0,climbing_stairs
42,1.559653558e+36,52.33379579,4.86745098,0.3565066755,1.305261715,-1.0,200.0,200.0,climbing_stairs
43,1.559653558e+36,52.33385259,4.867415066,0.3636077344,1.254556122,-1.0,200.0,200.0,climbing_stairs
44,1.559653558e+36,52.33382903,4.867451512,0.3689796627,1.234922255,-1.0,200.0,200.0,climbing_stairs
45,1.559653558e+36,52.33381493,4.867476109,0.3734446764,1.212843104,-1.0,200.0,200.0,climbing_stairs
