,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),label
28,1.55965322747e+18,52.09620145,5.131615447,3.482448578,3.650000095,15.8203125,10.0,10.0,biking
29,1.55965322847e+18,52.09623448,5.131625254,3.689052582,3.650000095,15.1171875,10.0,10.0,biking
30,1.55965322947e+18,52.09626972,5.131637743,3.920681,3.660000086,15.8203125,10.0,10.0,biking
31,1.55965323047e+18,52.09630719,5.131659368,2.987758636,3.819999933,17.2265625,10.0,10.0,biking
32,1.55965323147e+18,52.09634503,5.131682502,3.520107269,3.880000114,17.9296875,10.0,10.0,biking
33,1.55965323247e+18,52.09638233,5.131702535,4.081691742,3.819999933,17.578125,10.0,10.0,biking
34,1.55965323347e+18,52.09641259,5.131724998,3.610866547,3.819999933,21.09375,10.0,10.0,biking
35,1.55965323447e+18,52.09643438,5.131744612,3.482326508,2.519999981,22.1484375,10.0,10.0,biking
36,1.55965323547e+18,52.09646008,5.131763974,3.550197601,3.849999905,23.203125,10.0,10.0,biking
37,1.55965323647e+18,52.09648958,5.131780487,2.211269379,2.519999981,16.875,10.0,10.0,biking
38,1.55965323747e+18,52.0965089,5.131792305,2.278102875,2.430000067,15.1171875,10.0,10.0,biking
39,1.55965323847e+18,52.09652621,5.131804878,2.67660141,1.909999967,17.578125,10.0,10.0,biking
40,1.55965323947e+18,52.09654276,5.131819127,2.74514389,1.909999967,23.90625,10.0,10.0,biking
41,1.55965324047e+18,52.0965713,5.131845949,2.577846527,1.909999967,22.5,10.0,10.0,biking
42,1.55965324147e+18,52.09660508,5.131875202,3.423732758,3.069999933,21.4453125,10.0,10.0,biking
43,1.55965324247e+18,52.09663903,5.13189842,3.033840179,2.49000001,17.9296875,10.0,10.0,biking
44,1.55965324347e+18,52.096663,5.131923398,3.104946136,2.49000001,26.015625,10.0,10.0,biking
45,1.55965324447e+18,52.09668588,5.131953573,2.699062347,2.230000019,30.5859375,10.0,10.0,biking
46,1.55965324547e+18,52.096706,5.131982071,2.906093597,2.140000105,36.5625,10.0,10.0,biking
47,1.55965324647e+18,52.09672193,5.132004535,3.026332855,1.629999995,29.53125,10.0,10.0,biking
48,1.55965324747e+18,52.09673228,5.13201694,3.197536469,1.629999995,14.4140625,10.0,10.0,biking
49,1.55965324847e+18,52.09675223,5.132023562,3.959926605,1.559999943,7.03125,10.0,10.0,biking
50,1.55965324947e+18,52.09678601,5.132043846,3.223171234,1.559999943,16.171875,10.0,10.0,biking
51,1.55965325047e+18,52.09682527,5.13207796,3.059474945,2.890000105,28.4765625,10.0,10.0,biking
52,1.55965325147e+18,52.0968798,5.132137975,3.445156097,3.539999962,35.859375,10.0,10.0,biking
53,1.55965325247e+18,52.0969259,5.132182734,3.458827972,3.279999971,36.9140625,10.0,10.0,biking
54,1.55965325347e+18,52.09696555,5.132202264,3.607143402,3.279999971,25.3125,10.0,10.0,biking
55,1.55965325447e+18,52.09700477,5.132216932,3.727993011,2.859999895,16.875,10.0,10.0,biking
56,1.55965325547e+18,52.09703989,5.132225817,3.941738129,2.859999895,16.875,10.0,10.0,biking
57,1.55965325647e+18,52.09706894,5.132230092,4.026760101,2.75,13.0078125,10.0,10.0,biking
58,1.55965325747e+18,52.09709551,5.132236043,3.944179535,2.690000057,15.1171875,10.0,10.0,biking
59,1.55965325847e+18,52.09712166,5.132247191,3.926967621,2.559999943,19.6875,10.0,10.0,biking
60,1.55965325947e+18,52.09716977,5.132264206,3.274990082,3.380000114,17.2265625,10.0,10.0,biking
61,1.55965326047e+18,52.09721151,5.132285915,3.240749359,3.380000114,18.28125,10.0,10.0,biking
62,1.55965326147e+18,52.09725237,5.132304523,2.947658539,3.519999981,14.765625,10.0,10.0,biking
63,1.55965326247e+18,52.09728552,5.132315923,3.133388519,2.829999924,7.734375,10.0,10.0,biking
64,1.55965326347e+18,52.09732194,5.132325059,2.821315765,2.99000001,7.03125,10.0,10.0,biking
65,1.55965326447e+18,52.09735912,5.132336291,2.843349457,2.99000001,15.1171875,10.0,10.0,biking
66,1.55965326547e+18,52.09739855,5.13235515,2.840358734,3.539999962,16.171875,10.0,10.0,biking
67,1.55965326647e+18,52.09743481,5.132377446,2.611721039,3.539999962,18.984375,10.0,10.0,biking
68,1.55965326747e+18,52.09745861,5.132403178,2.918727875,2.74000001,49.5703125,10.0,10.0,biking
69,1.55965326847e+18,52.09747827,5.132428072,2.703151703,2.74000001,33.3984375,10.0,10.0,biking
