,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),press_Pressure (hPa),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (muT),mag_Magnetic field y (muT),mag_Magnetic field z (muT),linacc_Linear Acceleration x (m/s^2),linacc_Linear Acceleration y (m/s^2),linacc_Linear Acceleration z (m/s^2),hr_Heart Rate,labeldribbelRun,labeldribbelStil,labelpassing,labelthrowing
2019-06-04 13:00:00.049999872,-2.0187419934333328,-5.9056936341005128,6.3256739896435894,1021.6790894,-0.147452303122,-0.126533216642,0.275644278951,20.5570583071,2.31352935251,-27.4641173594,1.39206474308,-11.9379228002,-2.89009072568,,1,0,0,0
2019-06-04 13:00:02.049999872,-4.7494851309894734,-4.3876975895868426,6.2631708839535269,1021.70261225,-0.270916340417,0.18320265,1.34334850961,15.4290907526,-3.48181808318,-25.9981811994,0.634523814464,-6.01667296507,-0.265787615935,,1,0,0,0
2019-06-04 13:00:04.049999872,-3.7701233528615385,-6.8045904484179482,5.8247180825487179,1021.6939454,0.278790698811,-0.126595869669,0.0169193473513,0.236363600621,-1.05999998367,-34.8145448524,-0.648294250294,-4.49388277157,-1.9425894274,,1,0,0,0
2019-06-04 13:00:06.049999872,-5.2151085968631579,-4.0998805880342104,5.7214976083605267,1021.7547486,-0.805471643949,0.0467064342913,0.573143903382,-5.08764693324,6.70235278606,-35.8341169924,-0.861496602826,-5.46742907702,-3.34978214397,,1,0,0,0
2019-06-04 13:00:08.049999872,-1.2734472559974359,-6.818464896912821,6.7377962246987186,1021.77142325,0.0472570961077,-0.618796620324,1.27776086975,13.0018178312,25.5381813857,-26.1109087259,-0.536077810161,-6.68686249221,-0.499568607251,,1,0,0,0
2019-06-04 13:00:10.049999872,-1.9579497114342099,-5.4086038208657898,5.2806360708376312,1021.746228,-0.619093426145,0.377200634797,-0.538968438653,13.3164702476,26.1229404281,-24.9264700416,-0.172928074658,-3.93458965952,-1.94827846926,,1,0,0,0
2019-06-04 13:00:12.049999872,-2.604172873736744,-6.6131711974358955,6.3859606799487176,1021.78055415,0.0918659315487,-0.227200664015,0.290399019878,7.67636340471,26.7309085544,-28.9945447228,1.33814181697,-6.06401044683,-1.37646513294,,1,0,0,0
2019-06-04 13:00:14.049999872,-2.5354110189736843,-7.9350048012499999,5.3081072832184217,1021.75009765,0.0247585130237,0.122630536776,0.175438473294,0.869090903159,23.8509086694,-27.6127267315,1.34516866993,-6.53828998064,-2.32129661981,103.0,1,0,0,0
2019-06-04 13:00:16.049999872,-1.6449896036076923,-5.2492327064384607,4.9140341390641025,1021.80555415,-0.338339842376,-0.132265946353,0.159955797028,-8.6682350553,20.5341173479,-30.3035286176,0.443575988818,-5.02415028364,-3.00609195936,,1,0,0,0
2019-06-04 13:00:18.049999872,-0.33967197994999987,-9.7605132741026299,7.0564319209921065,1021.7897339,0.284665616206,-0.554545705247,0.192381950947,-10.8436361155,19.561817778,-32.5309085848,0.921446230336,-7.47056604537,-2.33488532273,104.0,1,0,0,0
2019-06-04 13:00:20.049999872,-1.8780937264871795,-7.8106155116307701,4.0141551777205127,1021.78142085,-0.658057340281,0.126819226974,0.729579815308,-1.27272727388,31.14181744,-23.7890905376,-1.81123947565,-4.15156943844,-2.80238456414,,1,0,0,0
2019-06-04 13:00:22.049999872,-2.5605509215427631,-6.8894627585576309,5.6680046036342109,1021.729004,-0.0823840679053,0.508809912339,-0.501962860848,-4.09588220118,23.9576464541,-32.1017639365,-3.12041923414,-4.12921433193,-1.53365245966,,1,0,0,0
2019-06-04 13:00:24.049999872,-1.534054835664872,-6.7953202736130764,5.1608286290230776,1021.8138672,0.0198307472385,-0.116900364809,0.655743420923,-7.55818175069,20.2399995299,-36.9781807406,-2.50375448588,-6.46367595055,-3.91681552642,,1,0,0,0
2019-06-04 13:00:26.049999872,-4.6934087267357896,-4.6183040171157899,6.1435201020028947,1021.86086415,0.0136986837763,0.0942574472895,0.576037467311,-10.4618179931,27.3290903502,-31.3145449379,-1.78397808851,-2.99042021778,-1.89998500286,,1,0,0,0
2019-06-04 13:00:28.049999872,-3.7822611637921044,-4.0836877566289465,6.8524145848552633,1021.84223615,-0.896410189699,-0.330342087655,1.1783666849,15.9247054907,21.4288228936,-24.6264700154,-1.58558828697,-1.89632436968,-2.34583822412,105.0,1,0,0,0
2019-06-04 13:00:30.049999872,-2.8459332454957686,-6.1073652294743592,5.5352564713846153,1021.82613525,0.0903778927564,-0.43188751851,0.224347268529,30.1127265579,23.0309085845,-15.3290905585,1.60679148206,-4.38417694599,-1.06721774062,,1,0,0,0
2019-06-04 13:00:32.049999872,-2.485635293884211,-7.1140835855657896,5.5022955038157892,1021.81614995,-0.010237586226,0.142773035999,0.2791248221,31.0072722006,17.1381815418,-18.5436358199,0.805616638858,-5.36173613359,-2.52633826639,,1,0,0,0
2019-06-04 13:00:34.049999872,-2.2454614253102565,-6.7183964485589742,5.148182001579487,1021.77567135,-0.526204418133,-0.0404012192709,0.4130889483,29.4158816065,15.6758818718,-20.8641172294,3.02427956289,-4.33489020236,-2.05580756265,101.0,1,0,0,0
2019-06-04 13:00:36.049999872,-3.497657488923684,-6.6742301037573686,6.0864986322526313,1021.78367915,0.27722271956,-0.241380834466,0.724927836126,30.17272643,13.7636360431,-20.3072724779,0.361973166455,-4.59276739741,-2.33722377539,,1,0,0,0
2019-06-04 13:00:38.049999872,-2.0169002322205123,-4.8349003570974363,5.3513883837051281,1021.80130625,-0.609344743171,0.142341491982,0.08950265973,22.6018177845,1.62909081056,-28.8854536864,0.426262848597,-2.76138905223,-3.77236794033,105.0,1,0,0,0
2019-06-04 13:00:40.049999872,-3.5193319170473694,-7.4108476096352653,6.0890188651210542,1021.7477417,0.226231538689,-0.383519511904,0.213746157393,28.1276463906,11.9805879539,-20.7582348161,0.615731954761,-2.81472637415,0.728823090988,,1,0,0,0
2019-06-04 13:00:42.049999872,-2.5661100554512815,-6.4590167081846159,4.1600831577974366,1021.8610962,-0.43708074791,-0.339568581326,0.0585051729,26.1599993858,14.5999997388,-19.0581813431,0.275490323724,-3.27472184892,-1.61932328272,,1,0,0,0
2019-06-04 13:00:44.049999872,-3.3993662287210529,-7.430505954707896,5.3912767481068418,1021.838623,0.198822964333,0.288078617129,0.0510309400161,22.0272722248,19.3909085445,-21.1636359179,1.01225180308,-4.35853166749,-1.59282022329,106.0,1,0,0,0
2019-06-04 13:00:46.049999872,-4.264510361012821,-6.9006069159153851,4.1614951807128211,1021.8078857,-0.221241673649,0.09163965558,0.326189471708,26.0964700192,18.5541172032,-15.430588064,2.84781151851,-4.43730045676,-0.879904486752,,1,0,0,0
2019-06-04 13:00:48.049999872,-2.9767766926605268,-4.9541326377607904,5.2037673330842109,1021.8060791,-0.860963901042,-0.486771845924,0.793248301497,17.4654541608,1.35818178541,-27.5836358509,1.41955984725,-3.42860123767,-2.61161727611,102.0,1,0,0,0
2019-06-04 13:00:50.049999872,-3.5451229088615386,-6.8053270698205139,4.9158758936102567,1021.8182374,-0.263422714915,-0.00963867951795,0.338657383236,1.55647057644,8.54470566343,-32.5729403785,-0.843176063293,-3.24877039488,-2.90437523792,,1,0,0,0
2019-06-04 13:00:52.049999872,-5.794082039222106,-7.2317810266631586,4.3449787172026317,1021.8009887,0.116565166505,-0.0605968772303,0.484439835516,-5.73090899145,20.0836360382,-30.2309085385,-0.699449044145,-4.47982055475,-2.48148681172,,1,0,0,0
2019-06-04 13:00:54.049999872,-2.8673590200179491,-5.4512112077333335,4.7596955253512823,1021.7738037,-0.962252546986,-0.53188145951,1.15557218578,5.94545434757,27.1818176904,-22.5018176503,1.1520301933,-3.51028541009,-0.975005236587,103.0,1,0,0,0
2019-06-04 13:00:56.049999872,-2.4876515252039475,-7.2433113324947378,5.9704393035789485,1021.8723024,0.42035808968,-0.0499871051847,0.34360325879,19.6147054499,30.7764696243,-12.303529101,-0.156018904979,-4.41049609108,-2.49796497823,,1,0,0,0
2019-06-04 13:00:58.049999872,-2.4139201250564102,-7.4697076360725623,3.6391749503948714,1021.8964478,-0.292462307656,0.742383447236,-0.567944952148,10.2254543069,35.9672718636,-14.5163631947,-0.447013293346,-2.35349854702,-1.80661901602,,1,0,0,0
2019-06-04 13:01:00.049999872,-1.3899395282552631,-6.2868616136657902,5.5404149128636835,1021.8939697,-0.026136211531,-0.515739699516,0.232409708982,1.03818178978,35.8781809955,-16.9509087475,1.35593781328,-2.35853373615,-3.89133914361,,1,0,0,0
2019-06-04 13:01:02.049999872,-3.1034212564552637,-4.699394367646315,5.6899940402368427,1021.91538085,0.350076435205,0.0982281046714,0.0678618856447,-2.50588233978,20.8517640515,-25.5264701847,0.972920414567,-5.02742347252,-2.2385870006,,1,0,0,0
2019-06-04 13:01:04.049999872,-4.1674501216854871,-6.1036202768292309,7.8852677831282021,1021.85850835,-0.0941190445333,-0.197142987918,0.478169607168,-7.12363619542,14.367272317,-30.8181810673,-2.21087665647,-0.555438125058,2.23211598381,103.0,1,0,0,0
2019-06-04 13:01:06.049999872,-2.2356856222944743,-6.2280757821421053,5.9119054957105259,1021.82902825,-0.51842927628,-0.12184412547,0.382891519792,-2.00181817224,25.8909085019,-28.6418176421,-0.732993945928,0.932880734251,1.45385763867,,1,0,0,0
2019-06-04 13:01:08.049999872,-1.3148252134846155,-6.0852642658029987,5.3389258462153855,1021.88312985,-0.493233386434,0.200123041131,0.176496154421,-4.92176461198,31.8194111938,-22.3376466517,-0.223737415254,-1.11220275652,-0.515608892876,,1,0,0,0
2019-06-04 13:01:10.049999872,-2.9893780641492107,-7.3433668126894727,5.7248370720147363,1021.8375976,0.375732739298,-0.240946802031,0.304829372122,-10.2309089212,28.7290898949,-27.6109085372,-0.964903487773,-3.98897135798,-3.03506421318,,1,0,0,0
2019-06-04 13:01:12.049999872,-4.2091965312571791,-6.3338391122220505,4.984266240766666,1021.8649048,-0.428779267246,-0.0425314104244,0.00460806871846,-7.17272716209,28.0327264603,-31.4254539376,-1.14654007091,-4.24023073396,-4.60514044711,,1,0,0,0
2019-06-04 13:01:14.049999872,-4.0533182465078941,-6.1990924662105265,3.9984388387610519,1021.82401125,-0.512802883253,-0.342044995247,0.524355054151,2.21294112447,35.5711757997,-19.5917641065,-0.684343602735,-1.70448995002,-2.72490453739,104.0,1,0,0,0
2019-06-04 13:01:16.049999872,-3.2937854522615386,-6.7977144305897443,4.7132834500794862,1021.8476929,-0.407038697864,-0.634914080302,0.605824786546,25.3654540376,25.1509084703,-12.2927269262,0.729706514967,-2.87390206815,-3.11006625456,,1,0,0,0
