,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),press_Pressure (hPa),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (muT),mag_Magnetic field y (muT),mag_Magnetic field z (muT),linacc_Linear Acceleration x (m/s^2),linacc_Linear Acceleration y (m/s^2),linacc_Linear Acceleration z (m/s^2),hr_Heart Rate,labeldribbelRun,labeldribbelStil,labelpassing,labelthrowing
2019-06-04 13:00:00.049999872,-1.5797424823100001,-6.555524237629001,3.4764869692000007,1021.6945314,-0.52239667031,-0.26605013158,0.44924434413,14.8533328377,1.03999996233,-31.0733333167,10.4898573025,-9.56226428328,-8.28777869589,,1,0,0,0
2019-06-04 13:00:00.549999872,-1.0541991292000001,-4.10019565216,4.6434564223100008,1021.6987792,1.27385256045,-0.568794955445,0.510391954029,23.2799993765,6.35999994406,-25.882499695,-6.363239199,-17.4029200666,1.53329959464,,1,0,0,0
2019-06-04 13:00:01.049999872,-4.2088691591999998,-5.2580934763666667,9.0756316715555556,1021.6671386,-0.141902367311,1.24837303734,0.5512384954,20.249999645,8.8274997925,-26.2724996813,1.99067898087,-12.9941440824,-3.46511948238,,1,0,0,0
2019-06-04 13:00:01.549999872,-1.4511699196000001,-7.6442011544730004,8.3821166636999997,1021.6559084,-1.19880774174,-0.78217019149,-0.380738256111,24.1133327478,-5.799999952,-26.3199994844,-1.34422585701,-8.51694260722,-0.913168589811,,1,0,0,0
2019-06-04 13:00:02.049999872,-5.4698538907777783,-1.6339595508333331,5.4331417018037778,1021.629541,2.12549373001,0.761309779344,0.773050452244,27.5924997338,6.50249980487,-21.0149996288,1.67099744116,-7.67906713425,3.68370795213,,1,0,0,0
2019-06-04 13:00:02.549999872,-5.2894318581000004,-7.1639095715800014,10.467769373500001,1021.7143066,-2.22707723538,-0.04253456072,0.855408679673,25.57499957,-10.9799994698,-22.2674992075,1.75520277025,-6.13785302637,-4.2062085272,,1,0,0,0
2019-06-04 13:00:03.049999872,-5.7927085010599999,-8.4276079177000014,6.2576767437999994,1021.7654296,0.89206176408,-0.73336204886,3.22654314656,15.4533331396,-9.326666566,-27.5599992567,-1.85870525567,-4.21494449511,4.27426306397,,1,0,0,0
2019-06-04 13:00:03.549999872,-2.2700384854444442,0.43203360511111105,2.4275285667777777,1021.7011718,-1.78601219921,0.874319864633,0.363363448078,-6.90749973113,0.6074999585,-32.9549994475,1.28225393588,-6.26004326327,-5.38241928762,,1,0,0,0
2019-06-04 13:00:04.049999872,-4.1650804286199996,-9.8016823331299996,8.839183760200001,1021.6776368,-0.0613155931,-0.75315407882,-0.11702772973,-11.2649998356,-5.89499993231,-33.5399992488,-0.930678963687,-0.895096108312,1.01636207094,,1,0,0,0
2019-06-04 13:00:04.549999872,-2.6614759328999993,-5.5156909112800001,3.7657153962200001,1021.6487794,0.70458725255,0.810844179219,0.01021548955,3.64666656722,7.88666639739,-34.8333324856,-1.55362704099,-6.4959322339,-3.62766324089,,1,0,0,0
2019-06-04 13:00:05.049999872,-5.0487274857777784,-4.5270415640222232,6.8242152530000002,1021.7259278,-1.99655700146,0.577710878411,-0.57261781639,1.56749998595,-15.7874996375,-34.67999983,0.811553999738,-1.06118772915,-4.61339753891,,1,0,0,0
2019-06-04 13:00:05.549999872,-3.3330699774399997,-7.1461920967999983,3.96970763782,1021.7234376,2.24091336723,-1.07135378268,0.688153729601,6.56999981411,8.43749994012,-36.2024993913,-0.8072583974,-9.27305883212,-0.335024774062,,1,0,0,0
2019-06-04 13:00:06.049999872,-3.4525442654444447,1.0944496459111113,2.7552782290111106,1021.7242678,-2.14791591273,0.661738774044,0.0563019018,-2.83999991422,-4.31999958778,-34.8133328767,0.720716436722,-4.38076882922,-5.05134195667,,1,0,0,0
2019-06-04 13:00:06.549999872,-6.7417989960999991,-8.4046228173999982,9.0206696380599993,1021.7991698,0.1465007662,-0.36604877565,1.68074870407,-3.37499986638,-0.787500198862,-39.0074992187,-1.428536892,-5.2652901712,1.15269172201,,1,0,0,0
2019-06-04 13:00:07.049999872,-3.9239770230800004,-6.2413956757999998,2.9320288335,1021.7218262,0.266535767234,-0.2548713147,0.77208661443,-9.91499978288,22.634999245,-30.5999994275,-0.0993961097,-8.85440957525,-5.96152806286,,1,0,0,0
2019-06-04 13:00:07.549999872,-6.7159408999999997,-2.1317026918333335,8.1213800378888887,1021.7737306,-1.71189384331,0.225377382241,-0.361733552522,-4.56666658978,10.2199998497,-38.6866658533,-2.61709649033,-3.72311902044,-3.32886939536,,1,0,0,0
2019-06-04 13:00:08.049999872,-2.0564426454000002,-8.2516287157400008,6.575636295779999,1021.7933594,1.51166242075,-0.692250829868,1.82020921109,0.802500050413,31.7324993612,-26.3549993037,-0.401104807688,-6.9636063275,1.78828787837,,1,0,0,0
2019-06-04 13:00:08.549999872,1.3431881931,-1.8813679081777777,5.1136389003711109,1021.7545408,-2.5681232788,-0.357998944044,-0.0469343199444,6.93749995164,23.0774997463,-29.8424996145,1.53664410115,-3.05105862003,-4.59870678301,,1,0,0,0
2019-06-04 13:00:09.049999872,-1.8079169511000004,-8.8092553400699991,9.4212318393420009,1021.7488768,0.19365953807,-1.16408311154,2.91567381458,17.5999991616,21.18666615,-25.5599997321,-0.798630078667,-7.3913279173,3.23511499809,,1,0,0,0
