,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),press_Pressure (hPa),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (muT),mag_Magnetic field y (muT),mag_Magnetic field z (muT),linacc_Linear Acceleration x (m/s^2),linacc_Linear Acceleration y (m/s^2),linacc_Linear Acceleration z (m/s^2),hr_Heart Rate,labeldribbelRun,labeldribbelStil,labelpassing,labelthrowing,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2019-06-04 13:00:05.049999,-5.04872748578,-4.52704156402,6.824215253,1021.7259278,-1.99655700146,0.577710878411,-0.57261781639,1.56749998595,-15.7874996375,-34.67999983,0.811553999738,-1.06118772915,-4.61339753891,103.0,1,0,0,0,-0.192270991136,0.277429480942,0.295951725384,-0.233193512379,-0.0225109407843,0.0479365961452,0.140622612686
2019-06-04 13:00:05.549999,-3.33306997744,-7.1461920968,3.96970763782,1021.7234376,2.24091336723,-1.07135378268,0.688153729601,6.56999981411,8.43749994012,-36.2024993913,-0.8072583974,-9.27305883212,-0.335024774062,103.0,1,0,0,0,-0.171852149448,-0.0816283884209,0.189485425925,0.0333822805788,0.275369629192,0.264499586387,-0.106506540283
2019-06-04 13:00:06.049999,-3.45254426544,1.09444964591,2.75527822901,1021.7242678,-2.14791591273,0.661738774044,0.0563019018,-2.83999991422,-4.31999958778,-34.8133328767,0.720716436722,-4.38076882922,-5.05134195667,103.0,1,0,0,0,-0.140402855418,0.253734296589,0.229819047258,-0.194448685368,-0.0204002494963,0.217550439493,0.121492802387
2019-06-04 13:00:06.549999,-6.7417989961,-8.4046228174,9.02066963806,1021.7991698,0.1465007662,-0.36604877565,1.68074870407,-3.37499986638,-0.787500198862,-39.0074992187,-1.428536892,-5.2652901712,1.15269172201,103.0,1,0,0,0,-0.144596922759,0.0143298575673,0.263091469618,-0.0407217083095,0.287959569631,0.0605983422939,-0.0839592560939
2019-06-04 13:00:07.049999,-3.92397702308,-6.2413956758,2.9320288335,1021.7218262,0.266535767234,-0.2548713147,0.77208661443,-9.91499978288,22.634999245,-30.5999994275,-0.0993961097,-8.85440957525,-5.96152806286,103.0,1,0,0,0,-0.0359459173494,-0.0915972001654,0.200393508332,-0.182991197597,0.166882202829,0.335748492503,0.0857475556892
2019-06-04 13:00:07.549999,-6.7159409,-2.13170269183,8.12138003789,1021.7737306,-1.71189384331,0.225377382241,-0.361733552522,-4.56666658978,10.2199998497,-38.6866658533,-2.61709649033,-3.72311902044,-3.32886939536,103.0,1,0,0,0,-0.131060565744,0.0752749733346,0.289850603724,-0.203714161245,0.0795012889213,0.0993070154917,0.0252377059572
2019-06-04 13:00:08.049999,-2.0564426454,-8.25162871574,6.57563629578,1021.7933594,1.51166242075,-0.692250829868,1.82020921109,0.802500050413,31.7324993612,-26.3549993037,-0.401104807688,-6.9636063275,1.78828787837,103.0,1,0,0,0,-0.0599541959679,-0.277113420357,0.160311778657,0.0616630003707,0.262333065435,0.214690632884,-0.081971926426
2019-06-04 13:00:08.549999,1.3431881931,-1.88136790818,5.11363890037,1021.7545408,-2.5681232788,-0.357998944044,-0.0469343199444,6.93749995164,23.0774997463,-29.8424996145,1.53664410115,-3.05105862003,-4.59870678301,103.0,1,0,0,0,-0.0924365227747,0.00605754901453,0.224060231874,-0.1691975351,0.00561372788804,0.123887359334,0.246468292335
2019-06-04 13:00:09.049999,-1.8079169511,-8.80925534007,9.42123183934,1021.7488768,0.19365953807,-1.16408311154,2.91567381458,17.5999991616,21.18666615,-25.5599997321,-0.798630078667,-7.3913279173,3.23511499809,103.0,1,0,0,0,-0.238484350596,-0.229430863009,0.158569378755,0.101158203559,0.352238500325,0.0842975513091,0.0232993282162
2019-06-04 13:00:09.549999,-2.31095407568,-7.83789792479,5.67826213087,1021.788916,0.79029166692,-0.23477382822,0.28962525429,26.092499495,26.6999996896,-22.7549998775,-2.44840142187,-9.25339892588,-2.88980597312,103.0,1,0,0,0,-0.260597201299,-0.242747339616,0.101987514176,-0.0612494240191,0.150281228695,0.14907694038,0.0638345327476
2019-06-04 13:00:10.049999,-0.327749583489,-0.475130484789,6.81623432378,1021.8527342,-2.11540425075,0.654001182867,-1.05180768178,15.9266661544,14.1199995662,-36.3999994078,-1.52951920775,-2.35218231388,-4.32614392011,103.0,1,0,0,0,-0.165095787391,0.0698171183907,0.224513619515,-0.173311944927,-0.0352840268022,0.0079702140439,0.122054944633
