,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
52,1.55965486546e+18,52.18407888,4.988270554,-0.7220420837,-1.0,-1.0,1539.539383,1539.539383
53,1.5596548969e+18,52.1725086,4.985629903,-0.7220420837,-1.0,-1.0,2805.0,2805.0
54,1.55965489693e+18,52.17089739,4.985563999,-0.7220420837,-1.0,-1.0,1414.0,1414.0
55,1.55965490112e+18,52.17060948,4.985423416,-0.7220420837,-1.0,-1.0,1422.459586,1422.459586
56,1.55965490261e+18,52.17051205,4.985375842,-0.7220420837,-1.0,-1.0,1423.542647,1423.542647
57,1.55965490267e+18,52.17050786,4.985373798,-0.7220420837,-1.0,-1.0,1423.544717,1423.544717
58,1.55965490291e+18,52.17049208,4.985366091,-0.7220420837,-1.0,-1.0,1423.574264,1423.574264
59,1.55965490292e+18,52.1704918,4.985365954,-0.7220420837,-1.0,-1.0,1423.574273,1423.574273
60,1.55965490434e+18,52.17040099,4.985321616,-0.7220420837,-1.0,-1.0,1424.57367,1424.57367
61,1.55965490514e+18,52.17035072,4.985297072,-0.7220420837,-1.0,-1.0,1424.892826,1424.892826
62,1.5596549052e+18,52.17034681,4.985295162,-0.7220420837,-1.0,-1.0,1424.894795,1424.894795
63,1.55965490872e+18,52.17013291,4.985190717,-0.7220420837,-1.0,-1.0,1431.01937,1431.01937
64,1.55965490943e+18,52.17086336,4.983694305,-0.7220420837,-1.0,-1.0,1431.27113,1431.27113
65,1.55965491384e+18,52.17182373,4.980546845,-0.7220420837,-1.0,-1.0,1440.897932,1440.897932
66,1.55965491423e+18,52.17256895,4.978641937,-0.7220420837,-1.0,-1.0,1440.975326,1440.975326
67,1.55965493354e+18,52.16055732,4.991017843,-0.7220420837,-1.0,-1.0,1518.0,1518.0
68,1.55965493358e+18,52.15555459,4.996828957,-0.7220420837,-1.0,-1.0,1518.0,1518.0
69,1.5596549391e+18,52.15272563,4.994789642,-0.7220420837,-1.0,-1.0,1464.0,1464.0
70,1.55965493913e+18,52.15178105,4.99362232,-0.7220420837,-1.0,-1.0,1464.0,1464.0
71,1.55965494632e+18,52.15207717,4.995508357,-0.7220420837,-1.0,-1.0,1414.0,1414.0
72,1.55965494634e+18,52.15263706,4.996110019,-0.7220420837,-1.0,-1.0,1414.0,1414.0
73,1.55965494822e+18,52.14925076,4.99907686,-0.7220420837,-1.0,-1.0,1414.0,1414.0
74,1.55965494825e+18,52.1476693,5.000485403,-0.7220420837,-1.0,-1.0,1414.0,1414.0
75,1.55965496285e+18,52.1461092,5.001531391,-0.7220420837,-1.0,-1.0,1511.372962,1511.372962
76,1.55965496396e+18,52.14600535,5.001601016,-0.7220420837,-1.0,-1.0,1511.961004,1511.961004
77,1.55965496403e+18,52.14599868,5.001605488,-0.7220420837,-1.0,-1.0,1511.963492,1511.963492
78,1.55965496453e+18,52.14595179,5.001636925,-0.7220420837,-1.0,-1.0,1512.087293,1512.087293
79,1.55965496561e+18,52.14585296,5.001703186,-0.7220420837,-1.0,-1.0,1512.649943,1512.649943
80,1.55965496902e+18,52.1455499,5.001906378,-0.7220420837,-1.0,-1.0,1518.263099,1518.263099
81,1.55965497852e+18,52.14478738,5.002417614,-0.7220420837,-1.0,-1.0,1560.033448,1560.033448
82,1.55965497855e+18,52.1447853,5.002419009,-0.7220420837,-1.0,-1.0,1560.033827,1560.033827
83,1.55965498004e+18,52.14467597,5.002492312,-0.7220420837,-1.0,-1.0,1561.094215,1561.094215
84,1.55965498004e+18,52.14467568,5.002492508,-0.7220420837,-1.0,-1.0,1561.094223,1561.094223
85,1.55965498102e+18,52.14472691,5.002335697,-0.7220420837,-1.0,-1.0,1561.554208,1561.554208
86,1.55965498748e+18,52.14445918,5.002408072,-0.7220420837,-1.0,-1.0,1581.046437,1581.046437
87,1.55965498813e+18,52.14441737,5.0024358,-0.7220420837,-1.0,-1.0,1581.2526,1581.2526
88,1.55965498816e+18,52.14441564,5.002436947,-0.7220420837,-1.0,-1.0,1581.252957,1581.252957
89,1.55965498928e+18,52.14434565,5.002483359,-0.7220420837,-1.0,-1.0,1581.846238,1581.846238
90,1.55965499036e+18,52.14497769,5.009600313,-0.7220420837,-1.0,-1.0,1582.403394,1582.403394
91,1.55965499412e+18,52.14527898,5.01415904,-0.7220420837,-1.0,-1.0,1589.089014,1589.089014
92,1.55965499463e+18,52.14558822,5.01692029,-0.7220420837,-1.0,-1.0,1589.213595,1589.213595
93,1.55965499919e+18,52.14564873,5.018785731,-0.7220420837,-1.0,-1.0,1598.927206,1598.927206
94,1.55965499997e+18,52.14581401,5.019827151,-0.7220420837,-1.0,-1.0,1599.213738,1599.213738
95,1.55965501433e+18,52.14556487,5.020899184,-0.7220420837,-1.0,-1.0,1688.321349,1688.321349
96,1.55965501948e+18,52.14447808,5.020583906,-0.7220420837,-1.0,-1.0,1699.670638,1699.670638
97,1.55965501949e+18,52.1439119,5.020246115,-0.7220420837,-1.0,-1.0,1699.670756,1699.670756
98,1.5596550241e+18,52.144672,5.014040419,-0.7220420837,-1.0,-1.0,1414.0,1414.0
99,1.55965502458e+18,52.14498054,5.011859674,-0.7220420837,-1.0,-1.0,1414.0,1414.0
100,1.55965502807e+18,52.14874782,5.017757364,-0.7220420837,-1.0,-1.0,1420.305989,1420.305989
101,1.55965502949e+18,52.15116927,5.021454326,-0.7220420837,-1.0,-1.0,1421.367199,1421.367199
102,1.5596550295e+18,52.15270923,5.023746816,-0.7220420837,-1.0,-1.0,1421.367237,1421.367237
103,1.55965502977e+18,52.15367441,5.025194116,-0.7220420837,-1.0,-1.0,1421.405023,1421.405023
104,1.55965503202e+18,52.15426169,5.02615324,-0.7220420837,-1.0,-1.0,1424.050306,1424.050306
105,1.55965503771e+18,52.15460736,5.02684092,-0.7220420837,-1.0,-1.0,1440.573643,1440.573643
106,1.55965503804e+18,52.15487233,5.027144917,-0.7220420837,-1.0,-1.0,1440.628662,1440.628662
