,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
102,1.55965456774e+18,2.095492401,0.7376660156,9.644294586
103,1.55965456814e+18,2.155667267,0.8560697937,9.582922211
104,1.55965456854e+18,1.72591095,1.083896027,9.332043915
105,1.55965456894e+18,2.052082672,1.031954041,9.81823288
106,1.55965456934e+18,1.657952271,1.187929688,9.321416016
107,1.55965456974e+18,1.886377258,0.9273216248,9.439370728
108,1.55965457014e+18,2.121837616,0.8533753967,10.00040405
109,1.55965457054e+18,1.984273682,1.095422058,9.659562836
110,1.55965457094e+18,2.205513611,1.171763306,9.429042206
111,1.55965457134e+18,2.206411743,1.134041748,9.368717651
112,1.55965457174e+18,2.33903595,1.034049683,9.603130188
113,1.55965457214e+18,2.038161621,0.9840536499,9.401349792
114,1.55965457254e+18,2.343825989,1.039887543,9.824669495
115,1.55965457294e+18,2.138453064,1.066981201,9.479187927
116,1.55965457334e+18,2.528990936,1.091979218,10.15593063
117,1.55965457374e+18,1.875899048,0.6899153137,9.051227875
118,1.55965457414e+18,2.32496521,0.6200106812,10.38764877
119,1.55965457454e+18,1.981728973,0.9364526367,9.573192444
120,1.55965457494e+18,2.412533112,0.9324110413,9.909243622
121,1.55965457534e+18,2.215542755,0.7539820862,9.149273987
122,1.55965457574e+18,2.073488159,1.02611618,9.849667511
123,1.55965457614e+18,1.861977997,0.7897576904,9.298214264
124,1.55965457654e+18,2.540966034,0.6953041077,10.97891922
125,1.55965457694e+18,1.981579285,0.6727011108,8.50067276
126,1.55965457734e+18,2.162552948,1.148262177,10.0966539
127,1.55965457774e+18,1.854493561,0.9469308472,8.860225067
128,1.55965457814e+18,2.157014465,1.241069183,9.947114868
129,1.55965457855e+18,1.971250763,1.044228516,9.086554413
130,1.55965457895e+18,2.049687653,0.9708810425,9.768536224
131,1.55965457935e+18,2.0371138,0.7628137207,9.414821777
132,1.55965457975e+18,2.109263763,0.978664856,9.61345871
133,1.55965458015e+18,2.219284973,1.209933929,9.455237732
134,1.55965458055e+18,2.183209991,1.059796143,9.369466095
135,1.55965458095e+18,2.220332794,0.7417076111,9.859247589
136,1.55965458135e+18,2.183958435,0.9621990967,9.601633301
137,1.55965458175e+18,2.053280182,1.313817902,8.945547638
138,1.55965458215e+18,2.141147461,1.113085327,9.35838913
139,1.55965458255e+18,2.136656799,0.9851014709,9.752818909
140,1.55965458295e+18,1.95403656,0.8897497559,9.338330841
141,1.55965458335e+18,2.125579834,0.9921368408,9.618398438
142,1.55965458375e+18,2.45953537,0.955612793,9.956694946
143,1.55965458415e+18,2.317780151,0.9798623657,9.655221863
144,1.55965458455e+18,2.206860809,1.142124939,9.514664154
145,1.55965458495e+18,2.299069061,0.9532177734,9.697434082
146,1.55965458535e+18,2.357896729,0.8295748901,9.998158722
147,1.55965458575e+18,2.057321777,0.909508667,9.912087708
148,1.55965458615e+18,2.196382599,1.060245209,9.519304504
149,1.55965458655e+18,2.3436763,0.9321116638,10.01207977
150,1.55965458695e+18,2.180964661,0.9222322083,9.702822876
151,1.55965458735e+18,2.280657349,1.010398865,10.11506561
152,1.55965458775e+18,2.124681702,0.9557624817,9.383836212
153,1.55965458815e+18,2.35774704,1.113384705,9.633966064
154,1.55965458855e+18,2.211800537,0.9879455566,9.898016968
155,1.55965458895e+18,2.286046143,0.960402832,9.806706848
156,1.55965458935e+18,2.370470581,0.9240284729,9.741741943
157,1.55965458975e+18,2.343376923,1.052760773,9.770631866
158,1.55965459015e+18,2.279459839,1.06009552,9.753417664
159,1.55965459055e+18,2.271825714,0.9379495239,9.890233154
160,1.55965459096e+18,2.199526062,0.9134005737,9.610614624
161,1.55965459136e+18,2.388433228,1.027164001,10.03797592
162,1.55965459176e+18,2.159110107,1.197360077,9.726024628
163,1.55965459216e+18,2.212099915,0.8940907288,9.749675446
164,1.55965459256e+18,2.101629639,0.7541317749,9.906399536
165,1.55965459296e+18,2.139650574,0.9077124023,9.777367859
166,1.55965459336e+18,2.245181122,1.082399139,9.575138397
167,1.55965459376e+18,2.265089722,1.157842255,10.0011525
168,1.55965459416e+18,2.331252136,1.08703949,9.744586029
169,1.55965459456e+18,2.332449646,1.060694275,9.717791748
170,1.55965459496e+18,2.380200348,0.773890686,9.734407196
171,1.55965459536e+18,2.106569366,1.008752289,9.764494629
