,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
179,1.55965416388e+18,-0.4634362793,-9.695637817,1.416204987
180,1.55965416428e+18,7.100634155,-6.927444305,-0.5842350769
181,1.55965416468e+18,6.651118927,-9.651928711,0.6938072205
182,1.55965416508e+18,4.326902161,-8.922046509,-0.5773493958
183,1.55965416548e+18,4.333937531,-6.504423981,1.862127686
184,1.55965416588e+18,7.605234833,-5.569318542,1.571282501
185,1.55965416628e+18,5.054988098,-5.315296783,-1.791175232
186,1.55965416669e+18,4.361629944,-6.480922852,0.436791687
187,1.55965416709e+18,7.773035889,-4.575235748,0.8918453979
188,1.55965416749e+18,6.96082489,-13.27125229,-0.6087840271
189,1.55965416789e+18,6.728657684,-8.700656891,1.218615875
190,1.55965416829e+18,8.143216095,-9.301507416,1.112187195
191,1.55965416869e+18,2.531236267,-9.787546692,1.137035522
192,1.55965416909e+18,12.49691254,-9.578132172,3.319347382
193,1.5596541695e+18,6.075715485,-8.394842834,1.292412415
194,1.5596541699e+18,4.962630157,-6.806196442,0.6367758179
195,1.5596541703e+18,7.287745056,-8.060138855,0.272283783
196,1.5596541707e+18,7.456444244,-11.94875244,2.040257263
197,1.5596541711e+18,5.79310318,-7.014263763,0.8068222046
198,1.5596541715e+18,6.85080368,-7.435188446,1.456920319
199,1.5596541719e+18,6.652316437,-12.69719604,-0.5535488892
200,1.55965417231e+18,5.458997955,-7.4265065,1.162332916
201,1.55965417271e+18,10.19694534,-10.837164,-1.334175568
202,1.55965417311e+18,3.45990509,-5.987548828,-0.7500901794
203,1.55965417351e+18,7.816595306,-7.865393829,0.09160949707
204,1.55965417391e+18,11.84247345,-9.349108429,0.3263214111
205,1.55965417431e+18,4.392016754,-7.08371933,0.3573069763
206,1.55965417472e+18,6.230493622,-7.646399231,0.1761836243
207,1.55965417512e+18,7.477250977,-9.242380371,-0.8146060181
208,1.55965417552e+18,1.058149567,-10.9632019,0.05418731689
209,1.55965417592e+18,7.915988617,-8.978179779,0.8662486267
210,1.55965417632e+18,8.297994232,-12.00698135,1.850451965
211,1.55965417672e+18,1.561403046,-12.64480499,2.031425629
212,1.55965417712e+18,11.21018829,-12.08661575,0.5242098999
