"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.663679593E0,-7.978358269E-1,1.510162711E0,9.491153359E-1
4.713679620E0,-1.096548915E0,2.311617851E0,1.146734506E-1
4.763679712E0,-1.554697871E0,3.252961159E0,-1.007485986E0
4.815679440E0,-1.728794456E0,4.499126434E0,-2.412476063E0
4.865679637E0,-1.499719977E0,4.637793064E0,-3.320221901E0
4.917679630E0,-2.511114478E-1,5.864409924E0,-3.216985703E0
4.969679325E0,4.666552544E-1,4.846708298E0,-2.865127087E0
5.019679523E0,7.458207011E-1,2.639652491E0,-2.063672066E0
5.071679418E0,1.037203312E0,1.708083153E0,-1.629957676E0
5.121679483E0,1.373988688E-1,-9.070310593E-1,-7.741354704E-1
5.173679476E0,-1.509295404E-1,-2.930827618E0,-1.149206758E0
5.225679371E0,-2.425593138E-1,-3.140354395E0,-2.170263678E-1
5.275679436E0,-2.382832617E-1,-6.993368268E-1,1.415515244E-1
5.327679396E0,2.870608568E-1,8.608129621E-1,5.215097070E-1
5.379679357E0,6.114302874E-1,1.497334599E0,6.919410825E-1
5.431679355E0,7.079470158E-1,2.544357777E0,1.270430565E0
5.481679381E0,3.548668921E-1,2.356211185E0,1.797607183E0
5.531679408E0,-7.823656499E-2,-6.742913723E-1,2.179398060E0
5.583679373E0,-2.352289259E-1,-1.154431462E0,2.181841612E0
5.635679300E0,-2.914285362E-1,-7.824145555E-1,1.457966208E0
5.685679493E0,1.868789494E-1,-1.477255374E-1,-1.089032218E-1
5.737679354E0,4.434423447E-1,7.154270411E-1,-3.043800890E-1
5.789679320E0,-5.266116261E-1,1.122874141E0,-1.223422587E-1
5.841679279E0,-5.925850868E-1,1.063944027E-1,-1.053911686E0
5.893679277E0,-6.555042267E-1,-1.092410386E-1,-7.203793526E-1
5.943679304E0,-6.078567505E-1,6.066930294E-1,9.185721278E-1
5.995679297E0,-2.999806404E-1,-1.934506297E0,1.934441090E0
6.045679328E0,2.988658100E-2,6.073039174E-1,2.395644188E0
