,Time (s),X (µT),Y (µT),Z (µT),label
79,1.55965355644e+27,23.23973083,-0.1539001465,-44.59259033,walking
80,1.55965355644e+27,20.16870117,-2.522262573,-44.2154541,walking
81,1.55965355644e+27,17.11254883,0.4921722412,-46.70153809,walking
82,1.55965355644e+27,19.60862732,4.64704895,-48.15966797,walking
83,1.55965355644e+27,22.67736816,4.931533813,-47.11804199,walking
84,1.55965355644e+27,23.58430481,3.772720337,-45.93023682,walking
85,1.55965355644e+27,23.73739624,3.1668396,-45.7109375,walking
86,1.55965355644e+27,23.80683899,2.473358154,-44.66607666,walking
87,1.55965355644e+27,22.47209167,1.485610962,-42.43505859,walking
88,1.55965355644e+27,18.19145203,1.240081787,-41.05743408,walking
89,1.55965355644e+27,14.29486084,4.690338135,-40.82073975,walking
90,1.55965355644e+27,14.3384552,8.411865234,-41.91912842,walking
91,1.55965355644e+27,18.23149109,11.61123657,-43.05072021,walking
92,1.55965355644e+27,21.94857788,8.136108398,-44.10974121,walking
93,1.55965355644e+27,21.98344421,5.817520142,-45.77966309,walking
94,1.55965355644e+27,21.54490662,4.883926392,-46.64837646,walking
95,1.55965355644e+27,21.59130859,4.696487427,-46.95294189,walking
96,1.55965355644e+27,21.58647156,4.394668579,-47.01348877,walking
97,1.55965355644e+27,21.87268066,4.830490112,-47.19549561,walking
98,1.55965355644e+27,22.03509521,4.365264893,-47.1104126,walking
99,1.55965355644e+27,21.33268738,4.372833252,-46.89770508,walking
100,1.55965355644e+27,21.69154358,4.719161987,-47.73419189,walking
101,1.55965355644e+27,21.70750427,4.943634033,-47.02185059,walking
102,1.55965355644e+27,21.67549133,5.252212524,-47.30749512,walking
103,1.55965355644e+27,16.14871216,6.334655762,-49.70684814,walking
104,1.55965355644e+27,-2.93019104,4.048736572,-52.54022217,walking
105,1.55965355644e+27,-2.141387939,6.303192139,-52.09277344,walking
106,1.55965355644e+27,5.596801758,7.356735229,-51.48864746,walking
107,1.55965355644e+27,7.455184937,10.24316406,-50.78375244,walking
108,1.55965355644e+27,7.423492432,10.14299011,-50.86499023,walking
109,1.55965355644e+27,7.735977173,10.56471252,-50.60931396,walking
110,1.55965355644e+27,7.754837036,10.3205719,-50.65557861,walking
111,1.55965355644e+27,8.134002686,10.23544312,-50.68212891,walking
112,1.55965355644e+27,8.336990356,10.28933716,-50.57348633,walking
113,1.55965355644e+27,8.276046753,10.73434448,-50.50762939,walking
114,1.55965355644e+27,7.908538818,11.33502197,-50.31665039,walking
115,1.55965355644e+27,7.837554932,12.05465698,-50.1897583,walking
116,1.55965355644e+27,7.811630249,12.38697815,-50.5859375,walking
117,1.55965355644e+27,9.534378052,17.02252197,-48.5057373,walking
118,1.55965355644e+27,12.68518066,23.67352295,-45.05432129,walking
119,1.55965355644e+27,5.810119629,23.01512146,-47.46716309,walking
120,1.55965355644e+27,4.959701538,20.21696472,-48.45837402,walking
121,1.55965355644e+27,5.36315918,18.71510315,-48.98065186,walking
122,1.55965355644e+27,3.981460571,13.16596985,-50.97808838,walking
123,1.55965355644e+27,-12.02375793,-1.626235962,-51.5645752,walking
124,1.55965355644e+27,-24.4850769,-14.6769104,-45.39874268,walking
125,1.55965355644e+27,-19.8019104,-14.62188721,-46.87530518,walking
126,1.55965355644e+27,2.424133301,15.89300537,-50.8260498,walking
127,1.55965355644e+27,2.653640747,9.804046631,-51.98730469,walking
128,1.55965355644e+27,4.889770508,10.17721558,-51.75524902,walking
129,1.55965355644e+27,4.740524292,10.05981445,-51.77050781,walking
130,1.55965355644e+27,4.397399902,9.969680786,-51.61920166,walking
131,1.55965355644e+27,6.028213501,4.876342773,-51.69042969,walking
132,1.55965355644e+27,6.401260376,5.520843506,-51.90942383,walking
133,1.55965355644e+27,6.418945312,5.873977661,-51.70458984,walking
134,1.55965355644e+27,6.704986572,6.27822876,-51.82531738,walking
135,1.55965355644e+27,6.754745483,6.738494873,-51.63757324,walking
