,Time (s),X (µT),Y (µT),Z (µT),label
85,1.55965322121e+18,-31.6254425,-1.484130859,-24.8236084,nothing
86,1.55965322146e+18,-31.85926819,-1.361526489,-24.73583984,nothing
87,1.55965322171e+18,-32.09512329,-1.442092896,-24.76885986,nothing
88,1.55965322196e+18,-32.01010132,-1.479309082,-24.80444336,nothing
89,1.55965322221e+18,-32.30224609,-1.366455078,-24.7779541,nothing
90,1.55965322246e+18,-32.28773499,-1.100616455,-24.88214111,nothing
91,1.55965322271e+18,-32.08004761,-1.308013916,-24.92840576,nothing
92,1.55965322296e+18,-32.13999939,-1.589263916,-24.77001953,nothing
93,1.55965322321e+18,-32.35307312,-1.328414917,-24.73980713,nothing
94,1.55965322346e+18,-31.86329651,-1.263031006,-24.78393555,nothing
95,1.55965322371e+18,-31.75140381,-1.114990234,-24.96459961,nothing
96,1.55965322396e+18,-31.91903687,-1.354248047,-24.95898438,nothing
97,1.55965322421e+18,-31.88299561,-1.034988403,-24.94592285,nothing
98,1.55965322446e+18,-31.67631531,-1.09463501,-25.03112793,nothing
99,1.55965322471e+18,-32.32092285,-0.8670196533,-24.65527344,nothing
100,1.55965322496e+18,-32.98426819,-1.281860352,-24.75268555,nothing
101,1.55965322521e+18,-32.0080719,-1.092483521,-24.83312988,nothing
102,1.55965322546e+18,-32.02833557,-1.101470947,-24.97406006,nothing
103,1.5596532257e+18,-32.28866577,-1.28352356,-25.2244873,nothing
104,1.55965322595e+18,-32.04083252,-1.459503174,-24.95501709,nothing
105,1.5596532262e+18,-31.9072876,-1.372634888,-24.8112793,nothing
106,1.55965322645e+18,-31.92541504,-1.148910522,-24.95092773,nothing
107,1.5596532267e+18,-31.91400146,-1.524795532,-24.99584961,nothing
108,1.55965322695e+18,-32.12765503,-1.27835083,-24.82757568,nothing
109,1.5596532272e+18,-31.80038452,-1.412689209,-24.86730957,nothing
110,1.55965322745e+18,-32.03727722,-1.39151001,-24.7755127,nothing
111,1.5596532277e+18,-32.04476929,-1.454666138,-24.91516113,nothing
112,1.55965322795e+18,-31.93438721,-1.598892212,-24.86303711,nothing
113,1.5596532282e+18,-31.63763428,-1.304763794,-24.98309326,nothing
114,1.55965322845e+18,-32.17001343,-1.625244141,-24.68481445,nothing
115,1.5596532287e+18,-31.95062256,-1.555496216,-25.03381348,nothing
116,1.55965322895e+18,-32.0453186,-1.328033447,-24.72979736,nothing
117,1.5596532292e+18,-32.25570679,-1.162078857,-24.78259277,nothing
118,1.55965322945e+18,-32.12289429,-1.307723999,-24.75622559,nothing
119,1.5596532297e+18,-31.90797424,-1.380722046,-24.60479736,nothing
120,1.55965322995e+18,-31.74726868,-1.340255737,-24.73059082,nothing
121,1.5596532302e+18,-31.99452209,-1.228729248,-25.00524902,nothing
122,1.55965323045e+18,-31.87910461,-1.315811157,-24.64196777,nothing
123,1.5596532307e+18,-31.96652222,-1.353256226,-24.746521,nothing
124,1.55965323095e+18,-32.17971802,-1.072433472,-24.82958984,nothing
125,1.5596532312e+18,-32.13801575,-1.335784912,-24.99865723,nothing
126,1.55965323144e+18,-31.87043762,-1.338394165,-24.56414795,nothing
127,1.55965323169e+18,-32.15179443,-1.300018311,-24.80627441,nothing
128,1.55965323194e+18,-32.38143921,-1.56388855,-24.7635498,nothing
129,1.55965323219e+18,-32.08192444,-1.011154175,-24.57836914,nothing
130,1.55965323244e+18,-31.85452271,-0.8859100342,-24.67346191,nothing
131,1.55965323269e+18,-32.14624023,-1.404022217,-24.72631836,nothing
132,1.55965323294e+18,-32.11245728,-1.100646973,-24.8338623,nothing
133,1.55965323319e+18,-31.86146545,-1.252380371,-24.76531982,nothing
134,1.55965323344e+18,-31.86087036,-1.495254517,-24.74725342,nothing
135,1.55965323369e+18,-32.06829834,-1.284942627,-24.64916992,nothing
136,1.55965323394e+18,-32.38053894,-1.133224487,-24.87713623,nothing
137,1.55965323419e+18,-32.05729675,-1.359634399,-25.04772949,nothing
138,1.55965323444e+18,-32.24009705,-1.136871338,-24.69287109,nothing
139,1.55965323469e+18,-32.22557068,-1.251296997,-24.56152344,nothing
140,1.55965323494e+18,-31.91993713,-1.230987549,-24.74639893,nothing
141,1.55965323519e+18,-32.05395508,-1.18182373,-24.79052734,nothing
142,1.55965323544e+18,-32.41899109,-1.081573486,-24.8460083,nothing
143,1.55965323569e+18,-31.90458679,-1.060577393,-24.75976562,nothing
144,1.55965323594e+18,-32.14030457,-1.275131226,-24.82336426,nothing
145,1.55965323619e+18,-32.21315002,-1.271209717,-24.84307861,nothing
146,1.55965323644e+18,-31.91365051,-1.577606201,-24.60772705,nothing
147,1.55965323669e+18,-31.88217163,-1.103118896,-24.68310547,nothing
148,1.55965323693e+18,-32.59042358,-1.265167236,-24.54528809,nothing
149,1.55965323718e+18,-32.18963623,-1.267456055,-24.7477417,nothing
150,1.55965323743e+18,-32.14804077,-1.494979858,-24.88427734,nothing
151,1.55965323768e+18,-32.07781982,-1.357376099,-24.64263916,nothing
152,1.55965323793e+18,-31.89851379,-1.383148193,-24.72216797,nothing
153,1.55965323818e+18,-32.37487793,-1.214660645,-24.51428223,nothing
154,1.55965323843e+18,-32.2487793,-1.167144775,-24.6932373,nothing
155,1.55965323868e+18,-31.99021912,-1.319091797,-24.59692383,nothing
156,1.55965323893e+18,-31.95303345,-1.101776123,-24.81591797,nothing
157,1.55965323918e+18,-32.12973022,-1.206130981,-24.7857666,nothing
158,1.55965323943e+18,-32.29548645,-1.368225098,-24.85046387,nothing
159,1.55965323968e+18,-32.2019043,-0.870300293,-24.58276367,nothing
160,1.55965323993e+18,-32.18367004,-0.9802246094,-24.5982666,nothing
161,1.55965324018e+18,-32.07060242,-1.203460693,-24.7699585,nothing
162,1.55965324043e+18,-31.84341431,-1.17678833,-24.57629395,nothing
163,1.55965324068e+18,-31.9723053,-1.151885986,-24.5534668,nothing
164,1.55965324093e+18,-31.70579529,-0.8815307617,-24.73266602,nothing
165,1.55965324118e+18,-32.34140015,-1.219070435,-24.76379395,nothing
166,1.55965324143e+18,-33.05465698,-1.063110352,-24.59301758,nothing
167,1.55965324168e+18,-32.20292664,-1.004730225,-24.46661377,nothing
168,1.55965324193e+18,-32.18786621,-1.575653076,-24.6317749,nothing
169,1.55965324218e+18,-32.09059143,-1.542892456,-24.42419434,nothing
170,1.55965324243e+18,-32.31437683,-1.079284668,-24.74188232,nothing
171,1.55965324267e+18,-31.94776917,-1.309707642,-24.54614258,nothing
172,1.55965324292e+18,-31.98672485,-1.345184326,-24.76379395,nothing
173,1.55965324317e+18,-32.39573669,-1.359161377,-24.41955566,nothing
174,1.55965324342e+18,-32.4703064,-1.083908081,-24.78540039,nothing
175,1.55965324367e+18,-32.29257202,-1.010482788,-24.51568604,nothing
176,1.55965324392e+18,-32.08683777,-1.230194092,-24.73217773,nothing
177,1.55965324417e+18,-32.13209534,-1.076965332,-24.73858643,nothing
178,1.55965324442e+18,-32.43292236,-1.091003418,-24.98657227,nothing
179,1.55965324467e+18,-32.03872681,-1.314712524,-24.53662109,nothing
180,1.55965324492e+18,-32.0632019,-1.234008789,-24.37158203,nothing
181,1.55965324517e+18,-31.93490601,-1.105438232,-24.66918945,nothing
182,1.55965324542e+18,-31.98052979,-1.057678223,-24.85510254,nothing
183,1.55965324567e+18,-32.02636719,-1.036315918,-25.13909912,nothing
184,1.55965324592e+18,-32.10151672,-1.296951294,-24.75598145,nothing
185,1.55965324617e+18,-31.94430542,-1.344802856,-24.64501953,nothing
186,1.55965324642e+18,-32.4163208,-1.365890503,-24.58422852,nothing
187,1.55965324667e+18,-32.48353577,-1.145568848,-24.60559082,nothing
188,1.55965324692e+18,-32.37548828,-1.125076294,-24.59399414,nothing
189,1.55965324717e+18,-31.88546753,-1.401763916,-25.01068115,nothing
190,1.55965324742e+18,-32.45310974,-1.123794556,-24.95471191,nothing
191,1.55965324767e+18,-32.1519165,-1.210586548,-24.6116333,nothing
192,1.55965324792e+18,-32.07559204,-0.9806060791,-24.58282471,nothing
193,1.55965324817e+18,-32.20069885,-1.435424805,-24.50720215,nothing
194,1.55965324841e+18,-32.1754303,-1.139251709,-24.86950684,nothing
195,1.55965324866e+18,-32.09619141,-1.397689819,-24.72375488,nothing
196,1.55965324891e+18,-32.0683136,-1.197036743,-24.88830566,nothing
197,1.55965324916e+18,-32.07717896,-1.270477295,-24.57946777,nothing
198,1.55965324941e+18,-32.1547699,-1.356445312,-24.39654541,nothing
199,1.55965324966e+18,-32.24676514,-1.249771118,-24.74249268,nothing
200,1.55965324991e+18,-32.04393005,-1.284103394,-24.13275146,nothing
201,1.55965325016e+18,-32.01783752,-1.150680542,-24.89562988,nothing
202,1.55965325041e+18,-31.72650146,-1.354660034,-24.84051514,nothing
203,1.55965325066e+18,-31.67778015,-1.341369629,-24.71759033,nothing
204,1.55965325091e+18,-31.99958801,-1.278762817,-24.82849121,nothing
205,1.55965325116e+18,-32.01072693,-1.144241333,-25.07611084,nothing
206,1.55965325141e+18,-32.13220215,-1.349822998,-24.72705078,nothing
207,1.55965325166e+18,-32.34103394,-1.317092896,-24.86816406,nothing
208,1.55965325191e+18,-32.12414551,-1.394638062,-24.77716064,nothing
209,1.55965325216e+18,-32.10113525,-1.504241943,-24.81652832,nothing
210,1.55965325241e+18,-31.96641541,-1.523986816,-24.72814941,nothing
