"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.172120163E1,2.251115590E-1,-1.645663083E-1,6.798025966E-1
2.197080463E1,3.954823613E-1,-6.420460343E-1,2.938127518E-1
2.222043963E1,-3.634599596E-2,-9.744317830E-2,-7.826436162E-1
2.247004263E1,-4.407685399E-1,7.076016068E-1,-5.989208817E-1
2.271964663E1,-2.334263623E-1,-3.820769787E-1,7.194063812E-2
2.296924963E1,1.550422907E-1,-5.595535040E-1,3.021799624E-1
2.321887263E1,2.672387362E-1,1.321280599E-1,7.548069954E-1
2.346847563E1,-9.621740878E-2,6.670793146E-2,-5.376328826E-1
2.371807963E1,-1.082140684E0,-2.816097140E-1,-4.715667665E-1
2.396771263E1,7.106797695E-1,-1.245313406E0,3.249338865E-1
2.421731038E1,4.369062185E-1,-1.180777788E0,-1.954352558E-1
2.446691337E1,-3.797810376E-1,-4.885285795E-1,1.115601584E-1
2.471651638E1,2.277183086E-1,5.289362073E-1,2.980674803E-1
2.496612038E1,9.812025428E-1,-1.511400461E0,6.711499095E-1
2.521571329E1,-2.855824530E-1,-2.060194492E0,4.393133521E-1
2.546531629E1,-5.369229913E-1,-1.644928604E-1,-3.003392816E-1
2.571495029E1,5.265761614E-1,-1.265671730E0,3.718831241E-1
2.596455329E1,6.769819260E-1,-3.634532392E-1,3.357431591E-1
2.621416738E1,-6.662118435E-1,5.110563040E-1,-3.709993660E-1
2.646377138E1,3.552020490E-1,-1.451129913E-1,-1.457431912E-1
2.671337438E1,5.415068865E-1,2.136350721E-1,1.028620228E-1
2.696297738E1,-7.103262544E-1,1.569764018E0,-1.731846482E-1
2.721256979E1,-4.914248586E-1,6.175305322E-2,1.032970920E-1
2.746220379E1,6.000781059E-1,-1.664991140E0,3.442074656E-1
2.771180779E1,1.328933835E-1,3.414211869E-1,-6.104626656E-1
2.796141079E1,-7.920139432E-1,4.222611189E-1,-6.570300460E-1
2.821101163E1,2.992574275E-1,-2.035167694E0,9.515690804E-1
2.846061463E1,-2.276283205E-1,-6.261042953E-1,1.277204454E-1
2.871021863E1,7.090869546E-1,-5.067316294E-1,-6.227239221E-2
2.895982163E1,-2.348802686E-1,3.395278454E-1,1.213600487E-1
2.920948663E1,-2.214550972E-1,8.616097569E-1,-3.762357831E-1
2.945908963E1,-2.757409960E-2,-1.131152809E-1,3.246349096E-1
2.970869263E1,2.508607805E-1,2.098385543E-1,-2.237401307E-1
2.995829563E1,-1.244179085E-1,3.711042106E-1,1.328120679E-1
3.020787875E1,-5.861196667E-2,-6.912475824E-1,-3.257190287E-1
3.045748175E1,1.482252479E-1,-1.453471929E-1,-2.154929787E-1
3.070708475E1,-2.612470984E-1,3.061627150E-1,-3.387376070E-1
3.095668875E1,5.547783971E-1,-3.972943127E-1,4.552611709E-1
3.120633650E1,-4.112642407E-1,-1.530574113E-1,3.143588603E-1
3.145594050E1,8.302916884E-1,3.499642909E-1,7.044891119E-1
3.170554350E1,-1.399158835E-1,-3.723169863E-1,2.243867218E-1
3.195514650E1,6.320303679E-2,3.688029647E-1,2.006616294E-1
3.220474225E1,1.465265453E-1,-8.976237848E-3,2.832736075E-1
3.245434625E1,-9.527806938E-2,-2.125122309E0,-4.558241367E-1
3.270394925E1,5.385434031E-1,5.103050470E-1,1.754599661E-1
3.295355225E1,2.179234773E-1,-1.966216803E0,5.862963200E-1
3.320316554E1,2.679943144E-1,-7.677193880E-1,3.637875915E-1
3.345279854E1,-4.047041237E-1,-1.692666709E-1,-3.579914868E-1
3.370240254E1,9.389174581E-1,8.004654050E-1,2.230967954E-2
3.395200554E1,1.965745389E-1,7.733048201E-1,1.429203749E-1
3.420162013E1,-3.080966771E-1,-5.401063561E-1,4.565608203E-1
3.445122313E1,-6.828010827E-2,-1.142001748E0,-1.680279821E-1
3.470082713E1,-9.364576340E-1,-2.447775453E-1,4.452287406E-2
3.495043013E1,3.792978227E-1,-2.815008163E0,4.713671207E-1
3.520002650E1,-2.299248427E-1,2.555630803E-1,-2.164991945E-1
3.544963050E1,3.195078373E-1,4.121157527E-1,-9.613327682E-2
3.569926350E1,1.718537092E0,1.536659449E-1,5.055086017E-1
3.594886750E1,-6.914592385E-1,-1.788834184E-1,2.509378791E-1
3.619846413E1,3.567370027E-2,7.075157762E-1,-1.268150508E-1
3.644806713E1,-3.772899210E-1,3.149990439E-1,6.670070887E-1
3.669767013E1,1.266190857E-1,-1.105597019E0,2.854658663E-1
3.694727412E1,-1.733036637E-1,1.683722436E-1,-1.125849485E-1
3.719689242E1,-3.455893099E-1,7.361660600E-1,-2.117776573E-1
3.744649542E1,-7.137761712E-1,-1.800448820E-2,3.358759880E-1
3.769609842E1,-1.039130241E-1,-1.067241430E0,4.372434914E-1
3.794570242E1,1.562165916E-1,6.258470416E-1,-3.600873351E-1
3.819528600E1,-6.328075379E-2,-2.379407734E-1,3.440969437E-2
3.844492000E1,2.570356131E-1,5.512087792E-2,-2.414617687E-1
3.869452300E1,-6.276263595E-1,3.825016916E-1,3.061756790E-1
3.894412600E1,-4.981217384E-1,-1.573206186E0,3.927739710E-2
3.919374075E1,2.362193353E-2,4.675989151E-1,2.805312350E-2
3.944334375E1,-2.747415900E-1,3.802946508E-1,1.803353280E-1
3.969294675E1,-1.941075027E-1,-1.972888559E-1,-1.436029375E-1
3.994254975E1,5.165804029E-1,9.088487178E-2,3.078233302E-1
4.019216538E1,-2.776728272E-1,2.170101255E-1,-2.012939900E-1
4.044176837E1,-2.242184430E-1,2.189985663E-1,3.341491520E-1
4.069137138E1,-1.701965630E-1,2.743405700E-1,-2.347691804E-1
4.094097538E1,-3.129969835E-1,1.599024087E-1,3.264355473E-3
4.119055825E1,2.519333661E-1,-5.294491649E-1,1.667513400E-1
4.144016125E1,4.303283393E-1,-4.007661939E-1,-4.720924497E-1
4.168976425E1,4.460789561E-1,1.995247453E-1,1.393527836E-1
4.193939825E1,2.385776192E-1,6.623617373E-3,-1.778670251E-1
4.218901192E1,-3.647771478E-2,4.549980536E-2,-1.193470210E-1
4.243861592E1,-1.889849007E-1,-8.980766684E-2,4.557151347E-2
4.268821892E1,-5.101296902E-1,-4.751278460E-1,2.692847513E-3
4.293782192E1,2.179807574E-1,-1.698965132E-1,-2.150299549E-1
4.318742492E1,-1.288457066E-1,1.655374914E-1,1.165992022E-1
4.343704429E1,1.473274529E-1,-6.521535516E-1,2.548508905E-2
4.368664729E1,6.692190468E-2,-8.338120580E-2,-1.850477457E-1
4.393625029E1,-4.949380457E-2,-2.047470957E-2,2.485133410E-1
4.418585429E1,1.293167621E-1,4.427092969E-1,4.503722116E-2
4.443545063E1,1.387514174E-1,1.524872482E-1,1.561574452E-2
