"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.147367716E1,5.209660508E1,5.131875202E0,3.423732758E0,3.069999933E0,2.144531250E1,1.000000000E1,1.000000000E1
4.247368312E1,5.209663903E1,5.131898420E0,3.033840179E0,2.490000010E0,1.792968750E1,1.000000000E1,1.000000000E1
4.347368789E1,5.209666300E1,5.131923398E0,3.104946136E0,2.490000010E0,2.601562500E1,1.000000000E1,1.000000000E1
4.447369289E1,5.209668588E1,5.131953573E0,2.699062347E0,2.230000019E0,3.058593750E1,1.000000000E1,1.000000000E1
4.547369742E1,5.209670600E1,5.131982071E0,2.906093597E0,2.140000105E0,3.656250000E1,1.000000000E1,1.000000000E1
4.647370148E1,5.209672193E1,5.132004535E0,3.026332855E0,1.629999995E0,2.953125000E1,1.000000000E1,1.000000000E1
4.747370541E1,5.209673228E1,5.132016940E0,3.197536469E0,1.629999995E0,1.441406250E1,1.000000000E1,1.000000000E1
4.847370815E1,5.209675223E1,5.132023562E0,3.959926605E0,1.559999943E0,7.031250000E0,1.000000000E1,1.000000000E1
4.947371149E1,5.209678601E1,5.132043846E0,3.223171234E0,1.559999943E0,1.617187500E1,1.000000000E1,1.000000000E1
5.047371399E1,5.209682527E1,5.132077960E0,3.059474945E0,2.890000105E0,2.847656250E1,1.000000000E1,1.000000000E1
5.147371662E1,5.209687980E1,5.132137975E0,3.445156097E0,3.539999962E0,3.585937500E1,1.000000000E1,1.000000000E1
5.247371948E1,5.209692590E1,5.132182734E0,3.458827972E0,3.279999971E0,3.691406250E1,1.000000000E1,1.000000000E1
5.347372162E1,5.209696555E1,5.132202264E0,3.607143402E0,3.279999971E0,2.531250000E1,1.000000000E1,1.000000000E1
5.447372222E1,5.209700477E1,5.132216932E0,3.727993011E0,2.859999895E0,1.687500000E1,1.000000000E1,1.000000000E1
5.547372472E1,5.209703989E1,5.132225817E0,3.941738129E0,2.859999895E0,1.687500000E1,1.000000000E1,1.000000000E1
5.647372568E1,5.209706894E1,5.132230092E0,4.026760101E0,2.750000000E0,1.300781250E1,1.000000000E1,1.000000000E1
5.747372723E1,5.209709551E1,5.132236043E0,3.944179535E0,2.690000057E0,1.511718750E1,1.000000000E1,1.000000000E1
5.847372794E1,5.209712166E1,5.132247191E0,3.926967621E0,2.559999943E0,1.968750000E1,1.000000000E1,1.000000000E1
5.947372949E1,5.209716977E1,5.132264206E0,3.274990082E0,3.380000114E0,1.722656250E1,1.000000000E1,1.000000000E1
6.047372949E1,5.209721151E1,5.132285915E0,3.240749359E0,3.380000114E0,1.828125000E1,1.000000000E1,1.000000000E1
6.147372973E1,5.209725237E1,5.132304523E0,2.947658539E0,3.519999981E0,1.476562500E1,1.000000000E1,1.000000000E1
6.247373104E1,5.209728552E1,5.132315923E0,3.133388519E0,2.829999924E0,7.734375000E0,1.000000000E1,1.000000000E1
6.347373044E1,5.209732194E1,5.132325059E0,2.821315765E0,2.990000010E0,7.031250000E0,1.000000000E1,1.000000000E1
6.447373056E1,5.209735912E1,5.132336291E0,2.843349457E0,2.990000010E0,1.511718750E1,1.000000000E1,1.000000000E1
6.547373092E1,5.209739855E1,5.132355150E0,2.840358734E0,3.539999962E0,1.617187500E1,1.000000000E1,1.000000000E1
6.647373104E1,5.209743481E1,5.132377446E0,2.611721039E0,3.539999962E0,1.898437500E1,1.000000000E1,1.000000000E1
6.747373080E1,5.209745861E1,5.132403178E0,2.918727875E0,2.740000010E0,4.957031250E1,1.000000000E1,1.000000000E1
6.847373009E1,5.209747827E1,5.132428072E0,2.703151703E0,2.740000010E0,3.339843750E1,1.000000000E1,1.000000000E1
