,Time (s),X (hPa),label
132,1.55965355644e+27,1009.589462,walking
133,1.55965355644e+27,1009.582977,walking
134,1.55965355644e+27,1009.579468,walking
135,1.55965355644e+27,1009.579468,walking
136,1.55965355644e+27,1009.580383,walking
137,1.55965355644e+27,1009.582901,walking
138,1.55965355644e+27,1009.587708,walking
139,1.55965355644e+27,1009.590607,walking
140,1.55965355644e+27,1009.590607,walking
141,1.55965355644e+27,1009.587555,walking
142,1.55965355644e+27,1009.586411,walking
143,1.55965355644e+27,1009.585876,walking
144,1.55965355644e+27,1009.58374,walking
145,1.55965355644e+27,1009.58107,walking
146,1.55965355644e+27,1009.58046,walking
147,1.55965355644e+27,1009.578857,walking
148,1.55965355644e+27,1009.576874,walking
149,1.55965355644e+27,1009.574509,walking
150,1.55965355644e+27,1009.574509,walking
151,1.55965355644e+27,1009.576187,walking
152,1.55965355644e+27,1009.576187,walking
153,1.55965355644e+27,1009.575806,walking
154,1.55965355644e+27,1009.575806,walking
155,1.55965355644e+27,1009.574432,walking
156,1.55965355644e+27,1009.570847,walking
157,1.55965355644e+27,1009.570618,walking
158,1.55965355644e+27,1009.570618,walking
159,1.55965355644e+27,1009.570694,walking
160,1.55965355644e+27,1009.570999,walking
161,1.55965355644e+27,1009.570999,walking
162,1.55965355644e+27,1009.571457,walking
163,1.55965355644e+27,1009.57222,walking
164,1.55965355644e+27,1009.574051,walking
165,1.55965355644e+27,1009.574051,walking
166,1.55965355644e+27,1009.570999,walking
167,1.55965355644e+27,1009.568863,walking
168,1.55965355644e+27,1009.563675,walking
169,1.55965355644e+27,1009.559097,walking
170,1.55965355644e+27,1009.559097,walking
171,1.55965355644e+27,1009.559326,walking
172,1.55965355644e+27,1009.559326,walking
173,1.55965355644e+27,1009.55925,walking
174,1.55965355644e+27,1009.558487,walking
175,1.55965355644e+27,1009.558334,walking
176,1.55965355644e+27,1009.554749,walking
177,1.55965355644e+27,1009.552917,walking
178,1.55965355644e+27,1009.552612,walking
179,1.55965355644e+27,1009.552612,walking
180,1.55965355644e+27,1009.552765,walking
181,1.55965355644e+27,1009.553146,walking
182,1.55965355644e+27,1009.556885,walking
183,1.55965355644e+27,1009.561005,walking
184,1.55965355644e+27,1009.56192,walking
185,1.55965355644e+27,1009.564743,walking
186,1.55965355644e+27,1009.568329,walking
187,1.55965355644e+27,1009.571838,walking
188,1.55965355644e+27,1009.573669,walking
189,1.55965355644e+27,1009.577408,walking
190,1.55965355644e+27,1009.580078,walking
191,1.55965355644e+27,1009.583817,walking
192,1.55965355644e+27,1009.585648,walking
193,1.55965355644e+27,1009.585648,walking
194,1.55965355644e+27,1009.584885,walking
195,1.55965355644e+27,1009.582596,walking
196,1.55965355644e+27,1009.57489,walking
197,1.55965355644e+27,1009.569321,walking
198,1.55965355644e+27,1009.563751,walking
199,1.55965355644e+27,1009.559402,walking
200,1.55965355644e+27,1009.556351,walking
201,1.55965355644e+27,1009.555435,walking
202,1.55965355644e+27,1009.552994,walking
203,1.55965355644e+27,1009.551926,walking
204,1.55965355644e+27,1009.550552,walking
205,1.55965355644e+27,1009.550247,walking
206,1.55965355644e+27,1009.550247,walking
207,1.55965355644e+27,1009.551544,walking
208,1.55965355644e+27,1009.552612,walking
209,1.55965355644e+27,1009.55452,walking
210,1.55965355644e+27,1009.557037,walking
211,1.55965355644e+27,1009.559402,walking
212,1.55965355644e+27,1009.561386,walking
213,1.55965355644e+27,1009.561386,walking
214,1.55965355644e+27,1009.560852,walking
215,1.55965355644e+27,1009.558258,walking
216,1.55965355644e+27,1009.553909,walking
217,1.55965355644e+27,1009.550323,walking
218,1.55965355644e+27,1009.54895,walking
219,1.55965355644e+27,1009.547424,walking
220,1.55965355644e+27,1009.54689,walking
221,1.55965355644e+27,1009.546661,walking
222,1.55965355644e+27,1009.544983,walking
223,1.55965355644e+27,1009.543457,walking
224,1.55965355644e+27,1009.541168,walking
225,1.55965355644e+27,1009.537125,walking
226,1.55965355644e+27,1009.537125,walking
227,1.55965355644e+27,1009.537506,walking
228,1.55965355644e+27,1009.538345,walking
229,1.55965355644e+27,1009.542694,walking
230,1.55965355644e+27,1009.547348,walking
231,1.55965355644e+27,1009.549942,walking
232,1.55965355644e+27,1009.556885,walking
233,1.55965355644e+27,1009.564896,walking
234,1.55965355644e+27,1009.571304,walking
235,1.55965355644e+27,1009.5784,walking
236,1.55965355644e+27,1009.581757,walking
237,1.55965355644e+27,1009.581757,walking
238,1.55965355644e+27,1009.580841,walking
239,1.55965355644e+27,1009.576874,walking
240,1.55965355644e+27,1009.572449,walking
241,1.55965355644e+27,1009.572067,walking
242,1.55965355644e+27,1009.569473,walking
243,1.55965355644e+27,1009.5681,walking
244,1.55965355644e+27,1009.566116,walking
245,1.55965355644e+27,1009.561691,walking
246,1.55965355644e+27,1009.557114,walking
247,1.55965355644e+27,1009.549408,walking
248,1.55965355644e+27,1009.540024,walking
249,1.55965355644e+27,1009.532776,walking
250,1.55965355644e+27,1009.526443,walking
251,1.55965355644e+27,1009.520798,walking
252,1.55965355644e+27,1009.520798,walking
253,1.55965355644e+27,1009.521408,walking
254,1.55965355644e+27,1009.52179,walking
255,1.55965355644e+27,1009.522324,walking
256,1.55965355644e+27,1009.52179,walking
257,1.55965355644e+27,1009.520645,walking
