"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.147066012E1,2.936254628E-2,3.487306647E-3,-9.418052621E-3
2.172032413E1,-9.052984416E-3,-6.170595065E-3,1.011079084E-2
2.196999663E1,-1.804881729E-2,1.320418250E-2,1.287930086E-2
2.221963063E1,4.001960624E-3,-1.967962645E-2,-6.648293696E-3
2.246929462E1,1.841422543E-2,1.923053898E-2,3.620205447E-3
2.271895863E1,1.419059187E-2,-2.102293633E-2,7.372396998E-3
2.296860992E1,-2.783518285E-4,-1.881136000E-2,-3.619124182E-3
2.321827392E1,-1.255059149E-3,-4.284410737E-3,7.874078117E-3
2.346790792E1,5.382558331E-3,6.110567600E-3,-1.006420143E-2
2.371757192E1,-3.441523993E-3,1.863040403E-2,-2.585630864E-3
2.396724550E1,-3.369246610E-3,1.231274288E-2,9.257629514E-3
2.421687850E1,-4.979323596E-3,-1.286068466E-2,3.711360972E-3
2.446654350E1,-1.803257689E-2,-4.442215897E-3,1.452258229E-2
2.471620750E1,1.142993011E-2,-6.867695134E-3,1.471733674E-3
2.496585167E1,2.995844372E-2,-1.697557047E-2,-1.025131904E-2
2.521551567E1,2.395028807E-2,-6.750406697E-3,-1.007186808E-2
2.546517967E1,-3.886795603E-3,-1.425339282E-2,-3.965394571E-4
2.571481367E1,3.277711105E-3,-1.705120504E-2,-3.992574289E-3
2.596449650E1,-2.969102561E-2,7.675564848E-3,1.112371683E-2
2.621412950E1,-3.879730776E-2,2.613645047E-2,2.070276439E-2
2.646379450E1,-2.464597486E-2,-6.778023671E-3,1.417752355E-2
2.671342750E1,-1.865499839E-2,-2.056874335E-3,2.174113318E-2
2.696310125E1,-5.604880396E-3,8.550830185E-3,-5.440911278E-3
2.721276525E1,1.713477634E-2,-3.402601182E-2,-1.737840846E-2
2.746239925E1,2.771558613E-2,-6.817458197E-3,-1.290754415E-3
2.771206325E1,8.785967715E-3,2.088807523E-4,-4.203263670E-3
2.796169542E1,-9.915268049E-3,-1.136400923E-2,6.267745048E-4
2.821135942E1,-3.353619948E-3,-1.093308255E-2,-4.751537926E-3
2.846099342E1,-9.061965160E-3,-2.326340415E-3,-6.686793640E-3
2.871065742E1,-5.342564546E-3,-1.283757761E-2,-5.640008487E-3
2.896030179E1,8.036207408E-3,-1.472684834E-2,-8.168620057E-3
2.920996579E1,9.229393676E-3,-1.222559810E-2,-8.221299388E-3
2.945963079E1,-3.683208721E-3,-7.559207734E-3,2.459548414E-4
2.970926479E1,-2.102273889E-2,-6.312443409E-3,-4.759429954E-3
2.995892838E1,-1.384244487E-2,1.223643962E-2,2.655298449E-3
3.020856238E1,-2.700376697E-2,-2.413701266E-3,5.206627771E-3
3.045822638E1,2.562888432E-3,-3.958034329E-3,3.439551219E-4
3.070786038E1,1.000273041E-4,-5.623848177E-3,5.667776335E-3
3.095755038E1,1.596943289E-2,-1.309947111E-3,-5.356294103E-3
3.120721438E1,2.008285560E-2,1.161930151E-3,-1.144085638E-2
3.145684838E1,3.071995825E-2,-7.367708720E-3,-8.932196535E-3
3.170651237E1,3.954943735E-3,-2.813531086E-3,-2.496875823E-5
3.195616250E1,2.986497711E-3,6.376290694E-4,-2.205608413E-3
3.220582650E1,1.675016247E-3,-2.135727555E-3,-3.456561826E-3
3.245549150E1,1.744208857E-3,-9.173591621E-3,7.667450700E-3
3.270512550E1,-7.685472257E-3,-9.468325414E-3,3.912168089E-3
3.295480354E1,3.555590753E-3,1.026336290E-2,-3.631033935E-3
3.320446754E1,-2.798816888E-3,-2.820101567E-3,1.573972404E-4
3.345413254E1,-4.373569507E-3,-3.362285905E-3,2.327334136E-3
3.370376554E1,8.432179689E-3,4.802949727E-3,-1.165201887E-2
3.395341750E1,-1.325725205E-2,-1.926720701E-2,3.465355840E-3
3.420308150E1,2.926612739E-3,1.457527373E-2,-1.312425360E-3
3.445271550E1,3.288679942E-2,-2.241592109E-2,-5.921474658E-3
3.470237950E1,-7.075134665E-3,-4.155896604E-3,7.231813855E-3
3.495205575E1,9.905525483E-3,2.236431465E-2,3.111012746E-3
3.520172075E1,1.939113066E-2,6.624364294E-3,4.016195424E-3
3.545138475E1,1.868649386E-3,-1.812203601E-2,-2.635145560E-3
3.570101875E1,4.046642687E-3,-6.973761600E-3,-6.555430591E-3
3.595071538E1,4.672389943E-3,-5.441180430E-3,-2.221173607E-3
3.620037938E1,-5.459978245E-3,7.374862209E-3,1.804810949E-3
3.645004438E1,-8.375822566E-3,-2.566255629E-3,2.877279185E-3
3.669967737E1,-1.259174757E-2,-2.437482215E-2,5.409346428E-3
3.694934287E1,-2.756588394E-3,9.678908624E-3,2.454752102E-3
3.719900688E1,3.615718335E-3,-8.387866430E-3,6.438924465E-3
3.744867088E1,5.713570397E-3,-6.935987156E-3,3.775672987E-3
3.769830488E1,1.804069430E-2,1.053650770E-2,-1.347314566E-2
3.794797504E1,9.229998104E-3,2.453956008E-2,-3.069325350E-3
3.819764004E1,-3.704396635E-2,2.205212414E-2,2.018929273E-2
3.844730404E1,-1.001654193E-2,-4.550086334E-3,7.202688605E-3
3.869693804E1,1.090211235E-2,-2.654144727E-2,-1.321389340E-3
3.894661629E1,9.963925928E-3,7.246483117E-3,1.271225512E-3
3.919628029E1,8.833378553E-3,1.129230484E-2,-1.734035090E-3
3.944594529E1,1.065686904E-2,-1.337771304E-3,-2.758814022E-3
3.969560929E1,-1.033589430E-2,-7.437329739E-3,1.495132223E-3
3.994524975E1,-1.636822149E-2,3.388952464E-3,5.864314269E-3
4.019491375E1,-1.597312279E-2,-4.041604698E-4,9.554064833E-3
4.044457775E1,-1.045302860E-2,-1.845655218E-2,-5.743048154E-3
4.069424275E1,2.607242204E-2,-2.351187170E-3,-7.233384065E-3
4.094388742E1,3.283624537E-4,1.717438735E-2,8.504651487E-4
4.119355142E1,-5.087013543E-2,2.744083293E-3,3.825854883E-2
4.144321542E1,-8.972832933E-3,1.274965703E-2,1.017747261E-2
4.169287942E1,1.310077682E-2,-2.232177928E-2,-1.956155524E-3
4.194255467E1,4.782162607E-2,-6.213334575E-2,-9.384035133E-3
4.219218867E1,-1.578272134E-2,1.240523253E-2,1.632076129E-2
4.244185267E1,-1.602223609E-3,-2.208515070E-2,-1.283247862E-2
4.269151667E1,1.458370499E-2,-5.713051651E-3,1.104258001E-3
4.294117642E1,1.048375387E-3,-5.681549199E-3,7.560384460E-3
4.319084042E1,5.762065761E-3,-5.779706407E-3,-3.940924071E-3
4.344047442E1,6.600081455E-3,-1.587114669E-2,-1.906978898E-3
4.369013842E1,7.956128567E-3,5.317386240E-5,-3.749502823E-3
4.393981088E1,-7.292634808E-3,-1.355749462E-2,3.494853154E-4
4.418947587E1,-5.709143821E-3,4.431129433E-3,8.517662063E-3
4.443913988E1,6.271698978E-3,6.459001452E-4,8.812381886E-3
4.468877388E1,1.470823027E-2,1.979689114E-2,8.525786921E-3
4.493844850E1,-3.106531128E-2,-9.271930903E-4,1.976862177E-2
4.518811250E1,-1.656698249E-2,-6.496739574E-3,-4.523200914E-4
4.543777750E1,6.849182770E-3,4.738030024E-3,-7.832834497E-3
4.568744150E1,1.372972503E-2,-2.897199616E-2,-4.984317347E-3
4.593713925E1,-2.238176065E-3,-1.707861759E-2,2.472222783E-3
4.618677325E1,-1.021603122E-2,1.736216992E-2,-4.972554743E-4
4.643643725E1,-1.979658194E-2,-1.049163193E-2,1.349735260E-2
4.668610225E1,-1.828788221E-2,1.903424971E-3,2.515003458E-2
4.693574813E1,3.400645684E-3,-2.382047474E-3,-3.685466014E-3
4.718541212E1,1.394768804E-2,-2.335278317E-2,-2.365135588E-3
4.743507613E1,-2.377860248E-3,-3.441545181E-3,5.618839525E-3
4.768474113E1,1.650908962E-2,1.997342333E-2,4.291961435E-3
4.793439679E1,-2.031152137E-3,-1.504339091E-2,-7.470745593E-3
4.818406079E1,-9.816314280E-2,-7.764777541E-2,8.103389293E-2
4.843372479E1,5.314559676E-3,-1.674380153E-2,6.642490625E-4
