"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.367849289E2,5.222350585E1,5.005148665E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,5.051665233E2,5.051665233E2
2.368179049E2,5.222384000E1,5.005411174E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,5.051678858E2,5.051678858E2
2.380323169E2,5.222378277E1,5.005441762E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,5.070069023E2,5.070069023E2
2.380484949E2,5.222378201E1,5.005442166E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,5.070072318E2,5.070072318E2
2.830375949E2,5.221109209E1,5.002456733E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.670521303E3,1.670521303E3
2.830688369E2,5.220607070E1,4.996917653E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.670521666E3,1.670521666E3
3.211225170E2,5.219225842E1,4.992549714E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
3.211311229E2,5.219101633E1,4.992492148E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
3.211502730E2,5.219039478E1,4.992463287E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
3.213662770E2,5.219007459E1,4.992447404E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
3.213704419E2,5.218992463E1,4.992441026E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
3.384209950E2,5.218599908E1,4.989987400E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.539538826E3,1.539538826E3
3.384559979E2,5.218407888E1,4.988270554E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.539539383E3,1.539539383E3
3.699009409E2,5.217250860E1,4.985629903E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,2.805000000E3,2.805000000E3
3.699347160E2,5.217089739E1,4.985563999E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
3.741234299E2,5.217060948E1,4.985423416E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.422459586E3,1.422459586E3
3.756054360E2,5.217051205E1,4.985375842E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.423542647E3,1.423542647E3
3.756698799E2,5.217050786E1,4.985373798E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.423544717E3,1.423544717E3
3.759134640E2,5.217049208E1,4.985366091E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.423574264E3,1.423574264E3
3.759177959E2,5.217049180E1,4.985365954E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.423574273E3,1.423574273E3
3.773375629E2,5.217040099E1,4.985321616E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.424573670E3,1.424573670E3
3.781372609E2,5.217035072E1,4.985297072E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.424892826E3,1.424892826E3
3.781999060E2,5.217034681E1,4.985295162E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.424894795E3,1.424894795E3
3.817226139E2,5.217013291E1,4.985190717E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.431019370E3,1.431019370E3
3.824299150E2,5.217086336E1,4.983694305E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.431271130E3,1.431271130E3
3.868425770E2,5.217182373E1,4.980546845E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.440897932E3,1.440897932E3
3.872342969E2,5.217256895E1,4.978641937E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.440975326E3,1.440975326E3
4.065419400E2,5.216055732E1,4.991017843E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.518000000E3,1.518000000E3
4.065772959E2,5.215555459E1,4.996828957E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.518000000E3,1.518000000E3
4.121028759E2,5.215272563E1,4.994789642E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.464000000E3,1.464000000E3
4.121269870E2,5.215178105E1,4.993622320E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.464000000E3,1.464000000E3
4.193201170E2,5.215207717E1,4.995508357E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
4.193382870E2,5.215263706E1,4.996110019E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
4.212163270E2,5.214925076E1,4.999076860E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
4.212525990E2,5.214766930E1,5.000485403E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
4.358548249E2,5.214610920E1,5.001531391E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.511372962E3,1.511372962E3
4.369560360E2,5.214600535E1,5.001601016E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.511961004E3,1.511961004E3
4.370274229E2,5.214599868E1,5.001605488E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.511963492E3,1.511963492E3
4.375314959E2,5.214595179E1,5.001636925E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.512087293E3,1.512087293E3
4.386071160E2,5.214585296E1,5.001703186E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.512649943E3,1.512649943E3
4.420229759E2,5.214554990E1,5.001906378E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.518263099E3,1.518263099E3
4.515222210E2,5.214478738E1,5.002417614E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.560033448E3,1.560033448E3
4.515501829E2,5.214478530E1,5.002419009E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.560033827E3,1.560033827E3
4.530362840E2,5.214467597E1,5.002492312E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.561094215E3,1.561094215E3
4.530402989E2,5.214467568E1,5.002492508E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.561094223E3,1.561094223E3
4.540172739E2,5.214472691E1,5.002335697E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.561554208E3,1.561554208E3
4.604786140E2,5.214445918E1,5.002408072E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.581046437E3,1.581046437E3
4.611349490E2,5.214441737E1,5.002435800E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.581252600E3,1.581252600E3
4.611622419E2,5.214441564E1,5.002436947E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.581252957E3,1.581252957E3
4.622766399E2,5.214434565E1,5.002483359E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.581846238E3,1.581846238E3
4.633560979E2,5.214497769E1,5.009600313E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.582403394E3,1.582403394E3
4.671228160E2,5.214527898E1,5.014159040E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.589089014E3,1.589089014E3
4.676334039E2,5.214558822E1,5.016920290E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.589213595E3,1.589213595E3
4.721927890E2,5.214564873E1,5.018785731E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.598927206E3,1.598927206E3
4.729700739E2,5.214581401E1,5.019827151E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.599213738E3,1.599213738E3
4.873268319E2,5.214556487E1,5.020899184E0,-7.220420837E-1,-1.000000000E0,-1.000000000E0,1.688321349E3,1.688321349E3
