"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.569915043E0,2.099999905E0,1.109999943E1,-3.750000000E1
5.629908142E0,9.000000000E0,2.010000038E1,-3.293999863E1
5.689900506E0,1.673999977E1,2.081999969E1,-3.000000000E1
5.749893036E0,1.319999981E1,1.602000046E1,-3.443999863E1
5.809885533E0,9.599999428E0,8.939999580E0,-3.768000031E1
5.869878063E0,5.819999695E0,2.099999905E0,-3.911999893E1
5.929870527E0,5.399999619E-1,-3.119999886E0,-3.936000061E1
5.989863090E0,-4.440000057E0,-8.460000038E0,-3.857999802E1
6.049855388E0,-5.819999695E0,-1.409999943E1,-3.588000107E1
6.109847786E0,-8.039999962E0,-2.171999931E1,-3.084000015E1
6.169840250E0,-7.619999886E0,-2.609999847E1,-3.017999840E1
6.229832846E0,-3.359999895E0,-2.411999893E1,-3.185999870E1
6.289825276E0,-2.639999866E0,-1.379999924E1,-3.804000092E1
6.349817873E0,-3.359999895E0,3.000000000E0,-3.929999924E1
6.409811471E0,-2.579999924E0,1.739999962E1,-3.768000031E1
6.469805869E0,3.299999952E0,2.153999901E1,-3.377999878E1
6.529800133E0,4.559999943E0,1.902000046E1,-3.575999832E1
6.589794563E0,3.899999857E0,1.475999928E1,-3.702000046E1
6.649788794E0,2.279999971E0,8.939999580E0,-3.936000061E1
6.709781925E0,1.199999928E0,3.599999905E0,-4.055999756E1
6.769774190E0,-2.519999981E0,2.999999821E-1,-4.020000076E1
6.829766587E0,-5.339999676E0,-3.720000029E0,-4.007999802E1
6.889759051E0,-5.339999676E0,-9.539999962E0,-3.809999847E1
6.949751581E0,-8.519999504E0,-1.242000008E1,-3.815999985E1
7.009744145E0,-1.265999985E1,-8.220000267E0,-3.857999802E1
7.069736675E0,-1.265999985E1,-1.740000010E0,-4.020000076E1
7.129729139E0,-1.343999958E1,1.134000015E1,-3.677999878E1
7.189721403E0,-1.367999935E1,2.501999855E1,-3.000000000E1
7.249713867E0,-1.403999996E1,3.150000000E1,-2.453999901E1
7.309706363E0,-6.179999828E0,3.101999855E1,-2.681999969E1
7.369698893E0,-7.440000057E0,3.101999855E1,-2.609999847E1
7.429691357E0,-7.079999924E0,2.801999855E1,-2.855999947E1
7.489684490E0,-4.799999714E0,2.489999962E1,-3.179999924E1
7.549677655E0,-4.739999771E0,2.160000038E1,-3.413999939E1
7.609670785E0,-4.920000076E0,1.715999985E1,-3.695999908E1
7.669663849E0,-6.420000076E0,1.080000019E1,-3.977999878E1
7.729657012E0,-5.460000038E0,4.199999809E0,-4.086000061E1
7.789649543E0,-6.359999657E0,-9.599999785E-1,-4.115999985E1
7.849642007E0,-5.400000095E0,-3.359999895E0,-4.050000000E1
7.909634471E0,0.000000000E0,7.799999714E-1,-4.271999741E1
7.969627034E0,-1.439999938E0,1.415999985E1,-4.025999832E1
8.029619565E0,-6.359999657E0,2.759999847E1,-3.179999924E1
8.089612195E0,-9.179999352E0,3.413999939E1,-2.543999863E1
8.149604559E0,-2.220000029E0,3.605999756E1,-2.171999931E1
8.209596890E0,-1.860000014E0,3.659999847E1,-2.045999908E1
8.269589288E0,4.799999893E-1,3.636000061E1,-2.153999901E1
8.329581818E0,1.019999981E0,3.600000000E1,-2.376000023E1
8.389574248E0,3.000000000E0,3.143999863E1,-2.765999985E1
8.449566778E0,5.759999752E0,2.526000023E1,-3.377999878E1
8.509559609E0,9.420000076E0,1.800000000E1,-3.647999954E1
8.569553574E0,1.007999992E1,9.779999733E0,-4.043999863E1
8.629547871E0,9.960000038E0,6.839999676E0,-4.050000000E1
8.689542135E0,1.061999989E1,5.519999981E0,-4.284000015E1
8.749536465E0,1.230000019E1,1.259999943E1,-4.043999863E1
8.809530496E0,8.279999733E0,2.735999870E1,-3.552000046E1
8.869523460E0,2.939999819E0,3.636000061E1,-2.273999977E1
8.929515724E0,-4.199999869E-1,4.284000015E1,-1.013999939E1
8.989508221E0,1.740000010E0,4.331999969E1,-6.119999886E0
9.049500685E0,6.299999714E0,4.259999847E1,-6.599999905E0
9.109493215E0,1.013999939E1,4.109999847E1,-8.519999504E0
9.169485513E0,1.397999954E1,3.965999985E1,-1.242000008E1
9.229478109E0,1.919999886E1,3.395999908E1,-2.021999931E1
9.289470473E0,2.327999878E1,2.423999977E1,-2.843999863E1
9.349462871E0,2.435999870E1,1.235999966E1,-3.384000015E1
9.409455268E0,2.381999969E1,2.999999821E-1,-3.738000107E1
9.469447864E0,1.895999908E1,-3.839999914E0,-4.157999802E1
9.529440361E0,1.835999870E1,2.999999821E-1,-4.104000092E1
9.589433025E0,1.865999985E1,8.220000267E0,-4.068000031E1
9.649426224E0,1.655999947E1,2.057999992E1,-3.804000092E1
9.709419488E0,2.250000000E1,3.300000000E1,-2.273999977E1
9.769412552E0,2.963999939E1,3.413999939E1,-1.235999966E1
9.829405649E0,2.831999969E1,3.438000107E1,-1.127999973E1
9.889398646E0,3.077999878E1,3.239999771E1,-1.242000008E1
9.949391111E0,3.227999878E1,2.885999870E1,-1.673999977E1
1.000938361E1,3.000000000E1,2.202000046E1,-2.777999878E1
1.006937614E1,2.453999901E1,9.539999962E0,-3.845999908E1
1.012936867E1,1.475999928E1,4.799999893E-1,-4.391999817E1
1.018936120E1,1.163999939E1,-2.279999971E0,-4.415999985E1
1.024935366E1,1.619999886E1,-2.399999946E-1,-4.152000046E1
1.030934596E1,2.171999931E1,4.500000000E0,-4.104000092E1
1.036933829E1,1.692000008E1,1.463999939E1,-3.995999908E1
1.042933075E1,1.296000004E1,2.651999855E1,-3.407999802E1
1.048932332E1,1.301999950E1,3.461999893E1,-2.615999985E1
1.053941502E1,1.157999992E1,3.929999924E1,-1.829999924E1
1.059940762E1,1.968000031E1,3.605999756E1,-1.523999977E1
1.065940058E1,2.327999878E1,3.468000031E1,-1.193999958E1
1.071939468E1,2.627999878E1,3.341999817E1,-7.079999924E0
1.077938908E1,2.868000031E1,3.059999847E1,-9.000000000E0
1.083938368E1,2.909999847E1,2.531999969E1,-1.763999939E1
1.089937814E1,2.250000000E1,2.142000008E1,-2.987999916E1
1.095937224E1,1.469999981E1,1.926000023E1,-3.438000107E1
1.101936507E1,1.169999981E1,1.385999966E1,-3.702000046E1
1.107935747E1,6.179999828E0,1.271999931E1,-3.977999878E1
1.113934993E1,1.001999950E1,1.331999969E1,-3.918000031E1
1.119934253E1,9.539999962E0,2.105999947E1,-3.623999786E1
1.125933499E1,4.679999828E0,3.137999916E1,-2.651999855E1
1.131932752E1,6.899999619E0,3.677999878E1,-1.451999950E1
1.137931999E1,1.019999981E1,3.743999863E1,-9.599999428E0
1.143931235E1,1.097999954E1,3.768000031E1,-9.479999542E0
1.149930475E1,1.200000000E1,3.809999847E1,-1.121999931E1
1.155929728E1,1.217999935E1,3.629999924E1,-1.421999931E1
1.161928981E1,1.188000011E1,3.323999786E1,-1.985999870E1
1.167928234E1,1.271999931E1,2.909999847E1,-2.477999878E1
1.173927504E1,1.188000011E1,2.705999947E1,-2.993999863E1
1.179926890E1,1.031999969E1,2.945999908E1,-3.065999985E1
1.185926323E1,5.940000057E0,3.557999802E1,-2.465999985E1
1.191925756E1,5.399999619E-1,4.013999939E1,-1.529999924E1
1.197925189E1,-1.319999933E0,4.404000092E1,-7.500000000E0
1.203924596E1,-1.139999986E0,4.307999802E1,-4.259999752E0
1.209923882E1,6.899999619E0,4.236000061E1,-4.319999695E0
1.215923112E1,7.739999771E0,4.109999847E1,-9.119999886E0
1.221922358E1,8.220000267E0,4.068000031E1,-1.475999928E1
1.227921605E1,1.080000019E1,3.695999908E1,-2.111999893E1
1.233920864E1,1.247999954E1,3.095999908E1,-2.927999878E1
1.239920111E1,1.181999969E1,2.069999886E1,-3.654000092E1
1.245919367E1,1.163999939E1,1.434000015E1,-4.037999725E1
1.251918604E1,1.679999924E1,1.151999950E1,-3.929999924E1
1.257917840E1,6.839999676E0,2.039999962E1,-4.289999771E1
1.263917083E1,2.279999971E0,3.455999756E1,-3.365999985E1
1.269916343E1,-1.620000005E0,4.445999908E1,-1.985999870E1
1.275915589E1,6.480000019E0,4.427999878E1,-1.439999962E1
1.281914842E1,1.013999939E1,4.289999771E1,-1.403999996E1
1.287914159E1,1.277999973E1,4.115999985E1,-1.745999908E1
1.293913475E1,1.289999962E1,3.911999893E1,-2.021999931E1
1.299912781E1,1.235999966E1,3.720000076E1,-2.297999954E1
1.305912098E1,1.193999958E1,3.336000061E1,-2.879999924E1
1.311911407E1,6.719999790E0,2.639999962E1,-3.707999802E1
1.317910654E1,5.039999962E0,1.385999966E1,-4.157999802E1
1.323909900E1,6.059999943E0,2.519999981E0,-4.343999863E1
1.329909147E1,9.899999619E0,5.999999642E-1,-4.434000015E1
1.335908396E1,6.539999962E0,1.415999985E1,-4.313999939E1
1.341907653E1,-7.199999690E-1,2.597999954E1,-3.438000107E1
1.347906906E1,-6.480000019E0,3.413999939E1,-2.693999863E1
1.353906139E1,7.799999714E-1,3.575999832E1,-2.292000008E1
1.359905382E1,1.121999931E1,3.354000092E1,-2.237999916E1
1.365904622E1,1.296000004E1,3.227999878E1,-2.213999939E1
1.371903871E1,1.367999935E1,2.831999969E1,-2.645999908E1
1.377903118E1,1.127999973E1,2.315999985E1,-3.131999969E1
1.383902377E1,8.699999809E0,1.703999901E1,-3.509999847E1
1.389901680E1,9.479999542E0,8.099999428E0,-3.786000061E1
1.395901100E1,1.439999938E0,4.859999657E0,-3.911999893E1
1.401900527E1,-3.779999971E0,5.339999676E0,-3.947999954E1
1.407899963E1,-6.539999962E0,8.220000267E0,-3.768000031E1
1.413899390E1,-9.059999466E0,1.950000000E1,-3.461999893E1
1.419898769E1,-6.299999714E0,2.903999901E1,-2.597999954E1
1.425898022E1,-3.480000019E0,2.963999939E1,-2.423999977E1
1.431897255E1,2.099999905E0,3.077999878E1,-2.334000015E1
1.437896499E1,9.239999771E0,3.095999908E1,-2.111999893E1
1.443895752E1,1.223999977E1,3.179999924E1,-1.805999947E1
1.449894998E1,1.019999981E1,3.234000015E1,-1.829999924E1
1.455894251E1,5.400000095E0,3.077999878E1,-2.268000031E1
1.461893504E1,6.960000038E0,2.526000023E1,-2.789999962E1
1.467892744E1,4.380000114E0,1.715999985E1,-3.318000031E1
1.473891977E1,-1.079999924E0,1.019999981E1,-3.677999878E1
1.479891230E1,-2.700000048E0,1.307999992E1,-3.750000000E1
1.485890483E1,-2.519999981E0,1.860000038E1,-3.359999847E1
1.491889736E1,-1.151999950E1,2.927999878E1,-2.357999992E1
1.497889006E1,-8.519999504E0,3.245999908E1,-1.895999908E1
1.503888342E1,-1.860000014E0,3.095999908E1,-2.010000038E1
1.509887655E1,-1.500000000E0,3.089999962E1,-2.345999908E1
1.515886965E1,3.119999886E0,2.807999992E1,-2.531999969E1
1.521886278E1,6.299999714E0,2.442000008E1,-2.759999847E1
1.527885574E1,6.659999847E0,1.950000000E1,-3.047999954E1
1.533884804E1,5.759999752E0,1.571999931E1,-3.377999878E1
1.539884047E1,4.679999828E0,1.109999943E1,-3.521999741E1
1.545883304E1,4.199999869E-1,7.559999943E0,-3.768000031E1
1.551882553E1,-2.039999962E0,1.355999947E1,-3.684000015E1
1.557881806E1,-5.099999905E0,2.597999954E1,-2.753999901E1
1.563881053E1,3.599999845E-1,3.084000015E1,-2.063999939E1
1.569880296E1,-5.999999866E-2,3.095999908E1,-2.003999901E1
1.575879522E1,-3.599999845E-1,3.113999939E1,-2.315999985E1
1.581878772E1,1.559999943E0,2.819999886E1,-2.465999985E1
1.587878018E1,5.279999733E0,2.573999977E1,-2.531999969E1
1.593877271E1,4.319999695E0,2.339999962E1,-3.000000000E1
1.599876521E1,2.339999914E0,1.992000008E1,-3.185999870E1
1.605875878E1,6.599999666E-1,1.710000038E1,-3.407999802E1
1.611875308E1,-3.659999847E0,1.343999958E1,-3.605999756E1
1.617874761E1,-5.519999981E0,9.359999657E0,-3.702000046E1
1.623874214E1,-8.819999695E0,7.980000019E0,-3.743999863E1
1.629873664E1,-7.440000057E0,1.103999996E1,-3.689999771E1
1.635873010E1,-1.067999935E1,2.453999901E1,-2.826000023E1
1.641872267E1,-9.359999657E0,3.173999977E1,-1.937999916E1
1.647871520E1,-5.759999752E0,3.336000061E1,-1.835999870E1
1.653870773E1,-4.199999869E-1,3.407999802E1,-1.847999954E1
1.659870026E1,2.700000048E0,3.293999863E1,-2.177999878E1
1.665869276E1,4.380000114E0,2.819999886E1,-2.597999954E1
1.671868529E1,3.059999943E0,2.495999908E1,-2.963999939E1
1.677867762E1,-7.199999690E-1,2.076000023E1,-3.275999832E1
1.683867002E1,-2.639999866E0,1.697999954E1,-3.545999908E1
1.689866248E1,-7.019999981E0,1.151999950E1,-3.702000046E1
1.695865508E1,-8.880000114E0,7.019999981E0,-3.900000000E1
1.701864754E1,-1.188000011E1,6.420000076E0,-3.918000031E1
1.707864007E1,-1.397999954E1,1.355999947E1,-3.563999939E1
1.713863320E1,-1.523999977E1,2.579999924E1,-2.873999977E1
1.719862743E1,-1.853999901E1,3.270000076E1,-1.781999969E1
1.725862170E1,-1.596000004E1,3.479999924E1,-1.650000000E1
1.731861609E1,-1.469999981E1,3.443999863E1,-1.703999901E1
1.737861036E1,-1.067999935E1,3.420000076E1,-2.165999985E1
1.743860396E1,-7.139999866E0,2.868000031E1,-2.843999863E1
1.749859639E1,-5.639999866E0,2.142000008E1,-3.539999771E1
1.755858878E1,-8.579999924E0,1.325999928E1,-3.815999985E1
1.761858125E1,-1.109999943E1,7.619999886E0,-3.911999893E1
1.767857378E1,-1.271999931E1,3.720000029E0,-3.929999924E1
1.773856631E1,-1.421999931E1,4.799999893E-1,-4.079999924E1
1.779844479E1,-1.211999989E1,3.240000010E0,-4.134000015E1
1.785843725E1,-1.338000011E1,1.523999977E1,-3.809999847E1
1.791842958E1,-1.559999943E1,2.892000008E1,-2.639999962E1
1.797842205E1,-1.811999893E1,3.347999954E1,-1.961999893E1
1.803841461E1,-1.500000000E1,3.515999985E1,-1.943999863E1
1.809840718E1,-1.547999954E1,3.389999771E1,-2.273999977E1
1.815839964E1,-1.050000000E1,2.892000008E1,-2.903999901E1
1.821839244E1,-1.217999935E1,2.285999870E1,-3.504000092E1
1.827838564E1,-1.535999966E1,1.668000031E1,-3.654000092E1
1.833837873E1,-2.081999969E1,1.109999943E1,-3.563999939E1
1.839837176E1,-2.489999962E1,4.440000057E0,-3.486000061E1
1.845836496E1,-1.602000046E1,-2.999999821E-1,-4.043999863E1
1.851835776E1,-7.199999809E0,1.199999973E-1,-4.247999954E1
1.857835012E1,-4.199999809E0,8.159999847E0,-4.223999786E1
1.863834255E1,-6.000000000E0,2.207999992E1,-3.563999939E1
1.869833515E1,-3.480000019E0,3.215999985E1,-2.676000023E1
1.875832761E1,-9.059999466E0,3.450000000E1,-2.195999908E1
1.881832021E1,-7.919999599E0,3.743999863E1,-1.985999870E1
1.887831264E1,-4.799999714E0,3.534000015E1,-2.255999947E1
1.893830500E1,-3.240000010E0,3.107999992E1,-2.987999916E1
1.899829730E1,-7.319999695E0,2.237999916E1,-3.707999802E1
1.905828990E1,-1.505999947E1,9.779999733E0,-3.995999908E1
1.911828236E1,-1.259999943E1,2.099999905E0,-4.205999756E1
1.917827489E1,-7.259999752E0,-2.279999971E0,-4.175999832E1
1.923826746E1,-3.599999905E0,-1.439999938E0,-4.302000046E1
1.929826112E1,-1.799999952E0,1.199999973E-1,-4.284000015E1
1.935825535E1,-1.799999952E0,1.379999995E0,-4.289999771E1
1.941824968E1,-7.079999924E0,1.860000014E0,-4.320000076E1
1.947824401E1,-1.427999973E1,1.230000019E1,-4.079999924E1
1.953823831E1,-2.189999962E1,2.892000008E1,-2.795999908E1
