"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.782000053E0,1.184421897E0,-4.953078628E-1,-1.993112862E-1
4.833993346E0,2.477012634E0,-9.027550220E-1,1.610992104E-1
4.885986604E0,3.981574059E0,-1.524615884E0,8.428248167E-1
4.937979964E0,3.827024937E0,-6.449698210E-1,1.472015977E0
4.989973886E0,3.271137476E0,-1.899687052E0,5.318943858E-1
5.041967607E0,1.762911201E0,-1.978164911E-1,1.099999189E0
5.093960966E0,1.812391400E0,-8.361706734E-1,8.672594428E-1
5.145954326E0,2.688982964E0,-4.116193354E-1,-5.820140988E-2
5.197948315E0,1.758635283E0,1.757563114E0,5.923700333E-1
5.249946869E0,-3.364340216E-2,1.961915940E-1,2.441768944E-1
5.301944163E0,-2.222373486E0,-5.869376659E-1,6.091731787E-2
5.353938623E0,-5.243712902E0,-2.036520958E0,-1.330022812E0
5.405931982E0,-6.917483807E0,-1.171822846E-1,-2.014191866E0
5.457925408E0,-6.333496571E0,2.703182697E0,-1.623849034E0
5.509918767E0,-3.478312492E0,4.530891418E0,-1.892018914E0
5.561911926E0,-6.487847567E-1,4.234621525E0,-2.597869337E-1
5.613905385E0,1.558882356E0,-2.481841564E0,1.421314240E0
5.665899604E0,2.984030962E0,-3.126304388E0,2.093265772E0
5.717892962E0,2.663937569E0,-1.718260169E0,2.051116228E0
5.769886388E0,2.573529482E0,-1.436040282E0,1.802494168E0
5.821879848E0,2.308413982E0,-2.046294689E0,7.505841851E-1
5.873872940E0,2.544818878E0,-2.031633854E0,8.229760081E-2
5.925866400E0,2.437917471E0,-1.862100512E-1,-3.086561561E-1
5.977859692E0,3.051836967E0,-1.474524856E0,-3.905121088E-1
6.029853149E0,2.934550762E0,-4.470494986E-1,-3.605796993E-1
6.081847401E0,3.322649002E-1,2.964021921E0,1.049908161E0
6.133840627E0,-3.523516655E0,1.953040004E0,-3.098779023E-1
6.185834119E0,-6.497208595E0,-6.877304316E-1,-1.475408792E0
6.237827312E0,-6.853343010E0,2.163501382E-1,-1.912177324E0
6.289821201E0,-5.504552841E0,1.594462156E0,-1.979983568E0
6.341819689E0,-2.333550930E0,2.780762434E0,-2.316871285E-1
6.393816910E0,2.927571721E-2,1.106704548E-1,1.352897286E0
6.445810771E0,2.363391876E0,-1.878306746E0,2.199556589E0
6.497804097E0,2.655996323E0,-1.097620964E0,1.813489795E0
6.549797323E0,2.359115839E0,-3.670261502E-1,1.792109370E0
6.601790916E0,1.802006721E0,-1.322419405E0,1.541043878E0
6.653784009E0,1.679222822E0,-1.474524856E0,1.610071540E0
6.705777335E0,1.896690845E0,-1.311423779E0,2.205665350E0
6.757771058E0,3.706684589E0,1.083167911E0,3.266127110E0
6.809765011E0,3.110480070E0,-2.027034163E-1,3.634479046E0
6.861758504E0,1.258947492E0,-1.397842914E-1,4.354689121E0
6.913751797E0,-2.155789375E0,-5.869376659E-1,1.185520291E0
6.965745056E0,-5.120929241E0,7.862874269E-1,-4.986352623E-1
7.017738349E0,-7.071422100E0,-1.251235306E-1,-2.283583403E0
7.069731775E0,-7.207034111E0,8.046134114E-1,-1.936612010E0
7.121725035E0,-4.904683113E0,2.086819649E0,-2.567024946E0
7.173718923E0,7.895433344E-3,4.037922859E0,1.558758855E0
7.225712711E0,8.502786160E-1,-2.637001514E0,2.075550795E0
7.277706104E0,2.014587879E0,-3.497099638E0,1.294865131E0
7.329699363E0,1.980379224E0,7.331421375E-1,2.222158432E0
7.381693320E0,2.033524513E0,-1.129385948E0,9.943193793E-1
7.433689210E0,2.150199890E0,-1.202078938E0,1.308304191E0
7.485683336E0,2.467849970E0,-7.146084309E-1,1.507446170E0
7.537676896E0,3.272359371E0,-1.031036735E0,1.263100147E0
7.589670156E0,3.128195047E0,5.630345270E-2,2.073718309E0
7.641663447E0,2.469071627E0,-7.793602347E-1,1.414594769E0
7.693656806E0,1.243065000E0,1.171028707E-2,-5.847672820E-1
7.745650099E0,2.369698882E-1,7.160379291E-1,-1.355679154E0
7.797644152E0,-2.785591364E0,1.879125357E0,-1.888353586E0
7.849637908E0,-6.142906666E0,-7.311018705E-1,-1.507784724E0
7.901631167E0,-6.870447159E0,-8.825964332E-1,-1.755795956E0
7.953624426E0,-3.103852034E0,-9.736153483E-1,-4.180010259E-1
8.005617886E0,-3.581548929E0,2.731893301E0,7.664666772E-1
8.057611179E0,-1.057453632E0,5.541586280E-1,1.258213162E0
8.109604404E0,-1.881923079E-1,-3.505328000E-1,5.557181239E-1
8.161598163E0,2.381916344E-1,-2.674551308E-1,1.502559304E0
8.213591883E0,1.497795820E0,-2.038353443E0,1.167805195E0
8.265585539E0,2.280314207E0,-1.653508425E0,1.877630472E0
8.317578965E0,2.643168211E0,-5.563943982E-1,2.850738764E0
8.369572324E0,3.623606920E0,-1.519118071E0,3.247801304E0
8.421565615E0,2.827038527E0,8.684670925E-2,2.706574678E0
8.473563469E0,1.773295999E0,-1.189861655E0,1.875187159E0
8.525561223E0,1.478858829E0,1.171028707E-2,1.159863949E0
8.577555450E0,1.428966522E-1,-3.114374280E-1,-1.011151195E0
8.629548876E0,-2.825297594E0,1.428917646E0,-5.707173347E-1
8.681542336E0,-5.881456375E0,-1.636404157E0,-1.324524999E0
8.733535428E0,-6.391528606E0,-2.831256628E0,-9.213539958E-1
8.785528922E0,-6.040892124E0,-2.802833021E-1,-6.342473030E-1
8.837522447E0,-3.234577417E0,6.207429171E-1,-8.315567970E-1
8.889515572E0,-6.235406920E-2,1.104548216E0,1.978423357E0
8.941509825E0,2.760652900E-1,-9.473481178E-1,1.332127929E0
8.993503149E0,9.040347338E-1,-3.694696426E-1,1.560591459E0
9.045496575E0,1.460532904E0,-1.081738472E0,1.990640640E0
9.097489868E0,2.366446018E0,-1.998036385E0,2.616777658E0
9.149483160E0,2.900342226E0,-2.618064642E0,4.297878265E0
9.201476421E0,2.324296474E0,-3.115308762E0,5.055351734E0
9.253469846E0,2.307802916E0,-2.921768464E-2,6.209886551E0
9.305463538E0,2.020085573E0,-2.316297054E0,4.114008427E0
9.357457757E0,-5.150051713E-1,-7.304909825E-1,4.321091175E0
9.409451049E0,-2.738554716E0,3.186883777E-2,1.629008412E0
9.461444208E0,-3.943180799E0,7.355856299E-1,2.020271868E-1
9.513437666E0,-4.246170044E0,-5.191316009E-1,-1.279931903E0
9.565433588E0,-6.445896149E0,2.135077953E0,-2.094215393E0
9.617428349E0,-3.301161528E0,6.282242298E0,1.142148852E0
9.669421474E0,-7.679034472E-1,2.265802860E0,-1.223732352E0
9.721414833E0,3.206584454E-1,-1.507798582E-1,3.064851463E-1
9.773408226E0,1.182589412E0,9.084604383E-1,6.815564036E-1
9.825401618E0,2.037800550E0,-6.382502913E-1,1.391992688E0
9.877395177E0,3.243037939E0,-2.733518124E0,2.004079819E0
9.929388769E0,4.718888283E0,-3.536805868E0,2.093876839E0
9.981382553E0,3.913767815E0,-3.577733994E0,1.060903668E0
1.003337591E1,3.001135349E0,-3.302233696E0,-2.466843128E0
1.008536937E1,3.176041245E-1,6.665577888E-1,-2.862072945E0
1.013736256E1,-6.836040020E-1,2.340328693E0,-2.564581633E0
1.018935612E1,-1.619449615E0,1.592629552E0,-1.845593095E0
1.024134931E1,-3.969448328E0,-1.502624631E0,-1.675772548E0
1.029334254E1,-3.216251135E0,-3.115919590E0,-1.375226974E0
1.034533606E1,-4.117888451E0,2.248087883E0,-2.159577847E0
1.039733028E1,-5.244934559E0,-1.119612217E0,-1.380113721E0
1.044932351E1,-9.717338532E-2,3.549231052E0,2.635714293E0
1.049942062E1,-4.074929059E-1,1.227332115E0,1.760955334E0
1.055141404E1,-1.118341535E-1,3.089860439E0,3.926171660E-1
1.060341076E1,9.467952847E-1,3.560226679E0,3.852867782E-1
1.065540905E1,1.468474269E0,3.305819333E-1,1.502559304E0
1.070740508E1,2.424478292E0,-3.064607143E0,2.187950134E0
1.075939837E1,2.625453234E0,-4.632698059E0,1.049908161E0
1.081139177E1,2.862468719E0,-4.109797478E0,-1.492513061E0
1.086338509E1,2.203345299E0,4.393159449E-1,-2.997684956E0
1.091537835E1,3.018850327E0,-2.839197636E0,-2.648880959E0
1.096737161E1,1.866758466E0,-4.757601917E-1,-3.032504320E0
1.101936560E1,-5.260007977E-1,1.869962454E0,-2.399647951E0
1.107135939E1,-2.959687948E0,7.093183994E-1,-1.310475230E0
1.112335271E1,-5.451407433E0,-1.451922894E0,-2.118649960E0
1.117534600E1,-5.606566906E0,3.310993433E0,-2.088717461E0
1.122733936E1,-1.688477278E0,4.317699432E0,-7.173250318E-1
1.127933276E1,-5.467702150E-1,3.117349148E0,1.395657778E0
1.133132605E1,1.587791443E-1,-2.561865091E0,-1.150118783E-1
1.138331944E1,4.116773605E-1,9.173363447E-2,8.727571964E-1
1.143531343E1,1.626688361E0,-5.600595474E-1,5.447226167E-1
1.148730708E1,2.018252850E0,-1.280269623E0,-3.214843273E-1
1.153930044E1,1.883251667E0,-1.636080295E-1,8.874179721E-1
1.159129370E1,1.111118078E0,-2.456796169E0,1.903897762E0
1.164328720E1,4.825377166E-1,-1.803781271E0,4.695861638E-1
1.169528365E1,-1.762392044E0,-3.768000305E-1,-4.925266206E-1
1.174728214E1,-3.790464640E0,-3.041070700E-1,-2.187066793E0
1.179927706E1,-3.932185411E0,2.719388604E-1,-2.174849272E0
1.185127046E1,-2.687242031E0,2.970130682E0,-1.383778930E0
1.190326371E1,-2.130743980E0,4.800894260E0,-1.824823737E0
1.195525714E1,1.332862139E0,5.475899696E0,2.828747749E0
1.200725043E1,2.650696933E-1,1.729787141E-1,1.870300174E0
1.205924379E1,1.586371183E0,-3.037118196E0,-4.522095025E-1
1.211123715E1,2.079339504E0,-5.050817132E-1,1.089003563E0
1.216323124E1,2.869188309E0,-5.643356442E-1,1.224004745E0
1.221522483E1,3.695078135E0,-1.577150226E0,1.829982996E0
1.226721802E1,3.635824203E0,-1.498348594E0,2.003468752E0
1.231921151E1,2.837423325E0,-1.867922068E0,9.307894111E-1
1.237120477E1,8.185136318E-1,1.953040004E0,1.481178999E0
1.242319806E1,-8.974068761E-1,-3.114087105E0,1.036469102E0
1.247519156E1,-4.561987400E0,-3.721287012E0,-2.643641457E-2
1.252718505E1,-7.368302345E0,6.073039174E-1,-1.364842176E0
1.257917923E1,-5.905890942E0,2.612163544E0,-2.909109592E0
1.263117253E1,-1.532706618E0,8.911406517E0,-6.348581910E-1
1.268316578E1,5.246874094E-1,4.235843182E0,5.208988786E-1
1.273515911E1,1.650512099E0,1.665322542E0,8.031185865E-1
1.278715440E1,1.367681503E0,8.840258718E-1,-5.792694688E-1
1.283914986E1,9.919993281E-1,3.574600220E-1,2.060020901E-2
1.289114315E1,1.681666255E0,-1.095788479E0,-4.430465102E-1
1.294313654E1,2.426921844E0,-9.247461557E-1,5.777093172E-1
1.299512984E1,3.883835554E0,-2.726187706E0,3.211458921E-1
1.304712313E1,4.457437992E0,-1.015154123E0,-4.613724649E-1
1.309911652E1,4.895428181E0,2.505585849E-1,-5.023004413E-1
1.315111021E1,2.054904699E0,1.523601770E0,-4.045620263E-1
1.320310423E1,-2.731224298E0,5.187284350E-1,-6.922795177E-1
