"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.579979573E0,1.130611300E0,-2.544854927E1,3.915258026E1
5.639973903E0,-9.242760658E0,-6.421007156E0,1.864627075E1
5.699968201E0,-1.356712055E1,6.976547241E0,1.245154953E1
5.759962531E0,-9.136831284E0,1.837557793E0,1.354070473E1
5.819956095E0,-5.558476925E0,5.232645035E0,5.925153732E0
5.879948559E0,3.111863136E-1,6.828839302E0,3.176960945E0
5.939940890E0,4.131502151E0,6.838306904E0,-1.683790684E-1
5.999933354E0,7.440605164E-1,2.581343651E0,5.496360302E0
6.059925884E0,-3.201947212E-1,5.869954109E0,-1.403538704E1
6.119918348E0,1.123417091E1,2.124143600E0,-1.530689430E1
6.179910911E0,8.073915482E0,8.017450333E0,-6.106382370E0
6.239903375E0,5.059747696E0,4.900412560E0,-2.173077345E0
6.299895739E0,6.632219315E0,-2.406458282E1,2.598472023E1
6.359888137E0,-3.363885403E0,-6.083700180E0,2.442675400E1
6.419880733E0,-8.239774704E0,2.919007301E0,1.542873573E1
6.479873197E0,-6.969796181E0,3.008329391E0,1.246937084E1
6.539865793E0,-1.614789009E0,2.596202850E0,7.733357430E0
6.599858558E0,1.173048973E0,3.995600224E0,4.165336132E0
6.659851824E0,4.574916840E0,7.938930988E0,5.513467789E0
6.719844922E0,3.709334850E0,5.804556847E0,1.069178581E0
6.779838118E0,-1.894715786E0,5.539925575E0,1.629452705E-1
6.839831182E0,7.899950027E0,1.054438114E0,-1.271488190E1
6.899824080E0,5.752650261E0,-1.283181667E0,-8.323539734E0
6.959816344E0,9.253601074E0,6.365420341E0,-1.592256641E1
7.019808841E0,-5.051851273E-1,1.347990036E-1,1.098115826E1
7.079801372E0,5.551283836E0,-2.000484085E1,1.956891441E1
7.139793968E0,-2.705833435E0,-4.289312363E0,1.825101280E1
7.199786432E0,-7.232213974E0,2.953300476E0,1.285894585E1
7.259779029E0,-5.387630463E0,5.526285172E-1,1.249174786E1
7.319771394E0,-4.217181206E0,-8.230533600E-1,6.794919014E0
7.379763659E0,2.485558510E0,1.457032681E0,3.181330442E0
7.439756090E0,4.572393417E0,5.784133434E0,-9.869861603E-1
7.499748587E0,1.890208244E0,4.324028969E0,-4.639693737E0
7.559741051E0,3.846903324E0,5.765739918E0,-5.231545925E0
7.619733616E0,1.214812851E1,7.479044795E-2,-1.847234535E1
7.679727348E0,1.078488350E1,4.667135715E0,-1.456435013E1
