"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.833439065E0,1.058269501E0,9.445414543E0,3.208328247E0
4.885432356E0,2.513988614E-1,8.672063828E0,2.102173328E0
4.937426575E0,9.577099234E-3,7.814912796E0,2.578634024E0
4.989419834E0,-8.212362528E-1,6.627352715E0,2.710319042E0
5.041413126E0,-2.576239586E0,3.057488918E0,4.383917332E0
5.093406586E0,-5.174027920E0,6.273000240E-1,4.453351021E0
5.145400012E0,-6.251451492E0,-3.261002302E0,7.259441376E0
5.197393171E0,-4.597007751E0,-4.963331699E0,8.372778893E0
5.249386730E0,-4.630527496E0,-1.022355366E1,1.166730118E1
5.301380153E0,-5.889915943E0,-1.128182316E1,1.508393097E1
5.353374340E0,-8.652909279E0,-9.529213905E0,1.336484241E1
5.405367632E0,-5.525986195E0,-7.020013809E0,1.330977345E1
5.457360858E0,-5.451763630E0,-6.057515144E0,1.014454269E1
5.509354416E0,-5.523591995E0,-4.324060440E0,9.098244667E0
5.561350473E0,-6.502850533E0,-4.403071404E0,9.299363136E0
5.613344967E0,-5.676825523E0,-3.859570980E0,8.588263512E0
5.665338194E0,-5.631334305E0,-3.172414064E0,7.970541000E0
5.717331553E0,-4.917840481E0,-2.528354168E0,7.642525196E0
5.769324946E0,-3.399870157E0,-8.379961848E-1,7.158881664E0
5.821318238E0,-4.383917332E0,1.314456820E0,7.393520832E0
5.873311598E0,-6.265817165E0,3.612960577E0,8.842057228E0
5.925305254E0,-7.297749519E0,5.832453251E0,9.519637108E0
5.977299140E0,-8.162082672E0,7.003253937E0,9.050358772E0
6.029292699E0,-5.329655647E0,6.215537548E0,6.143709183E0
6.081285959E0,-5.609786034E0,3.272973776E0,7.362394810E0
6.133279218E0,-3.603383541E0,5.770202279E-1,3.648874760E0
6.185272644E0,-4.098998547E0,-5.011217117E0,5.779779434E0
6.237265937E0,-1.502407455E1,-2.935380936E0,-3.070657349E1
6.289259296E0,9.239506721E0,2.602576733E0,1.202644253E1
6.341253184E0,1.135604572E1,3.905062199E0,2.332023621E0
6.393246972E0,6.670449734E0,1.216291547E0,5.588237286E0
6.445240331E0,2.961717844E0,1.805283189E0,7.922655106E0
6.497233657E0,-1.027143836E0,5.487678051E0,9.399923325E0
6.549226983E0,-1.507674885E1,8.487704277E0,7.659285069E0
6.601224070E0,-9.811738014E0,9.577099234E-2,1.936728859E1
6.653222357E0,-5.432609558E0,8.698400497E0,1.708315086E1
6.705217151E0,4.221106529E0,8.739103317E0,1.102084732E1
6.757210442E0,1.457873917E1,1.459549904E1,3.718308687E0
6.809203634E0,2.127073669E1,2.535297585E1,3.677606106E0
6.861197059E0,1.548616982E1,7.745479107E0,2.003529167E1
6.913190351E0,-1.269683933E1,2.154847383E0,-2.592520714E1
6.965183609E0,-8.971347809E0,-2.051414680E1,2.607365370E0
7.017176968E0,-1.397298813E1,-3.672817469E0,1.819648892E-1
7.069170954E0,5.042342663E0,-9.792584181E-1,-3.567469418E-1
7.121164577E0,4.010410309E0,3.486064196E0,2.226675600E-1
7.173158037E0,5.456552505E0,9.919480324E0,1.915419847E-1
7.225151363E0,1.936968327E0,1.047974110E1,-1.101366401E0
7.277144656E0,2.707924843E0,8.051946640E0,-1.043903828E0
7.329138015E0,1.786128998E0,4.491659641E0,3.478881359E0
7.381131274E0,1.041509509E0,4.836435020E-1,6.684815407E0
7.433124667E0,-4.070267200E0,-4.331243038E0,9.706390381E0
7.485118818E0,-2.480468750E0,-1.006553173E1,1.370722294E1
7.537112375E0,-2.585816860E0,-1.217009926E1,1.479901218E1
7.589105635E0,-4.575459003E0,-1.041749001E1,1.102563572E1
7.641099027E0,-6.282577038E0,-9.445414543E0,9.368797302E0
7.693094615E0,-8.253065109E0,-7.891529560E0,7.474925995E0
7.745089609E0,-6.411868095E0,-6.878751755E0,7.671256542E0
7.797083035E0,-6.560312748E0,-6.002447128E0,7.142121792E0
7.849076362E0,-6.732700825E0,-6.031178474E0,7.065505028E0
7.901069854E0,-6.227508545E0,-5.794145107E0,6.936213970E0
7.953063080E0,-6.747066498E0,-6.179623127E0,7.285778046E0
8.005056340E0,-6.239480019E0,-5.171633720E0,7.937020779E0
8.057049599E0,-7.762238979E0,-5.054314137E0,8.590658188E0
8.109043918E0,-6.186806202E0,-3.450150013E0,8.794171333E0
8.161037275E0,-6.617775440E0,-2.106961727E0,9.510059357E0
8.213030634E0,-3.691971779E0,-6.656084061E-1,1.158829021E1
8.265024027E0,-1.517970204E0,-5.961744189E-1,1.120999432E1
8.317017253E0,4.719115734E0,6.584255695E-1,1.334568787E1
8.369010812E0,3.421418667E0,3.553103924E0,8.109408379E0
8.421004205E0,2.183578730E0,5.782173634E0,6.761432171E0
8.472997496E0,-9.220352173E0,3.998438835E0,2.171607256E0
8.524991715E0,-1.668809509E1,-5.327261448E0,7.757450342E-1
8.576985173E0,-1.228741837E1,-1.038157558E1,9.811738014E0
8.628978400E0,-4.266597748E0,-8.786988258E-1,3.416630268E0
8.680971726E0,-3.223412323E1,-2.129228592E1,-4.346566391E1
8.732968180E0,8.231516838E0,1.408551884E1,-4.685595989E0
8.784966634E0,-2.633702382E-2,-9.696813226E-1,-1.623318315E0
8.836961693E0,-5.298530102E0,3.344801903E0,1.386285067E0
8.888955119E0,-5.944984436E0,2.588211060E0,5.102199554E0
8.940948411E0,-9.287391663E0,3.256213665E0,4.108575344E0
8.992941869E0,-1.207672215E1,-8.236305118E-1,4.637710094E0
9.044935097E0,-2.111511040E1,-3.272973776E0,4.132518291E0
9.096928489E0,-2.067456245E1,-8.353624344E0,9.739910126E0
9.148921715E0,-1.932419205E1,-7.860404015E0,1.069043732E1
9.200915573E0,-1.725314522E1,-8.039975166E0,9.450202942E0
9.252909558E0,-1.491393757E1,-7.410280704E0,7.343240738E0
9.304902751E0,-1.020200539E1,-4.474899769E0,6.756643295E0
9.356896177E0,-5.837242126E0,-1.628106833E0,2.990449190E0
9.408889436E0,-1.956122518E0,5.578660369E-1,1.853168726E0
9.460882729E0,8.068706393E-1,3.706337452E0,1.960911036E0
9.512876088E0,1.322597408E1,1.713343048E1,1.436564922E-1
9.564860815E0,1.698259163E1,2.641603470E1,-1.661626697E0
9.616854537E0,1.275430202E1,4.846012115E0,2.143354797E1
9.668848357E0,7.441406250E0,-7.785224152E1,-1.785889626E1
9.720841750E0,-2.939451218E1,-1.240952587E1,4.324060440E0
9.772835043E0,3.778165579E0,-5.887521744E0,-9.194015265E-1
9.824830065E0,4.300117493E0,3.371139050E0,-1.429382086E0
9.876825724E0,3.091008663E0,9.287391663E0,-1.110943556E0
9.928819150E0,3.474092722E0,1.188518047E1,-5.435003638E-1
9.980812376E0,4.048718929E0,1.195461369E1,-1.810071707E0
1.003280584E1,4.800520897E0,1.188996887E1,-1.733454943E0
1.008479906E1,5.193181992E0,7.683228016E0,1.132491946E0
1.013679235E1,3.323253393E0,6.040755272E0,5.820482254E0
1.018878581E1,3.615355015E0,2.413429022E0,8.315316200E0
1.024077947E1,2.346389294E-1,-2.071047783E0,9.821314812E0
1.029277339E1,-2.461314440E0,-5.640911579E0,9.201197624E0
1.034476678E1,-2.535537004E0,-7.834067345E0,9.646533012E0
1.039676007E1,-4.118152618E0,-9.524425507E0,1.156195259E1
1.044875347E1,-5.365570068E0,-9.739910126E0,9.641744614E0
1.050074679E1,-7.573091030E0,-1.036721039E1,8.140534401E0
1.055274015E1,-6.830865860E0,-7.867587090E0,5.925830364E0
1.060473341E1,-4.656864643E0,-5.777385235E0,5.569083214E0
1.065672747E1,-5.748653889E0,-5.691191196E0,6.026389599E0
1.070872112E1,-8.356019020E0,-7.472531796E0,6.203566074E0
1.076071448E1,-9.395133972E0,-8.688823700E0,5.856396198E0
1.081270781E1,-7.245075703E0,-7.343240738E0,5.636122704E0
1.086470310E1,-6.653689861E0,-5.777385235E0,5.257827282E0
1.091670182E1,-8.042368889E0,-4.802915096E0,5.427821159E0
1.096869841E1,-8.348835945E0,-5.095016956E0,8.102226257E0
1.102069217E1,-6.423839092E0,-3.713520288E0,8.607418060E0
1.107268536E1,-8.178842545E0,-2.413429022E0,8.080677032E0
1.112467886E1,-6.883540154E0,6.344828010E-1,7.151699066E0
1.117667208E1,-6.423839092E0,1.838803053E0,6.237085819E0
1.122866541E1,-6.062304020E0,3.181991339E0,6.076669693E0
1.128065887E1,-7.201978683E0,4.400677204E0,4.992063046E0
1.133265302E1,-8.147717476E0,4.829252243E0,7.015225410E0
1.138464651E1,-6.917059898E0,8.353624344E0,5.770202160E0
1.143663987E1,-6.390319347E0,1.128900528E1,5.743865490E0
1.148863326E1,-6.900300026E0,1.133210278E1,7.762238979E0
1.154062652E1,-8.547560692E0,4.314483166E0,7.340846539E0
1.159261985E1,-6.500456333E0,-3.330436230E0,-9.337671846E-2
1.164461328E1,-1.239994907E1,-5.003316116E1,1.823719215E1
1.169660667E1,1.182053471E1,-4.166038036E0,-3.725491524E0
1.174860085E1,4.783761024E0,-1.687963724E0,4.980091453E-1
1.180059421E1,2.700742006E0,-2.839609861E0,5.384724140E0
1.185258747E1,-1.371919513E0,-2.633702278E0,2.185972929E0
1.190458086E1,-4.362368584E0,-6.352011204E0,5.358386993E0
1.195657598E1,-1.075268841E1,-5.628940105E0,4.613767624E0
1.200857484E1,-1.575432777E1,-7.000859737E0,5.772596359E0
1.206057090E1,-2.397626877E1,-1.545025539E1,1.107831001E1
1.211256432E1,-2.287250710E1,-7.577879906E0,9.859623909E0
1.216455755E1,-2.359557915E1,-6.167652130E0,1.117168617E1
1.221655094E1,-1.660668945E1,8.020820618E-1,6.759037971E0
1.226854433E1,-4.671230316E0,3.430995703E0,3.593806505E0
1.232053756E1,-5.698373914E-1,4.089421272E0,5.123748183E-1
1.237253099E1,2.906649590E0,6.289760113E0,6.967339516E-1
1.242452480E1,1.712145996E1,2.219492722E1,-5.937801600E-1
1.247651856E1,2.101694489E1,2.249900055E1,4.022381604E-1
1.252851192E1,8.447001457E0,2.681587934E-1,2.626280022E1
1.258050518E1,2.707206535E1,-3.237538528E1,-7.139727592E0
1.263249854E1,-3.141767311E1,-8.643332481E0,8.770228386E0
1.268449186E1,5.997658253E0,-4.067873001E0,-1.879505754E0
1.273648526E1,4.496448040E0,3.770982742E0,1.994430900E0
1.278847858E1,5.885127544E0,8.581081390E0,-3.974496126E-1
1.284047241E1,2.303292274E0,9.771035194E0,-3.687183261E-1
1.289246623E1,9.337671995E-1,9.368797302E0,2.207521439E0
1.294445955E1,7.302538157E-1,6.567495823E0,4.482082367E0
1.299645288E1,-3.261002302E0,3.998438835E0,6.325674057E0
1.304844727E1,-5.458946705E0,-1.829225898E0,1.073592854E1
1.310044343E1,-4.865166187E0,-3.011997700E0,1.144463348E1
1.315243685E1,-5.674431324E0,-4.702355862E0,1.202165413E1
