"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.450275032E0,-3.143999863E1,-2.573999977E1,-1.842000008E1
5.510268162E0,-3.071999931E1,-2.592000008E1,-1.805999947E1
5.570261226E0,-3.173999977E1,-2.592000008E1,-1.752000046E1
5.630253825E0,-3.305999756E1,-2.501999855E1,-1.415999985E1
5.690246089E0,-3.227999878E1,-2.711999893E1,-1.740000010E0
5.750238586E0,-2.573999977E1,-3.425999832E1,-4.199999869E-1
5.810231050E0,-1.169999981E1,-4.152000046E1,-1.157999992E1
5.870223580E0,7.379999638E0,-4.325999832E1,-1.535999966E1
5.930216112E0,7.440000057E0,-4.325999832E1,-1.307999992E1
5.990208742E0,5.460000038E0,-4.205999756E1,-1.355999947E1
6.050201073E0,8.340000153E0,-4.193999863E1,-1.457999992E1
6.110193404E0,1.092000008E1,-4.091999817E1,-1.673999977E1
6.170185934E0,8.939999580E0,-3.905999756E1,-2.268000031E1
6.230178430E0,5.279999733E0,-3.527999878E1,-2.873999977E1
6.290170861E0,-2.999999821E-1,-3.077999878E1,-3.365999985E1
6.350163726E0,-3.059999943E0,-2.592000008E1,-3.689999771E1
6.410157791E0,3.659999847E0,-2.285999870E1,-3.941999817E1
6.470152324E0,1.794000053E1,-2.165999985E1,-3.750000000E1
6.530146857E0,3.347999954E1,-1.829999924E1,-2.676000023E1
6.590141323E0,4.277999878E1,-1.619999886E1,-9.059999466E0
6.650135521E0,4.565999985E1,-1.092000008E1,1.620000005E0
6.710128520E0,4.595999908E1,-8.699999809E0,6.299999714E0
6.770120918E0,4.536000061E1,-7.319999695E0,7.559999943E0
6.830113416E0,4.571999741E1,-9.179999352E0,5.460000038E0
6.890106012E0,4.565999985E1,-1.181999969E1,1.319999933E0
6.950098476E0,4.457999802E1,-1.284000015E1,-2.339999914E0
7.010091006E0,4.386000061E1,-1.517999935E1,-6.779999733E0
7.070083403E0,4.379999924E1,-1.650000000E1,-8.579999924E0
7.130075768E0,4.331999969E1,-1.781999969E1,-6.779999733E0
7.190068099E0,4.302000046E1,-1.823999977E1,-4.380000114E0
7.250060695E0,4.193999863E1,-1.781999969E1,-2.339999914E0
7.310053159E0,4.223999786E1,-1.661999893E1,-5.999999866E-2
7.370045689E0,4.152000046E1,-1.829999924E1,5.999999642E-1
7.430038320E0,4.013999939E1,-2.195999908E1,2.220000029E0
7.490032152E0,3.786000061E1,-2.579999924E1,3.059999943E0
7.550026416E0,3.275999832E1,-3.017999840E1,3.000000000E0
7.610020746E0,2.897999954E1,-3.377999878E1,5.999999866E-2
7.670015076E0,2.429999924E1,-3.731999969E1,-2.700000048E0
7.730009240E0,1.937999916E1,-3.947999954E1,-2.819999933E0
7.790002205E0,1.769999886E1,-4.031999969E1,-1.500000000E0
7.849994536E0,1.553999996E1,-4.109999847E1,-5.999999866E-2
7.909986967E0,1.385999966E1,-4.115999985E1,3.059999943E0
7.969979497E0,1.217999935E1,-4.097999954E1,5.819999695E0
8.029972061E0,1.043999958E1,-4.109999847E1,8.460000038E0
8.089964525E0,9.239999771E0,-4.050000000E1,1.188000011E1
8.149957055E0,9.359999657E0,-3.791999817E1,1.415999985E1
8.209949486E0,1.121999931E1,-3.707999802E1,1.703999901E1
8.269941817E0,1.367999935E1,-3.539999771E1,1.913999939E1
8.329934147E0,1.355999947E1,-3.443999863E1,2.171999931E1
8.389926777E0,1.626000023E1,-3.420000076E1,1.895999908E1
8.449919241E0,2.135999870E1,-3.059999847E1,2.369999886E1
8.509911804E0,2.718000031E1,-2.687999916E1,2.226000023E1
8.569904936E0,3.329999924E1,-2.052000046E1,2.165999985E1
8.629898234E0,3.768000031E1,-1.596000004E1,1.877999878E1
8.689891265E0,4.037999725E1,-1.163999939E1,1.757999992E1
8.749884461E0,4.241999817E1,-8.279999733E0,1.679999924E1
8.809877492E0,4.200000000E1,-6.960000038E0,1.511999989E1
8.869869957E0,4.307999802E1,-8.460000038E0,1.325999928E1
8.929862288E0,4.236000061E1,-1.103999996E1,7.919999599E0
8.989854918E0,4.091999817E1,-1.559999943E1,2.279999971E0
9.049847382E0,3.923999786E1,-2.093999863E1,-3.720000029E0
9.109839912E0,3.593999863E1,-2.519999886E1,-8.760000229E0
9.169832442E0,3.155999947E1,-2.921999931E1,-1.319999981E1
9.229824906E0,2.592000008E1,-3.227999878E1,-1.619999886E1
9.289817137E0,1.950000000E1,-3.365999985E1,-2.034000015E1
9.349809601E0,1.235999966E1,-3.347999954E1,-2.447999954E1
9.409802165E0,4.679999828E0,-3.293999863E1,-2.735999870E1
9.469794695E0,-3.539999962E0,-3.288000107E1,-2.879999924E1
9.529787225E0,-1.392000008E1,-3.077999878E1,-2.801999855E1
9.589780157E0,-2.105999947E1,-3.000000000E1,-2.460000038E1
9.649774189E0,-2.831999969E1,-2.885999870E1,-1.973999977E1
9.709768688E0,-3.095999908E1,-2.681999969E1,-1.679999924E1
9.769763221E0,-3.305999756E1,-2.501999855E1,-1.511999989E1
9.829757754E0,-3.389999771E1,-2.519999886E1,-1.403999996E1
9.889751886E0,-3.455999756E1,-2.477999878E1,-1.409999943E1
9.949744717E0,-3.479999924E1,-2.327999878E1,-1.542000008E1
1.000973718E1,-3.486000061E1,-2.226000023E1,-1.655999947E1
1.006972985E1,-3.450000000E1,-2.129999924E1,-1.979999924E1
1.012972238E1,-3.438000107E1,-1.931999969E1,-2.184000015E1
1.018971484E1,-3.413999939E1,-1.842000008E1,-2.363999939E1
1.024970744E1,-3.359999847E1,-1.805999947E1,-2.387999916E1
