"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.263455375E0,1.977671027E0,1.764580488E0,8.849239349E0
4.315449361E0,2.363149166E0,2.590605259E0,8.442213058E0
4.367442687E0,1.723877907E0,2.432583094E0,8.815719604E0
4.419436046E0,4.292934895E0,1.640078187E0,7.388731956E0
4.471429338E0,4.939388752E0,1.834014535E0,7.122967720E0
4.523422631E0,5.308107376E0,2.925803900E0,4.881926537E0
4.575416090E0,5.832453251E0,2.487651587E0,5.229096413E0
4.627409448E0,5.147690773E0,3.711125851E0,4.585036278E0
4.679403269E0,6.014418125E0,2.921015263E0,5.672037125E0
4.731397024E0,5.391906738E0,2.604970932E0,3.857176781E0
4.783390417E0,5.317684174E0,2.384697676E0,4.142095566E0
4.835383676E0,5.712739468E0,3.019180536E0,4.393494129E0
4.887378898E0,6.143709183E0,3.170019865E0,4.563488007E0
4.939374389E0,7.575485706E0,3.950553417E0,4.788549423E0
4.991367715E0,1.032171917E1,4.362368584E0,5.851607800E0
5.043361108E0,1.192827702E1,4.798126698E0,9.311334610E0
5.095354367E0,1.555320930E1,6.601015568E0,1.036960411E1
5.147347726E0,2.078230476E1,8.272219658E0,1.140393066E1
5.199341153E0,3.969947052E1,1.894829178E1,5.066285610E0
5.251334478E0,3.081910515E1,1.803367805E1,-5.949772835E0
5.303328167E0,3.871542454E0,-6.682421207E0,2.076075745E1
5.355322087E0,3.452544212E0,-4.261809158E1,6.366376877E0
5.407315379E0,-7.223526955E0,-1.995627975E1,-4.829252243E0
5.459308838E0,4.046324492E-1,-2.178790092E0,-4.491659641E0
5.511302031E0,8.032792091E0,7.987300873E0,-4.573064744E-1
5.563295524E0,4.127729893E0,7.144515991E0,-2.633702159E-1
5.615288750E0,-2.585816681E-1,3.907456398E0,-9.433442950E-1
5.667282109E0,5.099805593E-1,3.404658794E0,1.843591630E-1
5.719276131E0,-5.961744189E-1,-2.154847383E0,8.253065109E0
5.771269718E0,-1.005595401E-1,-5.628940105E0,8.696005821E0
5.823263044E0,1.659232497E0,-7.666468143E0,1.351089287E1
5.875256637E0,3.143682718E0,-5.059102535E0,1.315414619E1
5.927251891E0,1.793311834E0,-3.950553417E0,1.672161484E1
5.979250615E0,-7.733507752E-1,-2.518777132E0,1.287401581E1
6.031247206E0,-4.223500729E0,-4.180403709E0,1.022594738E1
6.083240700E0,-1.156913567E1,-3.778165579E0,7.410280704E0
6.135234126E0,-1.213418484E1,-7.278595567E-1,-1.288119793E0
6.187227452E0,-1.476788712E1,1.005595401E-1,2.068653345E0
6.239220778E0,-1.285007286E1,2.909043789E0,1.120520592E0
6.291214104E0,-1.339357281E1,2.090201855E0,2.842004299E0
6.343207860E0,-1.245022869E1,1.242628574E0,2.614548206E0
6.395201814E0,-1.056354046E1,7.182824612E-1,2.923409462E0
6.447195040E0,-1.239037228E1,-4.070267081E-1,1.699935049E-1
6.499188466E0,-9.845257759E0,-1.101366401E0,1.189954638E0
6.551181959E0,-9.670475960E0,-1.781340480E0,1.304879785E0
6.603175051E0,-8.229122162E0,-2.226675510E0,2.264983892E0
6.655168577E0,-7.460560322E0,-1.364736676E0,2.051893473E0
6.707161837E0,-8.080677032E0,-1.374313712E0,2.183578730E0
6.759155657E0,-7.929838181E0,-1.987248063E-1,3.888302326E0
6.811149479E0,-1.130576611E1,1.628106833E-1,5.030371189E0
6.863142838E0,-1.208869362E1,1.556278586E0,5.497254848E0
6.915136131E0,-1.201207638E1,3.723097324E0,4.525179386E0
6.967129524E0,-1.321160793E1,5.209941864E0,4.024775982E0
7.019124677E0,-1.253881741E1,5.545140266E0,4.008016109E0
7.071123600E0,-1.018285084E1,4.257020473E0,3.313676357E0
7.123119558E0,-9.828497887E0,3.538738251E0,2.990449190E0
7.175112984E0,-6.890722752E0,4.024775982E0,3.050306082E0
7.227106243E0,-4.235472202E0,4.637710094E0,3.732674360E0
7.279099536E0,-3.792531252E0,7.529994488E0,7.793364525E0
7.331092895E0,-8.025609016E0,7.328875065E0,4.558699131E0
7.383086221E0,-8.712765694E0,6.021601200E0,6.371165276E0
7.435079481E0,-6.296942711E0,4.223500729E0,3.421418667E0
7.487073467E0,-5.492466450E0,5.121353626E0,2.724684715E0
7.539067222E0,-4.958543301E0,4.137306690E0,2.346389294E0
7.591060681E0,-3.914639235E0,5.643305779E0,2.557085514E0
7.643053939E0,-2.944957912E-1,6.591438770E0,9.002473354E-1
7.695047299E0,8.140534163E-1,6.088640690E0,1.386285067E0
7.747040657E0,2.609759569E-1,3.131711483E0,-6.057515144E-1
7.799033916E0,1.336005330E0,7.470137477E-1,-1.300091267E0
7.851027241E0,-1.814860344E0,-3.256213665E-1,-2.779752970E0
7.903021064E0,1.932658577E1,-2.359318352E1,5.830059052E1
7.955014952E0,-6.438204765E0,1.645106316E1,9.002473354E-1
8.007008211E0,-9.474145889E0,5.590631485E0,-3.098191500E0
8.059001637E0,-7.623371124E0,1.073832226E1,-6.732700825E0
8.110995994E0,-1.147815323E1,8.535589218E0,-6.725517750E0
8.162992217E0,-9.668081284E0,8.332076073E0,-2.949746609E0
8.214985577E0,-1.493788052E1,6.201171875E0,-2.683982134E0
8.266979069E0,-1.216291618E1,6.110189438E0,-1.549095750E0
8.318972295E0,-1.463859653E1,2.978477955E0,4.309694469E-2
8.370965588E0,-1.388439941E1,2.672010660E0,-1.108549237E0
8.422958914E0,-1.350131607E1,-1.460507661E-1,5.123748183E-1
8.474952407E0,-1.305119228E1,-4.956148863E-1,1.941756845E0
8.526946426E0,-1.414298153E1,-1.963305354E0,1.594586968E0
8.578939984E0,-1.037199879E1,-5.411061049E-1,2.047105074E0
8.630933276E0,-9.452596664E0,3.591412306E-1,2.846792698E0
8.682926535E0,-9.976943016E0,1.343188167E0,2.506805658E0
8.734919928E0,-1.019482231E1,1.398256540E0,2.377514839E0
8.786913187E0,-8.336864471E0,1.989642382E0,5.897099018E0
8.838906546E0,-7.192401409E0,8.906702399E-1,6.158074856E0
8.890899972E0,-5.521197796E0,9.577099085E-1,5.976109982E0
8.942894123E0,-1.723877907E0,1.381496549E0,6.905088425E0
8.994887615E0,-3.414235830E0,2.703136206E0,8.181237221E0
9.046880975E0,3.653663397E0,2.004008055E0,5.997658253E0
9.098874467E0,7.015225291E-1,1.843591571E0,1.063057995E1
9.150868724E0,4.826858044E0,1.726272106E0,3.952947617E0
9.202867513E0,6.057515144E0,1.359948039E0,7.218738556E0
9.254864406E0,5.942590237E0,2.911438227E0,3.969707727E0
9.306858800E0,8.303344727E0,1.450930476E0,5.949772835E0
9.358852060E0,7.051139355E0,3.933793545E0,5.346415520E0
9.410845353E0,6.431022167E0,3.146077156E0,4.951360226E0
9.462838579E0,7.249864101E0,2.142875910E0,5.681613922E0
9.514832105E0,6.993676662E0,2.995237827E0,4.383917332E0
9.566825728E0,5.952167034E0,2.264983892E0,3.359167576E0
9.618819649E0,5.226701736E0,2.494834423E0,4.187586784E0
9.670812976E0,5.693585396E0,2.650462151E0,4.292934895E0
9.722806269E0,6.991282463E0,2.628913641E0,5.791750908E0
9.774799561E0,7.951386452E0,2.645673752E0,7.029590607E0
9.826792987E0,1.030495834E1,3.110162973E0,8.590658188E0
9.878786313E0,1.263937664E1,3.131711483E0,1.176307201E1
9.930779639E0,1.805762100E1,4.132518291E0,1.333371639E1
9.982773527E0,3.093642426E1,8.894730568E0,9.550762177E0
1.003470726E1,3.600510406E1,1.856999588E1,2.873129770E-2
1.008670045E1,2.197704887E1,3.189173937E0,-1.031932473E0
1.013869385E1,4.848406315E0,-7.331269264E0,9.213169098E0
1.019068711E1,-1.102802944E1,-3.574652100E1,6.258634567E0
1.024268146E1,-8.116591573E-1,-9.665687561E0,-8.497281075E0
1.029468038E1,2.308080912E0,5.205153465E0,-3.981678963E0
1.034667684E1,6.268211365E0,5.844424725E0,-5.674431324E-1
1.039867050E1,4.108575344E0,5.616968632E0,1.999219418E0
1.045066383E1,6.225114316E-2,8.882759809E-1,4.034353256E0
1.050265722E1,1.197137356E0,-2.420611858E0,5.758230686E0
1.055465048E1,4.075055599E0,-6.572284222E0,9.519637108E0
1.060664384E1,7.879558563E0,-3.486064196E0,1.060663700E1
1.065863716E1,6.658478260E0,3.806896806E-1,8.810931206E0
1.071063092E1,3.809291124E0,1.903448462E0,1.000327969E1
1.076262491E1,1.223474383E0,3.857176781E0,1.081972790E1
1.081461823E1,-2.853975534E0,4.740664065E-1,1.534251308E1
1.086661149E1,-4.817280769E0,5.626545548E-1,1.323555088E1
1.091860488E1,-9.864412308E0,2.169213057E0,1.272557068E1
1.097059821E1,-1.068325424E1,2.695953369E0,1.145660496E1
1.102259144E1,-8.588263512E0,1.675992370E0,9.055147171E0
1.107458490E1,-9.062330246E0,2.241041183E0,7.975329399E0
1.112657901E1,-1.040791225E1,1.261782765E0,5.444581032E0
1.117857250E1,-8.511647224E0,1.048692346E0,4.510813713E0
1.123056593E1,-7.144515991E0,6.296942830E-1,4.802915096E0
1.128255922E1,-8.463761330E0,-2.178790122E-1,4.565882206E0
1.133455308E1,-8.669669151E0,-1.024749637E0,4.881926537E0
1.138654937E1,-8.109408379E0,-1.367130876E0,4.726298332E0
1.143854320E1,-6.383136749E0,-9.385557175E-1,5.604997158E0
1.149053652E1,-6.500456333E0,-8.858817071E-2,4.869955063E0
1.154252985E1,-7.398309231E0,1.388679445E-1,4.762212753E0
1.159452321E1,-7.453377247E0,2.322446555E-1,4.757423878E0
1.164651650E1,-8.245882034E0,2.466102988E-1,4.417437077E0
1.169850979E1,-9.581888199E0,4.261809289E-1,3.727885962E0
1.175050381E1,-1.096817303E1,3.567469418E-1,3.059883118E0
1.180249750E1,-1.070959091E1,-4.166038036E-1,3.895485163E0
1.185449086E1,-9.134158134E0,-6.632141471E-1,4.826858044E0
1.190648422E1,-7.776604652E0,-4.477293789E-1,5.018400192E0
1.195847751E1,-7.331269264E0,-2.394274808E-2,4.790944099E0
1.201047090E1,-8.071100235E0,-1.268965602E-1,4.922628880E0
1.206246430E1,-9.646533012E0,-3.232271075E-1,4.723904133E0
1.211445749E1,-9.828497887E0,5.387118459E-1,5.154873848E0
1.216645168E1,-1.070001411E1,6.057515144E-1,5.219519138E0
1.221844537E1,-7.458166122E0,2.178790122E-1,6.366376877E0
1.227043856E1,-5.449369431E0,2.178790122E-1,5.731894016E0
1.232243192E1,-3.636903524E0,-9.648927450E-1,7.099024773E0
1.237442561E1,-3.404658794E0,-1.807677507E0,8.478127480E0
1.242642409E1,-2.600182533E0,-2.377514839E0,8.959376335E0
1.247842132E1,-2.011190891E0,-1.850774407E0,8.846845627E0
1.253041524E1,-1.455719113E0,-1.369525194E0,8.317710876E0
1.258240857E1,-3.301704884E0,-8.523618579E-1,7.422251701E0
1.263440186E1,-3.962524891E0,-1.939362586E-1,7.750267506E0
1.268639529E1,-5.066285610E0,-3.591412306E-2,8.475732803E0
1.273838864E1,-5.743865490E0,-2.777358890E-1,9.323306084E0
1.279038187E1,-5.652883053E0,1.580221355E-1,9.124581337E0
1.284237533E1,-5.250644684E0,5.411061049E-1,8.214756966E0
1.289436948E1,-5.059102535E0,8.547561169E-1,7.348029613E0
1.294636291E1,-6.069486618E0,9.888355136E-1,6.991282463E0
1.299835630E1,-8.557138443E0,1.553884387E0,5.827664852E0
1.305034959E1,-8.669669151E0,1.259388566E0,5.504437923E0
1.310234288E1,-8.707977295E0,6.488484740E-1,5.257827282E0
1.315433638E1,-8.949799538E0,-1.221080124E-1,4.987274647E0
1.320632960E1,-8.746285439E0,2.178790122E-1,5.118959427E0
1.325832336E1,-7.676044941E0,6.153286099E-1,5.377541065E0
1.331031731E1,-7.115784645E0,1.043903828E0,5.870761871E0
1.336231074E1,-7.800547123E0,1.110943556E0,5.854001999E0
1.341430400E1,-8.643332481E0,8.427847624E-1,5.056708336E0
1.346629755E1,-8.827691078E0,1.501210332E0,5.669642925E0
1.351829381E1,-8.418270111E0,2.672010660E0,6.186806202E0
1.357028790E1,-8.497281075E0,3.205934048E0,6.766220570E0
1.362228130E1,-9.004867554E0,2.988054991E0,5.964138508E0
1.367427465E1,-7.877163887E0,2.791724443E0,5.633728504E0
1.372626795E1,-8.442213058E0,2.188367128E0,4.781366825E0
1.377826131E1,-7.553936958E0,2.336812258E0,4.644893169E0
1.383025470E1,-5.700768471E0,3.170019865E0,5.504437923E0
1.388224812E1,-4.515602112E0,3.735068798E0,5.451763630E0
1.393424238E1,-4.118152618E0,4.328848839E0,5.226701736E0
1.398623570E1,-3.356773376E0,4.364762783E0,5.463735104E0
1.403822893E1,-3.510006905E0,3.723097324E0,6.040755272E0
1.409022239E1,-5.595420361E0,2.135693073E0,6.835654736E0
1.414221565E1,-4.687990189E0,2.202732861E-1,7.637736797E0
1.419420901E1,-6.984099388E0,-1.367130876E0,6.395108223E0
1.424620260E1,-6.304125786E0,-8.739103079E-1,6.074275017E0
1.429819622E1,-7.515628815E0,-2.516382933E0,5.027976990E0
1.435019004E1,-7.015225410E0,-2.913832426E0,7.573091030E0
1.440218337E1,-8.300951004E0,-4.709538460E0,7.709564686E0
1.445417679E1,-6.725517750E0,-4.036747456E0,6.799740195E-1
1.450617048E1,-9.150918007E0,-1.436564885E-2,7.992089272E0
1.455816787E1,-5.911464691E0,2.760598898E0,8.743891716E0
1.461016573E1,-6.375953674E0,1.831620216E0,8.870788574E0
1.466216102E1,-6.112583637E0,1.944151163E0,1.063297462E1
1.471415448E1,-6.186806202E0,1.491633177E0,9.170072556E0
1.476614771E1,-4.458139896E0,2.466103077E0,9.088666916E0
1.481814104E1,-4.187586784E0,2.686376333E0,8.382355690E0
1.487013436E1,-2.638490915E0,3.450150013E0,7.733507633E0
1.492212769E1,3.375927508E-1,4.285751820E0,7.826884270E0
1.497412161E1,1.431776285E0,6.023995399E0,6.138920784E0
1.502611540E1,3.237059593E0,4.778972626E0,4.194769382E0
1.507810872E1,6.442993641E0,3.220299721E0,4.865166187E0
1.513010212E1,3.761405706E0,3.905062199E0,3.967313290E0
1.518209537E1,4.908263206E0,3.881119490E0,3.945764780E0
1.523408880E1,4.992063046E0,3.648874760E0,5.114171028E0
1.528608206E1,5.624151707E0,4.266597748E0,4.850800991E0
1.533807558E1,7.225921154E0,4.063084126E0,4.817280769E0
1.539006977E1,7.357606411E0,4.491659641E0,5.585843086E0
1.544206323E1,8.257853508E0,4.326454639E0,8.138139725E0
1.549405642E1,1.234727478E1,5.365570068E0,9.991309166E0
1.554604975E1,1.673119164E1,6.792557716E0,1.199531651E1
1.559804330E1,3.071136284E1,1.223474407E1,1.311104870E1
1.565004066E1,3.628523636E1,2.260674286E1,-2.502017260E0
1.570203861E1,2.353093338E1,5.207547665E0,2.154847234E-2
1.575403324E1,6.273000240E-1,-3.435784340E0,4.462928295E0
1.580602640E1,-2.624125242E0,-5.732133484E1,2.096187592E1
1.585801973E1,-1.409270191E1,-1.401368999E1,-1.199531651E1
1.591001329E1,8.916279793E0,1.412622094E0,-6.031178474E0
1.596200645E1,1.402566147E1,1.373116589E1,5.985686779E-1
1.601399980E1,4.166038036E0,3.917033672E0,3.759011507E0
1.606599339E1,4.546727657E0,4.494053841E0,1.448536277E0
