,Time (s),X (µT),Y (µT),Z (µT)
279,1.55965326963e+18,-32.00949097,-1.357696533,-24.73699951
280,1.55965326988e+18,-31.87893677,-1.499237061,-24.76373291
281,1.55965327013e+18,-31.94625854,-1.113800049,-24.7131958
282,1.55965327038e+18,-31.99667358,-1.487838745,-24.67224121
283,1.55965327063e+18,-32.22180176,-1.330612183,-24.49963379
284,1.55965327088e+18,-31.88293457,-0.9631500244,-24.57446289
285,1.55965327113e+18,-32.20787048,-1.070999146,-24.51635742
286,1.55965327137e+18,-32.30636597,-1.452438354,-24.86706543
287,1.55965327162e+18,-32.1963501,-1.52961731,-24.84039307
288,1.55965327187e+18,-32.10189819,-1.450454712,-24.64416504
289,1.55965327212e+18,-32.06878662,-1.428268433,-24.39367676
290,1.55965327237e+18,-32.07002258,-1.331665039,-24.79156494
291,1.55965327262e+18,-31.87413025,-1.087203979,-24.98370361
292,1.55965327287e+18,-32.02482605,-1.269744873,-24.3704834
293,1.55965327312e+18,-32.15461731,-1.022857666,-24.6751709
294,1.55965327337e+18,-32.07731628,-1.136764526,-24.85974121
295,1.55965327362e+18,-32.14398193,-1.442977905,-24.62158203
296,1.55965327387e+18,-31.74729919,-1.55871582,-24.45483398
297,1.55965327412e+18,-31.95755005,-1.364685059,-24.72106934
298,1.55965327437e+18,-31.78036499,-1.415878296,-24.74182129
299,1.55965327462e+18,-31.75679016,-1.362258911,-24.49841309
300,1.55965327487e+18,-31.87185669,-1.168655396,-24.86383057
301,1.55965327512e+18,-32.02185059,-1.588943481,-24.78222656
302,1.55965327537e+18,-32.13191223,-1.265380859,-24.60113525
303,1.55965327562e+18,-32.17628479,-1.20765686,-24.67553711
304,1.55965327587e+18,-32.38885498,-1.515167236,-24.65429688
305,1.55965327612e+18,-31.93229675,-1.32901001,-24.49938965
306,1.55965327637e+18,-32.03289795,-1.29498291,-24.40447998
307,1.55965327662e+18,-31.90336609,-1.342391968,-24.64379883
308,1.55965327687e+18,-32.25480652,-1.161102295,-24.58557129
309,1.55965327711e+18,-32.08692932,-1.245239258,-24.64093018
