,Time (s),X (µT),Y (µT),Z (µT)
0,1.55965432e+18,0.4911956787,-9.868637085,-50.76037598
1,1.55965432025e+18,-5.284011841,-6.026916504,-51.46716309
2,1.5596543205e+18,-11.55133057,-1.681396484,-51.43389893
3,1.55965432075e+18,-36.56581116,16.69029999,-38.65563965
4,1.559654321e+18,-49.36889648,28.75257111,-20.77294922
5,1.55965432125e+18,-49.94316101,47.61548615,4.235107422
6,1.5596543215e+18,-27.64083862,58.84268951,34.13977051
7,1.55965432175e+18,-10.95393372,53.48638153,12.51623535
8,1.559654322e+18,-17.90278625,52.11554718,11.2913208
9,1.55965432225e+18,-37.34725952,53.44814301,19.6774292
10,1.5596543225e+18,-60.44541931,31.33597565,41.52844238
11,1.55965432275e+18,-42.9287262,47.38567352,28.56896973
12,1.559654323e+18,-30.2434082,49.58426666,7.080932617
13,1.55965432325e+18,-38.57037354,47.69402313,10.86737061
14,1.5596543235e+18,-43.21247864,39.39887238,12.25360107
15,1.55965432375e+18,-38.69416809,40.71378326,6.585205078
16,1.559654324e+18,-46.15145874,47.26465607,6.766174316
17,1.55965432425e+18,-60.66192627,39.22185516,7.06427002
18,1.5596543245e+18,-53.48773193,38.31919098,13.39379883
19,1.55965432475e+18,-35.2048645,50.17182159,17.92651367
20,1.559654325e+18,-49.2802124,53.18636322,29.39660645
21,1.55965432525e+18,-74.88825989,42.30988312,20.5647583
22,1.5596543255e+18,-78.89718628,41.20490265,15.79559326
23,1.55965432575e+18,-52.22108459,52.47153473,23.51434326
24,1.559654326e+18,-71.29281616,36.14017487,40.45303345
25,1.55965432625e+18,-63.3789978,33.10152435,19.65075684
26,1.55965432649e+18,-57.78398132,35.55788422,17.93206787
27,1.55965432674e+18,-53.78710938,45.5845871,21.44647217
28,1.55965432699e+18,-62.54399109,34.88948822,23.74090576
29,1.55965432724e+18,-60.94648743,37.65647125,15.8225708
30,1.55965432749e+18,-53.47993469,45.5643692,17.90356445
31,1.55965432774e+18,-63.57011414,37.2186203,29.44445801
32,1.55965432799e+18,-64.36431885,33.30878448,26.78369141
33,1.55965432824e+18,-60.60430908,40.10459137,31.01672363
34,1.55965432849e+18,-60.55732727,42.62755585,33.33410645
35,1.55965432874e+18,-57.75880432,41.59810638,20.9152832
36,1.55965432899e+18,-44.12115479,47.27791595,17.56610107
37,1.55965432924e+18,-60.07713318,38.36707306,29.55737305
38,1.55965432949e+18,-63.90184021,32.31053925,25.71246338
39,1.55965432974e+18,-57.93562317,37.64459991,27.83398438
40,1.55965432999e+18,-58.97499084,36.79317474,27.48059082
41,1.55965433024e+18,-57.36366272,35.29291534,21.56298828
42,1.55965433049e+18,-56.05168152,36.66449738,27.42254639
43,1.55965433074e+18,-61.03540039,33.09598541,30.59765625
44,1.55965433099e+18,-53.76620483,38.57476044,28.43450928
45,1.55965433124e+18,-58.68206787,33.4536972,26.92199707
46,1.55965433149e+18,-59.10461426,36.55626678,21.50213623
47,1.55965433174e+18,-55.09341431,38.99378204,20.94250488
48,1.55965433199e+18,-70.65597534,32.49468231,25.76391602
49,1.55965433224e+18,-59.49360657,35.12627411,31.33532715
50,1.55965433249e+18,-41.62490845,44.87221527,24.17150879
51,1.55965433274e+18,-47.30020142,36.93497467,21.85180664
52,1.55965433298e+18,-53.3874054,26.56163788,23.01538086
53,1.55965433323e+18,-53.50524902,31.53713226,21.42614746
54,1.55965433348e+18,-56.09094238,32.40526581,26.95843506
55,1.55965433373e+18,-60.41522217,27.80931854,30.22647095
56,1.55965433398e+18,-61.65333557,30.84404755,26.9017334
57,1.55965433423e+18,-55.18040466,37.84128571,25.54638672
58,1.55965433448e+18,-61.15942383,33.22249603,34.13043213
59,1.55965433473e+18,-69.07406616,23.18520355,33.95111084
60,1.55965433498e+18,-51.57550049,39.37554169,28.07415771
61,1.55965433523e+18,-38.04614258,47.4986496,24.64440918
62,1.55965433548e+18,-39.37237549,35.89002228,29.88085938
63,1.55965433573e+18,-43.30296326,36.18332672,21.46069336
64,1.55965433598e+18,-46.37237549,35.43718719,23.63293457
65,1.55965433623e+18,-43.2134552,36.27320099,29.21801758
66,1.55965433648e+18,-46.53521729,31.37026215,27.04376221
67,1.55965433673e+18,-40.93577576,39.43849945,25.23730469
68,1.55965433698e+18,-45.85559082,38.58089447,29.31420898
69,1.55965433723e+18,-51.52801514,26.64707184,36.32513428
70,1.55965433748e+18,-47.87213135,38.17484283,32.50860596
71,1.55965433773e+18,-41.23995972,44.88144684,26.77587891
72,1.55965433798e+18,-45.46510315,38.40132904,31.46929932
73,1.55965433823e+18,-50.2515564,25.89572906,29.25274658
74,1.55965433848e+18,-41.61077881,29.95331573,28.77575684
75,1.55965433873e+18,-40.19804382,36.25370026,27.74169922
76,1.55965433898e+18,-42.15814209,32.30588531,32.54434204
77,1.55965433923e+18,-47.22415161,23.00493622,31.4710083
78,1.55965433947e+18,-47.80158997,28.66214752,37.03997803
79,1.55965433972e+18,-47.75744629,33.76009369,35.17080688
80,1.55965433997e+18,-44.57479858,37.50782013,33.16723633
81,1.55965434022e+18,-46.60470581,26.39142609,39.89007568
82,1.55965434047e+18,-46.28216553,24.79572296,40.63043213
83,1.55965434072e+18,-40.1000824,31.31429291,42.51794434
84,1.55965434097e+18,-41.21870422,30.45560455,42.01763916
85,1.55965434122e+18,-43.315979,31.52127838,37.85006714
86,1.55965434147e+18,-43.71286011,29.85201263,40.97625732
87,1.55965434172e+18,-42.24095154,24.19467926,43.12658691
88,1.55965434197e+18,-37.66029358,31.54051971,38.64874268
89,1.55965434222e+18,-34.68525696,36.27169037,36.38769531
90,1.55965434247e+18,-34.99606323,32.7009964,39.34240723
