,Time (s),X (µT),Y (µT),Z (µT)
150,1.55965412944e+18,-36.26899719,8.102302551,5.622009277
151,1.55965412969e+18,-30.13342285,21.82358551,-5.836547852
152,1.55965412994e+18,-18.32522583,28.71030426,-15.53314209
153,1.55965413019e+18,-23.68452454,25.74221039,-21.76245117
154,1.55965413044e+18,-38.27072144,14.65714264,-8.06262207
155,1.55965413069e+18,-34.35758972,21.73685455,-5.793395996
156,1.55965413094e+18,-19.53601074,36.86740875,-11.3729248
157,1.55965413118e+18,-9.05015564,42.60019684,-7.387268066
158,1.55965413143e+18,-15.52534485,35.58634186,-8.928894043
159,1.55965413168e+18,-36.2281189,12.80364227,-3.067871094
160,1.55965413193e+18,-20.49223328,29.6528244,-11.71063232
161,1.55965413218e+18,4.645004272,34.35300446,-9.944458008
162,1.55965413243e+18,-0.614151001,34.89006805,-15.26184082
163,1.55965413268e+18,-27.68228149,24.20789337,-11.81585693
164,1.55965413293e+18,-28.97009277,22.10753632,-12.96429443
165,1.55965413318e+18,0.04095458984,34.22875214,-16.05792236
166,1.55965413343e+18,6.194046021,32.79921722,-18.71258545
167,1.55965413368e+18,-26.96554565,26.71100616,-15.8638916
168,1.55965413393e+18,-32.64187622,18.71816254,-12.15075684
169,1.55965413418e+18,-11.83839417,30.55002594,-22.80706787
170,1.55965413443e+18,-1.447174072,30.47475433,-25.59082031
171,1.55965413468e+18,-27.84159851,25.24033356,-16.18005371
172,1.55965413493e+18,-38.00126648,14.74704742,-11.38079834
173,1.55965413518e+18,-19.01747131,29.71955109,-23.7300415
174,1.55965413543e+18,5.660858154,34.33475494,-24.80450439
175,1.55965413568e+18,-5.034057617,29.8817215,-34.17730713
176,1.55965413593e+18,-37.33883667,4.742301941,-13.5413208
177,1.55965413618e+18,-34.50585938,2.340675354,-10.73468018
178,1.55965413643e+18,-27.70339966,18.71776581,-8.216247559
179,1.55965413668e+18,-18.2940979,24.94193268,-18.13311768
180,1.55965413693e+18,-0.2699432373,30.33156586,-17.26287842
181,1.55965413717e+18,-5.481369019,25.1974411,-22.62139893
182,1.55965413742e+18,-26.03060913,24.52317047,-2.266662598
183,1.55965413767e+18,-31.03746033,19.39473724,4.274169922
184,1.55965413792e+18,-18.22396851,31.88173676,4.699523926
185,1.55965413817e+18,-4.442489624,37.78533173,6.693847656
186,1.55965413842e+18,-3.701934814,37.01248932,10.51629639
187,1.55965413867e+18,-20.13006592,36.8789444,9.854675293
188,1.55965413892e+18,-33.30534363,22.70146942,19.68066406
189,1.55965413917e+18,-22.69953918,34.87831879,17.61743164
190,1.55965413942e+18,-15.9311676,39.12975311,14.60675049
191,1.55965413967e+18,-14.73371887,37.74958038,18.88677979
192,1.55965413992e+18,-28.8160553,19.90413666,18.87402344
193,1.55965414017e+18,-18.35783386,34.86746979,12.30352783
194,1.55965414042e+18,4.246841431,45.82733917,16.20819092
195,1.55965414067e+18,-1.453323364,41.82819366,4.968811035
196,1.55965414092e+18,-20.46862793,23.46498871,14.19873047
197,1.55965414117e+18,-14.09817505,31.58267975,10.70147705
198,1.55965414142e+18,5.962799072,34.44432831,14.99810791
199,1.55965414167e+18,0.4809570312,35.84816742,5.489807129
200,1.55965414192e+18,-19.00923157,23.70172882,12.73638916
201,1.55965414217e+18,-16.33357239,25.48926544,13.22772217
202,1.55965414242e+18,-3.117675781,32.23789215,11.46905518
203,1.55965414267e+18,-1.3959198,33.36884308,8.108947754
204,1.55965414292e+18,-22.76829529,21.17881012,10.89654541
205,1.55965414316e+18,-25.76681519,12.32024384,15.76239014
206,1.55965414341e+18,-22.24746704,20.24123383,15.16485596
207,1.55965414366e+18,-28.64779663,17.83246613,7.461791992
208,1.55965414391e+18,-28.77984619,19.86869049,-4.428771973
209,1.55965414416e+18,-35.5737915,12.82735443,-2.467529297
210,1.55965414441e+18,-38.5078125,4.688529968,0.7157592773
211,1.55965414466e+18,-34.1690979,19.41613007,-0.9827270508
