,acc_X (m/s^2),acc_Y (m/s^2),acc_Z (m/s^2),bar_X (hPa),gyr_X (rad/s),gyr_Y (rad/s),gyr_Z (rad/s),mag_X (muT),mag_Y (muT),mag_Z (muT),loc_Latitude (degree),loc_Longitude (degree),loc_Height (m),loc_Velocity (m/s),loc_Direction (degree),loc_Horizontal Accuracy (m),loc_Vertical Accuracy (degree),labelNothing,labelWalking,labelClimbingstairs,labelBiking,labelTrain,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6
2019-06-04 13:00:03.250,-0.0573536546219,-0.0538622003348,9.84548879192,1010.119839,-0.000180732555497,0.0013622380243,-0.0003950553227,-32.1564237821,-1.56816138158,-24.9044363194,52.3345461508,4.86749945,-3.10822057708,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391268737522,-0.333002756488,-0.280544545286,-0.270568841611,-0.056957891336,0.0945023379967
2019-06-04 13:00:03.500,-0.0548498946453,-0.0599835550951,9.85420959489,1010.119362,0.00139716638828,0.00208472753554,-0.000492935308152,-32.2032650944,-1.57959085381,-24.8914234778,52.33454587,4.867499171,-3.1089447735,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391249401637,-0.333051917305,-0.280624300198,-0.270550463772,-0.0570093410729,0.0947057081948
2019-06-04 13:00:03.750,-0.05851068213,-0.0591369011444,9.84384150736,1010.118885,0.00157255084511,0.000273454895252,0.000949339202762,-32.2067237761,-1.33850451604,-24.800886883,52.3345455892,4.867498892,-3.10966896992,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391200108527,-0.332594134815,-0.28096693144,-0.270475768564,-0.0565441051135,0.09445235674
2019-06-04 13:00:04.000,-0.0724283880113,-0.0546021822945,9.84577566281,1010.118408,-1.32741767704e-05,-0.00123816410175,0.00126446710605,-32.2115454333,-1.36023776904,-24.9606385155,52.3345453085,4.867498613,-3.11039316635,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391402219235,-0.332906720491,-0.280719410576,-0.270920779739,-0.0565076913872,0.0940876795266
2019-06-04 13:00:04.250,-0.0803539002041,-0.0463681173574,9.8595124388,1010.118885,0.000623826201971,-0.000215047612407,0.000356692363236,-31.9280132648,-1.2979638498,-25.0297329273,52.3345450277,4.867498334,-3.11111736277,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391337500814,-0.332970657906,-0.280246936637,-0.271723834535,-0.0559931583026,0.0927971771381
2019-06-04 13:00:04.500,-0.0717222219087,-0.0422798891549,9.86544493712,1010.119362,0.000102590415954,0.000355623069031,0.000530503064484,-31.7999261537,-1.16466358441,-25.0236878386,52.3345447469,4.867498055,-3.11184155919,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391275053999,-0.332829967364,-0.280233117353,-0.271854299763,-0.0555912831528,0.0922735087577
2019-06-04 13:00:04.750,-0.0657429442476,-0.0430953850813,9.86370296892,1010.119839,-0.00181737972015,-0.000331109673139,0.000441245916198,-32.084849214,-1.20751897937,-24.9640844537,52.3345444662,4.867497776,-3.11256575562,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391348647766,-0.332949695021,-0.280591198126,-0.271370034415,-0.0561586250929,0.0935411221226
2019-06-04 13:00:05.000,-0.0701253896894,-0.043160296271,9.84926096366,1010.120316,-0.000565766574179,-0.000392075869622,-0.000388531383398,-32.1192070017,-1.20452625164,-24.8500814239,52.3345441854,4.867497497,-3.11328995204,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391246600289,-0.332703130131,-0.280787287036,-0.271173383917,-0.0562327993336,0.0938168844751
2019-06-04 13:00:05.250,-0.0728757691218,-0.0458789858849,9.84486337277,1010.11962925,0.000287886733642,0.000746590621745,-0.000567972501623,-31.7856692616,-1.40774481381,-25.0487282351,52.3345439046,4.867497218,-3.11401414846,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391255109965,-0.332921972904,-0.280200440026,-0.271592015836,-0.0559016247197,0.092572043797
2019-06-04 13:00:05.500,-0.0724079884618,-0.0480254448823,9.85132539566,1010.1189425,-0.000331521446804,0.00122728652328,-0.000538362456611,-31.7629363123,-1.61934801532,-25.1887128694,52.3345436238,4.867496939,-3.11473834488,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391348824948,-0.333347502885,-0.279908055221,-0.271701412305,-0.0561524360355,0.0925735848969
2019-06-04 13:00:05.750,-0.0726368092229,-0.044128334004,9.84101841278,1010.11825575,0.000315824608584,-0.000215840362888,0.000154604911013,-32.026665439,-1.33283386056,-24.8733859039,52.3345433431,4.86749666,-3.11546254131,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391172772664,-0.332684148449,-0.280735330873,-0.271062576509,-0.0561469652208,0.0935756044637
2019-06-04 13:00:06.000,-0.0805517970675,-0.0481384360375,9.84434235108,1010.117569,-0.000812937424792,-0.000747824723413,0.00108990365034,-31.9912867036,-1.152550832,-24.7537845576,52.3345430623,4.867496381,-3.11618673773,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391039170723,-0.332312187501,-0.280985026179,-0.271190280261,-0.0556926235339,0.0931943018505
2019-06-04 13:00:06.250,-0.0920618074401,-0.0603891461612,9.8659373953,1010.1166992,-0.00158690546373,0.000230880160822,0.000547508228428,-31.8810092461,-1.29202490024,-24.9201153018,52.3345427815,4.867496102,-3.11691093415,-1.0,-1.0,65.0,65.0,1,0,0,0,0,-0.391121953658,-0.332740092394,-0.280585774895,-0.271855783399,-0.0555618045802,0.0925018002459
