"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.279943926E0,-1.279375553E0,-1.578056455E0,-2.011645794E0
5.339936456E0,1.471610069E0,-2.131673098E0,-7.240338326E-1
5.399928986E0,1.268604279E0,-8.672283888E-1,-2.653010368E0
5.459921583E0,1.028296232E0,-1.185846329E-2,-1.338926792E0
5.519915349E0,1.823055744E-1,8.527481556E-2,-4.747085571E-1
5.579909613E0,1.216259360E0,2.958824635E-1,3.746719360E-1
5.639903977E0,1.477045059E0,-1.037300467E0,9.505386353E-1
5.699898307E0,-1.218893528E-1,-9.787379503E-1,6.718750000E-1
5.759892571E0,1.225883961E-1,7.383739352E-1,1.549013138E0
5.819885635E0,4.859375954E-1,1.069561481E0,1.827210426E0
5.879878033E0,9.424328208E-1,1.356478810E0,1.711708069E0
5.939870297E0,1.423478484E0,1.637188673E0,2.160673141E0
5.999862827E0,2.430926561E0,8.457138538E-1,1.890989304E0
6.059855325E0,1.870136976E0,9.229710698E-1,1.958808899E-1
6.119847921E0,1.384214640E0,7.099369168E-1,-8.138017654E-1
6.179840385E0,9.819586277E-1,9.021353126E-1,-1.005164146E0
6.239832948E0,8.139301538E-1,1.424997330E0,-1.140248299E0
6.299825212E0,-5.842648745E-1,1.187662840E0,-9.804201126E-1
6.359817642E0,-1.283437729E0,1.030013800E0,-9.420490265E-1
6.419810106E0,-2.566497803E0,-7.311758995E-1,-1.544515610E0
6.479802702E0,-1.115129590E0,-2.591303349E0,-4.421510696E-1
6.539795199E0,-1.607243776E0,-2.561810255E0,-6.841468811E-2
6.599788298E0,-9.226603508E-1,-1.516650438E0,1.208837509E0
6.659781463E0,-8.685554266E-1,-2.331042290E-1,4.886732101E-1
6.719774593E0,-5.491249561E-1,-3.782224655E-1,1.001082420E0
6.779767657E0,-6.698040962E-1,4.565429688E-2,-2.190599442E-1
6.839760754E0,-3.623602390E-1,-1.367871612E-1,-6.935176849E-1
6.899753319E0,2.482113838E-1,8.236587048E-2,-6.760005951E-1
6.959745716E0,-1.442985535E-1,-7.182122469E-1,-1.250161171E0
7.019738246E0,5.673429966E-1,-4.669841230E-1,-9.502124786E-1
7.079730710E0,2.560415268E-1,-2.296135724E-1,-4.880018234E-1
7.139723240E0,1.997725964E-1,2.617642283E-1,-1.783714294E-1
7.199715770E0,4.085340500E-1,8.232599497E-2,2.617044449E-1
