"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.569910472E0,-3.599999845E-1,7.019999981E0,-4.068000031E1
5.629904236E0,-1.919999957E0,8.760000229E0,-3.923999786E1
5.689896834E0,-7.199999690E-1,1.055999947E1,-3.893999863E1
5.749889132E0,-1.679999948E0,1.277999973E1,-3.821999741E1
5.809881595E0,-5.999999642E-1,1.397999954E1,-3.827999878E1
5.869874059E0,1.799999923E-1,1.385999966E1,-3.761999893E1
5.929866623E0,1.620000005E0,1.331999969E1,-3.834000015E1
5.989859153E0,2.399999857E0,1.175999928E1,-3.863999939E1
6.049851683E0,2.939999819E0,1.061999989E1,-3.947999954E1
6.109844080E0,3.659999847E0,8.460000038E0,-3.971999741E1
6.169836377E0,2.939999819E0,7.919999599E0,-4.013999939E1
6.229828874E0,3.000000000E0,7.319999695E0,-4.115999985E1
6.289821404E0,3.720000029E0,7.440000057E0,-4.031999969E1
6.349813967E0,3.419999838E0,8.099999428E0,-4.079999924E1
6.409806598E0,3.179999828E0,9.599999428E0,-4.002000046E1
6.469799964E0,3.299999952E0,1.067999935E1,-3.881999969E1
6.529792995E0,5.460000038E0,1.169999981E1,-3.929999924E1
6.589786125E0,6.719999790E0,1.265999985E1,-3.845999908E1
6.649779156E0,7.980000019E0,1.259999943E1,-3.887999725E1
6.709772187E0,9.719999313E0,1.134000015E1,-3.863999939E1
6.769764451E0,1.001999950E1,1.200000000E1,-3.761999893E1
6.829757014E0,1.134000015E1,1.259999943E1,-3.761999893E1
6.889749478E0,1.188000011E1,1.247999954E1,-3.804000092E1
6.949742008E0,1.307999992E1,1.325999928E1,-3.761999893E1
7.009734472E0,1.392000008E1,1.259999943E1,-3.713999939E1
7.069727068E0,1.367999935E1,1.242000008E1,-3.743999863E1
7.129719399E0,1.511999989E1,1.157999992E1,-3.725999832E1
7.189711730E0,1.493999958E1,1.139999962E1,-3.702000046E1
7.249704228E0,1.451999950E1,1.043999958E1,-3.750000000E1
7.309696758E0,1.421999931E1,1.038000011E1,-3.738000107E1
7.369689222E0,1.475999928E1,9.420000076E0,-3.791999817E1
7.429681752E0,1.469999981E1,8.639999390E0,-3.809999847E1
7.489675251E0,1.500000000E1,8.519999504E0,-3.881999969E1
